time,load_est_x,load_est_y,load_est_z,load_est_vx,load_est_vy,load_est_vz,drone0_est_x,drone0_est_y,drone0_est_z,drone0_est_vx,drone0_est_vy,drone0_est_vz,drone1_est_x,drone1_est_y,drone1_est_z,drone1_est_vx,drone1_est_vy,drone1_est_vz,drone2_est_x,drone2_est_y,drone2_est_z,drone2_est_vx,drone2_est_vy,drone2_est_vz
0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,0.600000,0.000000,1.200000,0.000000,0.000000,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000
0.010000,0.538762,0.000000,0.222357,18.000000,0.000000,2.083337,0.611604,-0.000807,1.215957,0.000579,-0.000040,0.000797,-0.316223,0.499865,1.205543,-0.000810,-0.000986,0.000277,-0.276716,-0.526473,1.160678,0.001162,-0.000342,-0.001963
0.020000,0.624443,-0.000710,0.245137,8.755270,-0.024208,1.451786,0.605905,0.009944,1.233247,-0.001399,0.003689,0.004236,-0.317768,0.502883,1.140834,-0.001343,0.000064,-0.012601,-0.294354,-0.523144,1.184300,-0.004959,0.000813,0.002742
0.030000,0.631614,0.007304,0.261955,2.639486,0.310923,1.056687,0.603736,0.014039,1.240718,-0.003284,0.007237,0.007532,-0.318359,0.504029,1.112881,-0.001848,0.001066,-0.024948,-0.301068,-0.521877,1.194500,-0.010787,0.001914,0.007255
0.040000,0.630483,0.012252,0.271325,0.126965,0.315805,0.632173,0.602564,0.016255,1.244937,-0.005099,0.010651,0.010747,-0.318681,0.504648,1.097103,-0.002331,0.002034,-0.036995,-0.304699,-0.521193,1.200253,-0.016398,0.002974,0.011662
0.050000,0.601489,0.015457,0.285073,-15.302535,0.234038,4.196498,0.601805,0.017690,1.247693,-0.006825,0.013892,0.013876,-0.318890,0.505047,1.086801,-0.002785,0.002958,-0.048731,-0.307050,-0.520749,1.204006,-0.021731,0.003982,0.015959
0.060000,0.423528,0.017782,0.332585,-19.579599,0.150323,4.882682,0.601254,0.018733,1.249673,-0.008430,0.016900,0.016900,-0.319043,0.505336,1.079405,-0.003201,0.003822,-0.060078,-0.308756,-0.520428,1.206699,-0.026688,0.004920,0.020119
0.070000,0.221247,0.019226,0.382035,-15.245918,0.080368,3.461478,0.600823,0.019549,1.251195,-0.009883,0.019613,0.019788,-0.319163,0.505562,1.073722,-0.003570,0.004608,-0.070926,-0.310092,-0.520176,1.208766,-0.031167,0.005769,0.024102
0.080000,0.075981,0.019986,0.414121,-7.012170,0.035053,1.203517,0.600468,0.020223,1.252425,-0.011151,0.021973,0.022508,-0.319262,0.505748,1.069127,-0.003885,0.005301,-0.081156,-0.311194,-0.519969,1.210436,-0.035073,0.006510,0.027865
0.090000,0.018408,0.020316,0.422507,0.917169,0.015012,-0.821617,0.600166,0.020795,1.253459,-0.012212,0.023938,0.025027,-0.319347,0.505906,1.065269,-0.004138,0.005887,-0.090645,-0.312130,-0.519792,1.211838,-0.038336,0.007130,0.031364
0.100000,0.040189,0.020474,0.410885,6.040485,0.014199,-2.012484,0.599904,0.021291,1.254353,-0.013054,0.025483,0.027316,-0.319419,0.506044,1.061935,-0.004327,0.006360,-0.099281,-0.312941,-0.519639,1.213049,-0.040914,0.007621,0.034556
0.110000,0.109153,0.020647,0.388620,7.658862,0.023443,-2.248492,0.599676,0.021722,1.255141,-0.013673,0.026605,0.029348,-0.319483,0.506163,1.058997,-0.004453,0.006717,-0.106967,-0.313648,-0.519506,1.214116,-0.042802,0.007983,0.037408
0.120000,0.188963,0.020923,0.365500,6.466795,0.034212,-1.764934,0.596873,0.023428,1.247219,-0.031129,0.036026,-0.005823,-0.314384,0.510620,1.075364,0.029208,0.035450,-0.032313,-0.310143,-0.517811,1.217526,-0.017064,0.018558,0.050405
0.130000,0.252334,0.021397,0.347768,3.739557,0.081166,-1.209578,0.594344,0.024956,1.240000,-0.045837,0.043772,-0.038397,-0.309769,0.514649,1.090291,0.057878,0.059817,0.037059,-0.306949,-0.516281,1.220622,0.005252,0.027471,0.062195
0.140000,0.286323,0.022368,0.335811,0.886853,0.130143,-0.740627,0.592070,0.026320,1.233362,-0.057889,0.049923,-0.068134,-0.305604,0.518279,1.104030,0.081685,0.079944,0.100626,-0.304045,-0.514906,1.223453,0.024180,0.034777,0.072701
0.150000,0.291858,0.023809,0.328480,-1.127822,0.160055,-0.456223,0.590036,0.027531,1.227228,-0.067466,0.054608,-0.094872,-0.301864,0.521534,1.116744,0.100925,0.096103,0.158030,-0.301418,-0.513676,1.226053,0.039881,0.040586,0.081882
0.160000,0.278479,0.025509,0.323787,-1.930592,0.164229,-0.379600,0.588228,0.028599,1.221548,-0.074809,0.057990,-0.118533,-0.298527,0.524433,1.128532,0.116015,0.108666,0.209081,-0.299055,-0.512582,1.228441,0.052610,0.045043,0.089732
0.170000,0.258576,0.027211,0.319631,-1.642160,0.146816,-0.471243,0.586633,0.029534,1.216290,-0.080192,0.060246,-0.139119,-0.295569,0.526999,1.139461,0.127437,0.118060,0.253759,-0.296945,-0.511617,1.230634,0.062675,0.048314,0.096279
0.180000,0.242836,0.028707,0.314378,-0.669735,0.117364,-0.655684,0.585234,0.030347,1.211433,-0.083897,0.061552,-0.156703,-0.292963,0.529254,1.149575,0.135694,0.124729,0.292194,-0.295071,-0.510770,1.232641,0.070409,0.050569,0.101577
0.190000,0.237599,0.029890,0.307197,0.510019,0.085929,-0.851406,0.584014,0.031049,1.206959,-0.086197,0.062076,-0.171419,-0.290682,0.531225,1.158908,0.141277,0.129102,0.324643,-0.293417,-0.510032,1.234472,0.076147,0.051974,0.105704
0.200000,0.244382,0.030750,0.298079,1.515962,0.059807,-0.995241,0.582957,0.031652,1.202852,-0.087342,0.061971,-0.183446,-0.288696,0.532938,1.167490,0.144645,0.131581,0.351463,-0.291966,-0.509392,1.236136,0.080204,0.052679,0.108756
0.210000,0.261046,0.031348,0.287615,2.144150,0.042292,-1.055422,0.582046,0.032167,1.199096,-0.087557,0.061370,-0.192999,-0.286976,0.534419,1.175351,0.146207,0.132523,0.373082,-0.290697,-0.508841,1.237642,0.082867,0.052820,0.110835
0.220000,0.283738,0.031775,0.276633,2.364361,0.033129,-1.030667,0.582207,0.029437,1.202044,-0.081814,0.042850,-0.169065,-0.287542,0.532154,1.174158,0.134971,0.112633,0.348922,-0.288038,-0.507546,1.235816,0.093008,0.057068,0.096440
0.230000,0.308347,0.031985,0.266254,2.280863,-0.065722,-0.745011,0.582383,0.026976,1.204865,-0.076473,0.027318,-0.147279,-0.288101,0.530082,1.172896,0.124714,0.095444,0.325976,-0.285691,-0.506407,1.234073,0.100621,0.060119,0.083365
0.240000,0.331817,0.031137,0.258984,1.999550,-0.182586,-0.368670,0.582567,0.024763,1.207551,-0.071524,0.014352,-0.127547,-0.288645,0.528194,1.171588,0.115371,0.080617,0.304300,-0.283626,-0.505410,1.232417,0.106142,0.062187,0.071548
0.250000,0.352244,0.029111,0.255587,1.640514,-0.266691,-0.038616,0.582756,0.022778,1.210097,-0.066948,0.003577,-0.109754,-0.289171,0.526476,1.170252,0.106870,0.067845,0.283916,-0.281814,-0.504538,1.230849,0.109943,0.063452,0.060918
0.260000,0.368953,0.026278,0.255478,1.306870,-0.296554,0.169530,0.582946,0.020999,1.212501,-0.062723,-0.005336,-0.093773,-0.289676,0.524918,1.168907,0.099139,0.056853,0.264821,-0.280227,-0.503777,1.229371,0.112340,0.064070,0.051393
0.270000,0.382305,0.023201,0.257360,1.067774,-0.276139,0.241610,0.583136,0.019409,1.214764,-0.058826,-0.012671,-0.079469,-0.290158,0.523504,1.167566,0.092109,0.047399,0.246990,-0.278839,-0.503116,1.227982,0.113598,0.064169,0.042890
0.280000,0.393322,0.020384,0.259845,0.951511,-0.224420,0.207594,0.583323,0.017987,1.216886,-0.055233,-0.018674,-0.066704,-0.290617,0.522225,1.166240,0.085713,0.039268,0.230382,-0.277629,-0.502542,1.226682,0.113942,0.063855,0.035322
0.290000,0.403262,0.018120,0.261897,0.945397,-0.163931,0.118137,0.583506,0.016717,1.218872,-0.051919,-0.023554,-0.055344,-0.291052,0.521066,1.164940,0.079889,0.032278,0.214946,-0.276576,-0.502045,1.225467,0.113553,0.063217,0.028606
0.300000,0.413194,0.016478,0.263011,1.003748,-0.112256,0.023303,0.583684,0.015585,1.220726,-0.048863,-0.027487,-0.045257,-0.291464,0.520018,1.163670,0.074582,0.026268,0.200622,-0.275661,-0.501616,1.224334,0.112586,0.062326,0.022661
0.310000,0.423712,0.015352,0.263177,1.065911,-0.078223,-0.041855,0.583856,0.014574,1.222454,-0.046042,-0.030626,-0.036321,-0.291853,0.519070,1.162438,0.069739,0.021101,0.187347,-0.274869,-0.501247,1.223280,0.111164,0.061243,0.017411
0.320000,0.434799,0.014560,0.262720,1.077692,-0.062317,-0.062800,0.582346,0.009459,1.216475,-0.050403,-0.050615,-0.058842,-0.292394,0.518064,1.159403,0.064589,0.016043,0.167661,-0.277682,-0.503849,1.221666,0.094850,0.047882,0.010242
0.330000,0.445847,0.013776,0.261836,0.957636,-0.186603,-0.271933,0.581000,0.004868,1.210965,-0.053816,-0.067168,-0.078158,-0.292897,0.517155,1.156554,0.059933,0.011709,0.149896,-0.280237,-0.506202,1.220172,0.080655,0.036406,0.003977
0.340000,0.455545,0.011677,0.258766,0.749243,-0.346366,-0.514719,0.579800,0.000746,1.205893,-0.056434,-0.080803,-0.094640,-0.293365,0.516333,1.153881,0.055716,0.007997,0.133873,-0.282558,-0.508331,1.218791,0.068292,0.026551,-0.001484
0.350000,0.463060,0.007992,0.253296,0.520612,-0.465290,-0.685525,0.578730,-0.002952,1.201227,-0.058384,-0.091957,-0.108626,-0.293800,0.515589,1.151378,0.051888,0.004820,0.119424,-0.284667,-0.510258,1.217513,0.057517,0.018092,-0.006230
0.360000,0.468263,0.003172,0.246199,0.339523,-0.508864,-0.743017,0.577777,-0.006271,1.196939,-0.059775,-0.101002,-0.120416,-0.294204,0.514917,1.149034,0.048408,0.002104,0.106399,-0.286585,-0.512002,1.216334,0.048119,0.010836,-0.010343
0.370000,0.471679,-0.002024,0.238612,0.250253,-0.479311,-0.698226,0.576929,-0.009250,1.193000,-0.060697,-0.108255,-0.130278,-0.294581,0.514309,1.146843,0.045237,-0.000216,0.094656,-0.288330,-0.513581,1.215246,0.039915,0.004617,-0.013895
0.380000,0.474254,-0.006876,0.231538,0.262507,-0.401400,-0.591078,0.576175,-0.011921,1.189386,-0.061228,-0.113985,-0.138449,-0.294931,0.513758,1.144794,0.042342,-0.002193,0.084069,-0.289918,-0.515011,1.214242,0.032751,-0.000706,-0.016952
0.390000,0.477012,-0.010917,0.225577,0.353918,-0.306871,-0.467146,0.575505,-0.014317,1.186069,-0.061431,-0.118419,-0.145142,-0.295258,0.513260,1.142879,0.039693,-0.003875,0.074522,-0.291364,-0.516307,1.213316,0.026490,-0.005255,-0.019572
0.400000,0.480729,-0.013995,0.220873,0.483665,-0.222269,-0.361334,0.574910,-0.016465,1.183028,-0.061363,-0.121752,-0.150542,-0.295563,0.512809,1.141090,0.037266,-0.005301,0.065911,-0.292681,-0.517481,1.212463,0.021018,-0.009135,-0.021805
0.410000,0.485779,-0.016226,0.217226,0.606815,-0.162636,-0.290659,0.574384,-0.018389,1.180241,-0.061069,-0.124149,-0.154814,-0.295847,0.512400,1.139418,0.035036,-0.006507,0.058144,-0.293881,-0.518545,1.211677,0.016234,-0.012434,-0.023699
