time,load_x,load_y,load_z,load_vx,load_vy,load_vz,load_qw,load_qx,load_qy,load_qz,load_wx,load_wy,load_wz,drone0_x,drone0_y,drone0_z,drone0_vx,drone0_vy,drone0_vz,drone0_qw,drone0_qx,drone0_qy,drone0_qz,drone0_wx,drone0_wy,drone0_wz,drone1_x,drone1_y,drone1_z,drone1_vx,drone1_vy,drone1_vz,drone1_qw,drone1_qx,drone1_qy,drone1_qz,drone1_wx,drone1_wy,drone1_wz,drone2_x,drone2_y,drone2_z,drone2_vx,drone2_vy,drone2_vz,drone2_qw,drone2_qx,drone2_qy,drone2_qz,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.159500,0.000075,0.000037,-0.098100,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600001,0.000000,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000,-0.299999,0.519616,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000,-0.299999,-0.519615,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000
0.020000,0.000002,0.000001,0.158018,0.000150,0.000075,-0.196201,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600002,0.000001,1.200000,0.000240,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000370,-0.000726,0.000000,-0.299998,0.519616,1.200000,0.000240,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000369,-0.000726,0.000000,-0.299998,-0.519614,1.200000,0.000240,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000369,-0.000726,0.000000
0.030000,0.000003,0.000002,0.155556,0.000226,0.000112,-0.294301,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600005,0.000003,1.200000,0.000361,0.000180,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000612,-0.001212,0.000000,-0.299995,0.519618,1.200000,0.000361,0.000179,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000611,-0.001212,0.000000,-0.299995,-0.519613,1.200000,0.000361,0.000179,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000611,-0.001212,0.000000
0.040000,0.000006,0.000003,0.152113,0.000302,0.000150,-0.392402,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599998,0.000005,1.199938,-0.001348,0.000238,-0.009015,1.000000,0.000008,0.000049,0.000000,0.000844,0.013076,0.000000,-0.299990,0.519620,1.200000,0.000481,0.000238,-0.000003,1.000000,0.000008,-0.000015,0.000000,0.000844,-0.001687,0.000000,-0.299990,-0.519610,1.200000,0.000481,0.000238,-0.000004,1.000000,0.000008,-0.000015,0.000000,0.000845,-0.001687,0.000000
0.050000,0.000009,0.000004,0.148141,0.000270,0.000134,-0.262008,1.000000,-0.000002,0.000004,0.000000,-0.000897,0.001810,0.000000,0.599979,0.000007,1.199829,-0.003192,0.000297,-0.017385,1.000000,0.000012,0.000128,0.000000,0.001065,0.028892,0.000000,-0.299985,0.519623,1.200000,0.000600,0.000297,-0.000004,1.000000,0.000012,-0.000025,0.000000,0.001068,-0.002143,0.000000,-0.299981,-0.519600,1.199953,0.001710,0.002221,-0.012143,1.000000,0.000061,-0.000051,0.000000,0.021152,-0.013390,0.000001
0.060000,0.000012,0.000006,0.147457,0.000324,0.000161,0.029368,1.000000,-0.000007,0.000014,0.000000,-0.001079,0.002177,0.000000,0.599939,0.000011,1.199625,-0.004915,0.000354,-0.023188,1.000000,0.000018,0.000278,0.000000,0.001276,0.032949,0.000000,-0.299968,0.519609,1.199890,0.002052,-0.001960,-0.014122,1.000000,-0.000074,-0.000088,-0.000000,-0.016215,-0.012612,-0.000001,-0.299962,-0.519575,1.199828,0.002074,0.002707,-0.012498,1.000000,0.000146,-0.000108,0.000000,0.014910,-0.010486,0.000000
0.070000,0.000015,0.000008,0.147925,0.000378,0.000188,0.052081,1.000000,-0.000013,0.000026,-0.000000,-0.001258,0.002538,-0.000000,0.599873,0.000015,1.199322,-0.007717,0.000410,-0.034240,1.000000,0.000025,0.000494,0.000000,0.001471,0.046711,0.000001,-0.299946,0.519587,1.199750,0.002392,-0.002297,-0.013705,1.000000,-0.000143,-0.000146,-0.000000,-0.012502,-0.011104,-0.000000,-0.299935,-0.519539,1.199661,0.003572,0.005162,-0.025683,1.000000,0.000262,-0.000184,0.000000,0.037476,-0.023290,0.000002
0.080000,0.000020,0.000010,0.148413,0.000433,0.000214,0.044128,1.000000,-0.000020,0.000040,0.000000,-0.001436,0.002903,-0.000000,0.599779,0.000019,1.198913,-0.010933,0.000464,-0.046527,1.000000,0.000033,0.000776,0.000000,0.001649,0.062472,0.000001,-0.299914,0.519551,1.199537,0.004112,-0.005030,-0.029896,1.000000,-0.000273,-0.000240,-0.000000,-0.036299,-0.024907,-0.000004,-0.299895,-0.519481,1.199386,0.004333,0.006341,-0.027759,1.000000,0.000437,-0.000296,0.000000,0.032689,-0.021301,0.000001
0.090000,0.000024,0.000012,0.148787,0.000488,0.000241,0.030223,1.000000,-0.000027,0.000055,0.000000,-0.001614,0.003266,0.000000,0.599652,0.000024,1.198385,-0.014346,0.000515,-0.058911,0.999999,0.000042,0.001127,0.000000,0.001811,0.077282,0.000002,-0.299869,0.519496,1.199232,0.004764,-0.005921,-0.030242,1.000000,-0.000437,-0.000357,-0.000000,-0.030344,-0.022334,-0.000002,-0.299842,-0.519402,1.199028,0.006103,0.009274,-0.042452,1.000000,0.000663,-0.000438,0.000000,0.052005,-0.032432,0.000003
