time,drone0_ax,drone0_ay,drone0_az,drone0_wx,drone0_wy,drone0_wz,drone1_ax,drone1_ay,drone1_az,drone1_wx,drone1_wy,drone1_wz,drone2_ax,drone2_ay,drone2_az,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,-0.055921,-0.131288,9.828147,-0.001265,-0.001656,-0.004724,-0.037445,0.042620,9.844970,-0.002566,0.009105,0.004860,0.056326,0.050867,9.882346,-0.000379,-0.007102,-0.000148
0.020000,0.154296,0.049287,9.729749,-0.012844,-0.001806,0.004105,0.099668,0.034340,9.776809,0.002321,-0.002952,0.011622,0.074493,-0.008972,9.752344,-0.005432,-0.004822,0.002975
0.030000,0.020228,-0.009108,9.835657,-0.007638,0.003968,-0.008204,-0.101471,0.013768,9.743222,0.003348,0.007253,-0.001574,-0.028214,0.036889,9.767479,-0.007561,-0.002113,0.004618
0.040000,-0.205760,0.043626,8.158434,-0.003333,0.009646,0.006105,0.049103,0.086471,9.771282,-0.004887,0.008932,-0.008113,-0.064226,0.055784,9.823177,-0.007048,-0.007455,-0.010904
0.050000,0.046172,0.021731,9.830667,0.004341,0.006548,0.009897,-0.082505,0.055084,9.846526,-0.004069,-0.009602,0.008296,0.018868,-0.004208,9.879641,-0.003768,-0.005273,0.007059
0.060000,-0.133574,0.095317,9.101413,0.001145,0.035685,0.001726,0.214021,-0.310238,7.095491,-0.007480,-0.022664,0.002374,0.006448,0.030159,9.710810,0.003832,0.001850,-0.002307
0.070000,-0.263855,0.090404,8.273540,-0.009428,0.049137,0.001589,0.056607,0.002933,9.870975,-0.005064,-0.022298,0.003625,0.094166,0.102650,9.604933,0.019382,-0.013813,-0.010030
0.080000,-0.331862,0.073304,8.409069,-0.003632,0.052858,0.009847,0.139601,-0.318147,8.253734,-0.010993,-0.015210,0.009020,0.178942,0.225464,9.400092,0.023266,-0.025169,0.005775
0.090000,-0.368813,0.125507,8.560940,0.005976,0.067951,0.000631,0.055735,-0.226017,9.663595,-0.023756,-0.022058,-0.000049,0.162778,0.368333,8.057365,0.040334,-0.034773,0.002861
0.100000,-0.349517,-0.028184,8.559005,0.004156,0.088766,-0.002657,0.230607,-0.336602,7.916927,-0.041675,-0.021500,0.001838,0.074818,0.224932,9.477094,0.058838,-0.036627,-0.000515
0.110000,-0.351608,0.018130,8.550046,-0.005264,0.105101,-0.005007,0.157254,-0.228335,9.570022,-0.055814,-0.034954,0.010523,0.174544,0.344035,8.503406,0.070322,-0.035908,0.006854
0.120000,-0.460290,0.010852,8.405470,0.008953,0.127260,-0.009778,0.291022,-0.235276,8.143250,-0.078989,-0.053406,0.002803,0.225639,0.401772,8.345923,0.076340,-0.048459,0.009896
0.130000,-0.427404,0.024367,8.591367,0.013684,0.134830,-0.008182,0.092131,-0.223619,9.034622,-0.073919,-0.038705,-0.008709,0.170677,0.337676,8.810613,0.090864,-0.056093,0.002758
0.140000,-0.376449,0.028188,8.957569,0.003147,0.144869,-0.001855,0.151772,-0.320416,8.801066,-0.076282,-0.048744,-0.002231,0.144923,0.265001,8.614099,0.106825,-0.064495,0.004727
0.150000,-0.530631,-0.041156,9.479416,0.000564,0.139913,-0.004652,0.227974,-0.234941,8.378025,-0.088774,-0.056031,0.014826,0.262682,0.429861,8.383837,0.114288,-0.064114,-0.000122
0.160000,-0.327271,0.010148,9.878792,-0.005164,0.161801,0.003445,0.214896,-0.217509,8.697394,-0.098258,-0.057160,-0.003332,0.206257,0.477360,8.495253,0.123435,-0.083453,-0.007978
0.170000,-0.245535,0.096402,10.007312,0.001920,0.158025,-0.009118,0.314377,-0.378181,8.684002,-0.120255,-0.078507,0.003882,0.192736,0.376370,8.811614,0.147899,-0.091637,0.001842
0.180000,-0.293292,-0.019172,10.138647,0.015547,0.159964,0.007802,0.273173,-0.492223,8.404865,-0.141051,-0.091840,0.009562,0.191403,0.366719,9.431129,0.139629,-0.071640,0.008782
0.190000,-0.186385,-0.057950,10.232225,0.017474,0.168846,0.012157,0.307367,-0.442665,9.063599,-0.142642,-0.087329,0.002916,0.263712,0.401931,9.835785,0.141899,-0.094142,-0.006684
0.200000,-0.414858,-0.056373,10.422376,0.001374,0.151973,-0.007001,0.248254,-0.401228,9.660118,-0.136851,-0.098953,-0.005253,0.212631,0.409184,9.986812,0.154950,-0.097035,0.015524
0.210000,-0.248866,0.066858,10.848052,0.005973,0.146297,-0.001246,0.255920,-0.271708,9.888332,-0.153360,-0.086928,-0.005528,0.102197,0.282499,10.164425,0.157726,-0.093100,0.007135
0.220000,-0.400196,0.006561,10.430541,-0.001058,0.150392,0.009418,0.175493,-0.297612,10.015977,-0.148909,-0.091788,0.014932,0.187554,0.290978,10.327021,0.159585,-0.101951,-0.005745
0.230000,-0.289232,0.063107,10.222273,-0.000741,0.150973,0.007160,0.237488,-0.355795,10.238310,-0.149693,-0.094574,0.000611,0.142158,0.277421,10.916349,0.148765,-0.083197,0.009482
0.240000,-0.244201,0.027274,10.047167,0.003950,0.141190,0.007859,0.053207,-0.263022,10.734729,-0.142413,-0.081104,-0.002956,0.165467,0.232535,11.269776,0.137832,-0.077803,-0.006228
0.250000,-0.245050,-0.014082,9.809735,0.001630,0.135538,0.001522,0.048140,-0.248766,11.317054,-0.131262,-0.088975,0.000755,0.140856,0.126290,11.178263,0.130407,-0.085718,0.001537
0.260000,-0.280660,0.034049,9.751429,-0.005614,0.135717,0.001433,0.101240,-0.230600,11.686294,-0.128360,-0.081622,-0.000094,0.192948,0.216410,10.980241,0.132609,-0.084900,0.009451
0.270000,-0.334353,0.064336,9.592955,-0.001558,0.129708,-0.005564,0.004087,-0.190434,11.415895,-0.137672,-0.083287,-0.007260,0.126868,0.162057,10.732061,0.118747,-0.070127,0.004503
0.280000,-0.281112,-0.030193,9.518646,-0.007910,0.132444,-0.006699,0.159485,-0.151298,11.066536,-0.126752,-0.074429,0.003679,0.091384,0.152946,10.334118,0.119065,-0.067509,-0.009862
0.290000,-0.163084,0.066264,9.763680,-0.003298,0.120351,0.003071,0.197363,-0.174514,10.832045,-0.117834,-0.080414,0.010595,0.180194,0.337509,10.027593,0.121732,-0.067552,0.012803
0.300000,-0.148254,0.028853,10.194606,0.004791,0.116580,0.002085,0.107983,-0.278384,10.364307,-0.109098,-0.059731,0.001524,0.116245,0.334550,9.742255,0.121534,-0.059369,0.019497
0.310000,-0.297507,-0.050300,10.257750,0.016139,0.100816,0.003888,0.240471,-0.227090,10.048323,-0.103813,-0.065499,-0.007988,0.078018,0.279396,9.810141,0.102394,-0.062314,0.000224
0.320000,-0.221568,0.005775,10.426738,0.002070,0.101016,-0.013661,0.228644,-0.163768,9.948923,-0.098326,-0.058387,0.009213,0.027651,0.204508,10.046258,0.095120,-0.069099,0.016403
0.330000,-0.124559,0.088249,10.564055,0.002521,0.087754,0.014059,0.077397,-0.150307,10.105598,-0.085040,-0.054727,0.006445,0.098666,0.189079,10.350226,0.082543,-0.067053,-0.002009
