time,drone0_ax,drone0_ay,drone0_az,drone0_wx,drone0_wy,drone0_wz,drone1_ax,drone1_ay,drone1_az,drone1_wx,drone1_wy,drone1_wz,drone2_ax,drone2_ay,drone2_az,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,-0.055921,-0.131288,9.828147,-0.001265,-0.001656,-0.004724,-0.037445,0.042620,9.844970,-0.002566,0.009105,0.004860,0.056930,0.051969,9.882346,0.039493,-0.029113,-0.000148
0.020000,0.154296,0.049287,9.729749,-0.012844,-0.001806,0.004105,0.099668,0.034340,9.776809,0.002321,-0.002952,0.011622,0.479779,0.693006,6.167087,0.079149,-0.052739,0.002976
0.030000,0.020228,-0.009108,9.835657,-0.007638,0.003968,-0.008204,-0.101471,0.013768,9.743222,0.003348,0.007253,-0.001574,0.396922,0.773265,6.464889,0.108763,-0.068616,0.004620
0.040000,0.098350,0.043656,9.770256,-0.003332,-0.008462,0.006105,0.049103,0.086471,9.771282,-0.004887,0.008932,-0.008113,0.375221,0.817019,6.801106,0.137932,-0.090635,-0.010901
0.050000,0.095153,0.021739,9.864497,0.004342,-0.006617,0.009897,-0.082505,0.055084,9.846526,-0.004069,-0.009602,0.008296,0.471543,0.780059,7.095876,0.168779,-0.104438,0.007064
0.060000,-0.335485,0.095261,7.525650,0.001143,0.029888,0.001726,-0.023618,0.101944,9.789424,0.016151,-0.009545,0.002374,0.445971,0.791762,7.194584,0.188038,-0.104114,-0.002300
0.070000,0.039604,0.090521,9.753742,-0.009420,0.020515,0.001589,0.595779,-0.179682,6.892721,-0.003658,-0.045948,0.003625,0.523624,0.846946,7.323507,0.228618,-0.134331,-0.010021
0.080000,-0.004489,0.073474,9.967596,-0.003617,0.008598,0.009847,0.038820,-0.060464,9.840894,0.011842,-0.018841,0.009020,0.558113,0.882672,7.889121,0.236540,-0.148168,0.005786
0.090000,-0.216022,0.125599,9.011651,0.005986,0.036510,0.000631,0.025961,-0.126443,10.036017,0.003133,-0.020410,-0.000048,0.412787,0.801518,8.375114,0.258520,-0.161001,0.002874
0.100000,-0.081142,-0.027980,9.829924,0.004178,0.039213,-0.002657,0.620824,-0.241077,6.541468,-0.015392,-0.046067,0.001838,0.393499,0.777427,8.827886,0.287377,-0.168591,-0.000500
0.110000,-0.202931,0.018224,8.852883,-0.005249,0.062235,-0.005007,0.181122,-0.106929,9.973445,-0.022723,-0.049963,0.010523,0.401335,0.737047,9.171348,0.293716,-0.165167,0.006870
0.120000,-0.311295,0.010931,8.618556,0.008972,0.075906,-0.009778,0.213576,0.046252,10.064477,-0.030874,-0.059116,0.002803,0.397626,0.699696,9.695155,0.295606,-0.175474,0.009913
0.130000,-0.224253,0.024509,9.154465,0.013705,0.078473,-0.008182,0.228212,-0.088345,8.829172,-0.030527,-0.065091,-0.008709,0.258654,0.489893,11.053750,0.292386,-0.173105,0.002775
0.140000,-0.320759,0.028106,8.200135,0.003158,0.091916,-0.001854,0.131367,-0.085064,10.048903,-0.019221,-0.064728,-0.002231,0.154568,0.281226,11.681117,0.281720,-0.166228,0.004743
0.150000,-0.467281,-0.041208,8.916087,0.000574,0.089361,-0.004652,0.411830,-0.045536,7.930749,-0.027136,-0.081012,0.014827,0.256163,0.418088,11.256949,0.268545,-0.153842,-0.000107
0.160000,-0.349719,0.009975,8.716211,-0.005161,0.120980,0.003445,0.246211,0.037392,9.531795,-0.028216,-0.080817,-0.003332,0.181888,0.434702,11.162819,0.257426,-0.161431,-0.007963
0.170000,-0.343970,0.096125,8.407440,0.001919,0.127909,-0.009118,0.367033,-0.119244,9.284276,-0.040726,-0.100046,0.003883,0.171137,0.338707,10.939825,0.262955,-0.158576,0.001856
0.180000,-0.419267,-0.019469,8.581751,0.015548,0.140602,0.007802,0.352870,-0.221367,8.821077,-0.055451,-0.119211,0.009564,0.187355,0.359768,10.836383,0.239571,-0.129717,0.008796
0.190000,-0.356104,-0.058306,8.559426,0.017475,0.162787,0.012156,0.374102,-0.194186,9.422355,-0.051495,-0.114093,0.002918,0.271516,0.415760,10.714615,0.228109,-0.144202,-0.006670
0.200000,-0.572335,-0.056690,9.120833,0.001383,0.155542,-0.007002,0.405975,-0.239377,8.870826,-0.049364,-0.135727,-0.005251,0.219308,0.421167,10.658052,0.226722,-0.138726,0.015538
0.210000,-0.401644,0.066558,9.787238,0.005988,0.158442,-0.001247,0.433867,-0.150962,8.811732,-0.068923,-0.129527,-0.005525,0.105088,0.287976,10.741719,0.214445,-0.126072,0.007149
0.220000,-0.515388,0.006370,9.952705,-0.001033,0.168104,0.009417,0.363220,-0.205077,8.802649,-0.069511,-0.142028,0.014936,0.194705,0.303959,10.689014,0.202208,-0.126723,-0.005730
0.230000,-0.384405,0.063000,10.123202,-0.000710,0.172707,0.007158,0.423368,-0.292427,8.936657,-0.075456,-0.149524,0.000617,0.167577,0.322366,10.783018,0.180310,-0.101465,0.009498
0.240000,-0.308499,0.027297,10.424638,0.003986,0.165086,0.007857,0.221179,-0.231608,9.418207,-0.075532,-0.139708,-0.002947,0.207753,0.307036,10.694996,0.160585,-0.090907,-0.006210
0.250000,-0.252027,-0.013831,10.935185,0.001674,0.157449,0.001519,0.205572,-0.261467,9.829302,-0.074299,-0.150289,0.000769,0.176923,0.190021,10.724508,0.142916,-0.092914,0.001556
0.260000,-0.227520,0.034565,11.625871,-0.005563,0.151714,0.001429,0.249381,-0.273775,10.205823,-0.082471,-0.145118,-0.000074,0.219169,0.262992,10.761695,0.133214,-0.085236,0.009472
0.270000,-0.270907,0.064978,11.566996,-0.001514,0.140430,-0.005567,0.128919,-0.231295,10.296060,-0.100977,-0.147116,-0.007232,0.140437,0.186514,10.862736,0.106436,-0.063014,0.004525
0.280000,-0.232914,-0.029520,11.280038,-0.007880,0.140607,-0.006703,0.259277,-0.187347,10.363229,-0.098172,-0.136889,0.003717,0.092006,0.154666,10.882622,0.092807,-0.052347,-0.009838
0.290000,-0.146738,0.066870,11.009369,-0.003285,0.128583,0.003066,0.264634,-0.193711,10.771641,-0.095592,-0.139321,0.010645,0.170932,0.321742,10.976174,0.081038,-0.044042,0.012828
0.300000,-0.174645,0.029292,10.666889,0.004787,0.128013,0.002081,0.137201,-0.270857,11.109680,-0.090789,-0.112520,0.001588,0.104900,0.314882,10.902675,0.067028,-0.027840,0.019525
0.310000,-0.352321,-0.050020,10.117431,0.016126,0.117040,0.003884,0.240009,-0.202381,11.376975,-0.088225,-0.110502,-0.007907,0.073289,0.271041,10.929104,0.035831,-0.023746,0.000254
0.320000,-0.278794,0.005986,10.081057,0.002064,0.121353,-0.013666,0.212481,-0.142093,11.390245,-0.086112,-0.095304,0.009311,0.034919,0.216916,10.940719,0.018720,-0.024764,0.016436
0.330000,-0.168125,0.088445,10.255539,0.002528,0.110535,0.014054,0.054574,-0.145725,11.348928,-0.077686,-0.083913,0.006563,0.118229,0.222775,11.031659,-0.001838,-0.018034,-0.001974
0.340000,-0.106621,-0.024009,10.482083,-0.000908,0.094293,-0.004822,0.025667,-0.101219,11.322572,-0.081654,-0.066505,0.010458,0.133028,0.105773,11.188269,-0.028516,0.003833,-0.005011
0.350000,-0.087546,0.082730,10.794625,0.006494,0.077797,0.004714,-0.022947,0.001966,11.083916,-0.075166,-0.062811,-0.009577,0.067792,0.136112,11.050184,-0.033427,-0.001309,-0.007360
0.360000,-0.050998,-0.041783,10.746685,-0.008786,0.067244,0.001680,-0.047898,-0.218747,10.940350,-0.072819,-0.054772,0.008636,0.201785,0.154544,11.111430,-0.051242,0.030671,0.006042
0.370000,-0.048192,0.041261,10.694601,-0.002723,0.051166,-0.002753,0.037677,-0.152487,10.731462,-0.070268,-0.032316,-0.000023,0.215806,0.263235,11.170513,-0.068527,0.028339,0.000288
0.380000,0.002002,0.113403,10.815673,0.013510,0.041229,0.001260,-0.040306,-0.141327,10.859363,-0.053528,-0.015616,-0.000157,0.096203,0.167583,11.159318,-0.074492,0.041914,0.001836
0.390000,-0.003185,0.026707,11.223658,-0.009437,0.018526,-0.003509,-0.141906,-0.220875,10.635218,-0.056023,0.009015,0.007484,0.081611,0.203370,11.287826,-0.082677,0.048874,0.011818
0.400000,0.022138,-0.085822,11.508141,-0.003466,0.004050,-0.006336,-0.096386,-0.196142,10.819250,-0.048093,0.025607,-0.000254,0.050839,0.105445,11.104899,-0.101686,0.066167,-0.001038
0.410000,0.041806,-0.010719,11.604176,-0.000431,-0.004115,-0.002432,-0.069320,-0.132738,10.793412,-0.056728,0.041824,-0.003865,0.076135,0.292546,11.181910,-0.111884,0.058569,0.000631
0.420000,0.021622,0.000460,11.434736,0.010605,-0.030341,0.012412,-0.070663,-0.203622,10.785137,-0.046546,0.069946,0.010694,0.127026,0.268959,11.155271,-0.129058,0.065881,-0.002016
0.430000,0.073691,0.039768,11.318425,0.000375,-0.041034,-0.003594,-0.045955,-0.010344,10.748654,-0.030128,0.049575,0.003170,0.141802,0.277808,11.072363,-0.136823,0.068571,-0.006114
0.440000,-0.013557,-0.020838,10.993739,0.005704,-0.074792,-0.002131,-0.048911,-0.032671,10.818622,-0.036737,0.077946,0.014083,0.184039,0.251857,11.125266,-0.130143,0.077861,0.001918
0.450000,-0.000426,0.111894,10.768917,-0.002808,-0.088161,0.003123,-0.103455,-0.011149,10.802097,-0.027637,0.087532,-0.000767,0.163946,0.267552,10.991713,-0.147512,0.078016,-0.001162
0.460000,0.135132,-0.015506,10.663134,-0.003714,-0.076879,-0.012522,-0.245645,-0.105899,10.837058,-0.010726,0.097879,-0.008052,0.180231,0.285695,10.830817,-0.141775,0.071988,-0.006601
0.470000,0.001025,0.065509,10.574504,0.000603,-0.091153,-0.006362,-0.099613,-0.093846,10.728651,-0.017124,0.097920,-0.004352,0.105028,0.282414,10.840458,-0.150210,0.083690,0.007373
0.480000,0.079784,-0.047695,10.436494,-0.005666,-0.112722,0.007163,-0.061342,-0.073141,10.752598,0.008234,0.128631,0.011277,0.163285,0.260444,10.595076,-0.156257,0.083199,0.001598
0.490000,0.099480,0.064976,10.392497,0.000573,-0.121516,0.003080,-0.199597,-0.051879,10.583819,-0.002115,0.127645,0.003869,0.248174,0.208821,10.590637,-0.157190,0.092937,-0.002249
0.500000,0.045219,0.027871,10.592495,-0.004184,-0.127202,-0.006951,-0.092930,-0.198961,10.339437,0.015812,0.139060,-0.006508,0.095394,0.258603,10.450871,-0.154984,0.092728,-0.001861
0.510000,0.077076,-0.052630,10.575129,0.007726,-0.146867,-0.004805,-0.147591,-0.022451,10.290827,0.030382,0.160532,-0.005731,0.183370,0.373691,10.298169,-0.146936,0.089285,0.002929
0.520000,0.086546,-0.030221,10.501980,-0.011142,-0.147464,0.001735,-0.234736,-0.081462,10.203317,0.028715,0.176248,-0.011975,0.183864,0.327205,10.363218,-0.152953,0.099027,-0.002185
0.530000,-0.002475,-0.002562,10.485826,0.006699,-0.148669,-0.000710,-0.138788,0.162196,10.478808,0.033894,0.167288,0.000817,0.157010,0.384699,10.341150,-0.141547,0.092800,0.003254
0.540000,0.086676,0.002969,10.519263,-0.007985,-0.165498,-0.010004,-0.210609,-0.003685,10.375312,0.046086,0.180202,0.007203,0.243688,0.351476,10.197902,-0.132124,0.087940,0.003519
0.550000,0.089381,-0.049441,10.309520,0.006917,-0.165923,-0.000850,-0.145969,-0.023315,10.513537,0.048656,0.195325,0.005465,0.149059,0.246775,10.214208,-0.140789,0.075347,-0.013967
0.560000,0.126910,0.001346,10.201041,-0.000752,-0.176285,0.009383,-0.177207,0.038507,10.463419,0.061013,0.188468,0.002799,0.239606,0.301715,10.176103,-0.132405,0.081791,-0.008533
0.570000,-0.098568,0.018475,10.154248,-0.005065,-0.172628,0.006013,-0.170277,0.076644,10.661038,0.061282,0.177040,-0.006532,0.230297,0.370062,9.958100,-0.120526,0.067428,0.005526
0.580000,0.077040,0.011166,9.997795,-0.016753,-0.169351,0.005396,-0.233927,0.097133,10.870005,0.062682,0.182620,0.003615,0.231644,0.269316,10.031750,-0.103569,0.062391,0.001416
0.590000,0.070335,-0.031862,9.931123,0.005402,-0.172988,-0.001328,-0.085580,-0.022712,11.239347,0.086412,0.199428,0.002247,0.307357,0.317718,9.994737,-0.108938,0.058851,-0.001538
0.600000,-0.034412,0.013134,9.836293,-0.001059,-0.171225,-0.009839,-0.002171,0.022886,11.124996,0.087388,0.173467,0.001948,0.371570,0.482413,9.881192,-0.105596,0.045349,0.001593
0.610000,-0.059429,-0.174322,9.753169,-0.009926,-0.166636,-0.007123,-0.067933,0.036306,10.733769,0.084880,0.177210,0.000528,0.202929,0.446945,9.753917,-0.087463,0.056080,0.007582
0.620000,-0.053431,-0.022458,9.661435,-0.009424,-0.146340,-0.001100,-0.020493,0.013061,10.581733,0.093283,0.182398,0.005882,0.216112,0.387304,9.708370,-0.071778,0.044112,0.012875
0.630000,-0.171039,-0.078754,9.562205,-0.005369,-0.130731,-0.012464,0.027069,-0.027625,10.401353,0.090471,0.170505,0.002860,0.309379,0.492248,9.658379,-0.061868,0.041739,-0.006748
0.640000,-0.272222,-0.002750,9.434108,-0.015481,-0.110468,0.005687,-0.067356,-0.055085,10.266056,0.091708,0.175203,0.000620,0.320437,0.420135,9.531672,-0.044506,0.032286,-0.005186
