time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.094888,0.821635,1.423114,-2.622593
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.433025,0.908140,1.572925,-2.913219
0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.657115,0.957840,1.659054,-3.115216
0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.853642,0.994045,1.721903,-3.301134
0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.055689,1.026482,1.778303,-3.497512
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.282262,1.061416,1.839084,-3.718728
0.060000,0.289251,-0.133717,-0.000035,-0.256487,0.000000,0.000000,0.000000,0.000000,4.472823,1.085554,1.881183,-3.910098
0.070000,0.226749,-0.099627,-0.000037,-0.203690,0.311655,0.153020,-0.061578,-0.264428,4.521993,1.075521,1.864051,-3.977059
0.080000,1.856960,-0.769634,-0.000379,-1.689960,0.194156,0.090502,-0.036437,-0.167864,4.449882,1.037824,1.798942,-3.935502
0.090000,0.605977,-0.237081,-0.000147,-0.557674,4.968688,2.174743,-0.876321,-4.380687,4.317645,0.986944,1.710955,-3.839353
0.100000,2.136118,-0.787033,-0.000595,-1.985844,0.719598,0.296350,-0.120772,-0.644525,4.230490,0.946086,1.640324,-3.783029
0.110000,1.009687,-0.353670,-0.000308,-0.945720,0.624901,0.240626,-0.099645,-0.568042,4.118050,0.898588,1.558177,-3.704451
0.120000,2.115872,-0.711254,-0.000686,-1.992745,2.313858,0.830794,-0.351369,-2.130788,3.275372,0.694479,1.204429,-2.965655
0.130000,2.765486,-0.904882,-0.000921,-2.613255,1.082759,0.367096,-0.159712,-1.006032,2.377609,0.486887,0.844561,-2.168567
0.140000,2.273556,-0.734615,-0.000757,-2.151604,2.566361,0.822504,-0.369578,-2.402729,2.676175,0.526078,0.912736,-2.460096
0.150000,3.007137,-0.968556,-0.000984,-2.846888,2.015440,0.619791,-0.288500,-1.895950,2.932331,0.550525,0.955361,-2.717126
0.160000,3.251455,-1.048405,-0.001035,-3.077792,1.466511,0.437617,-0.211320,-1.383651,3.085099,0.551453,0.957185,-2.880544
0.170000,3.255970,-1.048673,-0.001010,-3.082471,2.834915,0.825818,-0.414154,-2.680158,3.224250,0.548160,0.951675,-3.031439
0.180000,3.669900,-1.172835,-0.001120,-3.477445,2.144731,0.612961,-0.319783,-2.030244,3.334384,0.539602,0.937009,-3.154197
0.190000,3.413359,-1.073757,-0.001037,-3.240071,3.198342,0.893829,-0.486679,-3.032096,3.403296,0.525227,0.912221,-3.236420
0.200000,3.136523,-0.964722,-0.000955,-2.984475,2.865979,0.776971,-0.444221,-2.722649,3.411425,0.503115,0.873970,-3.258967
0.210000,3.028849,-0.907065,-0.000923,-2.889837,3.506971,0.911762,-0.551849,-3.341108,3.385715,0.477866,0.830244,-3.247369
0.220000,3.015597,-0.878053,-0.000914,-2.884935,3.472963,0.855688,-0.553632,-3.320055,3.426798,0.463175,0.804836,-3.298583
0.230000,2.901840,-0.821878,-0.000865,-2.783018,3.402203,0.787228,-0.549424,-3.263953,3.486051,0.451307,0.784312,-3.366560
0.240000,2.559375,-0.705214,-0.000742,-2.460299,3.178258,0.687268,-0.520995,-3.059011,3.530974,0.437909,0.761105,-3.420049
0.250000,2.081812,-0.556785,-0.000581,-2.005974,3.053220,0.616094,-0.509404,-2.946708,3.557397,0.422839,0.734961,-3.454868
0.260000,1.889977,-0.488077,-0.000503,-1.825868,3.044078,0.573425,-0.518187,-2.944329,3.562132,0.406202,0.706062,-3.467746
0.270000,2.076794,-0.513904,-0.000525,-2.012207,2.993096,0.526306,-0.520564,-2.900110,3.539025,0.387821,0.674098,-3.452519
0.280000,2.279787,-0.535310,-0.000545,-2.216049,2.861535,0.467873,-0.508173,-2.776911,3.490790,0.368511,0.640492,-3.411684
0.290000,2.603537,-0.573403,-0.000592,-2.539609,2.602357,0.391477,-0.470449,-2.529365,3.475012,0.354645,0.616317,-3.401483
0.300000,2.934475,-0.598454,-0.000643,-2.872803,2.316501,0.314576,-0.424055,-2.255526,3.467983,0.343960,0.597640,-3.398738
0.310000,3.128408,-0.583260,-0.000673,-3.073555,2.130088,0.253862,-0.392149,-2.078232,3.428462,0.332990,0.578434,-3.362868
0.320000,3.120368,-0.525907,-0.000671,-3.075731,2.001018,0.201229,-0.367655,-1.956632,3.361199,0.323010,0.560915,-3.298287
0.330000,3.019057,-0.455920,-0.000655,-2.984433,1.936904,0.155369,-0.352395,-1.898229,3.281879,0.316083,0.548664,-3.220215
0.340000,2.885912,-0.387769,-0.000631,-2.859742,1.983670,0.116268,-0.354665,-1.948240,3.191470,0.312485,0.542161,-3.129520
0.350000,2.799209,-0.332383,-0.000612,-2.779405,2.193533,0.079747,-0.382739,-2.158411,3.104147,0.313404,0.543471,-3.040089
0.360000,2.785607,-0.289693,-0.000603,-2.770503,2.304656,0.032618,-0.390152,-2.271157,3.022902,0.318611,0.552207,-2.954909
0.370000,2.630184,-0.236016,-0.000561,-2.619574,2.329465,-0.016886,-0.380784,-2.298071,2.924196,0.324656,0.562397,-2.851180
0.380000,2.141259,-0.161368,-0.000449,-2.135169,2.318616,-0.063152,-0.364449,-2.288923,2.801885,0.329300,0.570176,-2.723420
0.390000,1.661907,-0.100491,-0.000345,-1.658866,2.287795,-0.103942,-0.344336,-2.259344,2.701962,0.336466,0.582352,-2.616917
0.400000,1.359133,-0.061222,-0.000283,-1.357753,2.237929,-0.138137,-0.320902,-2.210490,2.626856,0.345704,0.598146,-2.534380
0.410000,1.313487,-0.038486,-0.000279,-1.312923,2.210493,-0.168513,-0.299971,-2.183552,2.558197,0.353989,0.612324,-2.458479
0.420000,1.297486,-0.017573,-0.000289,-1.297367,2.195466,-0.195875,-0.279448,-2.168781,2.508708,0.362544,0.627010,-2.401882
0.430000,1.474534,0.002847,-0.000358,-1.474531,2.117208,-0.213850,-0.249809,-2.091515,2.459900,0.368432,0.637125,-2.347219
0.440000,1.736330,0.029103,-0.000487,-1.736086,1.979154,-0.221463,-0.213199,-1.955135,2.419202,0.372558,0.644238,-2.301889
0.450000,1.921504,0.058501,-0.000670,-1.920613,1.945676,-0.237488,-0.187765,-1.921978,2.416840,0.379736,0.656673,-2.294711
0.460000,2.021578,0.085682,-0.000936,-2.019761,1.927116,-0.253406,-0.162807,-1.903432,2.503967,0.398531,0.689247,-2.374018
0.470000,2.032955,0.105679,-0.001305,-2.030206,1.941613,-0.272079,-0.139549,-1.917383,2.575161,0.412635,0.713754,-2.439619
0.480000,1.974204,0.116058,-0.001788,-1.970788,2.104014,-0.310997,-0.124105,-2.077199,2.643702,0.424451,0.734331,-2.503949
0.490000,1.882254,0.117763,-0.002400,-1.878565,2.256126,-0.348181,-0.104293,-2.226656,2.705482,0.433880,0.750767,-2.562759
0.500000,1.820169,0.115217,-0.003224,-1.816516,2.361826,-0.376520,-0.080482,-2.330231,2.755874,0.440944,0.763029,-2.611167
0.510000,1.804498,0.110260,-0.004369,-1.801121,2.365300,-0.385183,-0.054442,-2.333091,2.793015,0.446233,0.772024,-2.646844
0.520000,1.774266,0.099631,-0.005778,-1.771457,2.256316,-0.371132,-0.030330,-2.225377,2.819452,0.451025,0.779819,-2.671661
0.530000,1.743079,0.084894,-0.007518,-1.740995,2.189622,-0.359919,-0.012282,-2.159804,2.841689,0.457079,0.789278,-2.691341
0.540000,1.798681,0.070149,-0.010122,-1.797284,2.163892,-0.352064,0.000558,-2.135059,2.868302,0.466255,0.803402,-2.713725
0.550000,1.917700,0.052080,-0.013915,-1.916942,2.074069,-0.331325,0.008209,-2.047418,2.907587,0.480117,0.824631,-2.746549
0.560000,2.044313,0.026744,-0.018967,-2.044050,1.874487,-0.292075,0.010082,-1.851564,2.964610,0.499452,0.854011,-2.794660
0.570000,2.172311,-0.007778,-0.025607,-2.172147,1.515011,-0.228926,0.006909,-1.497599,3.040148,0.524048,0.890816,-2.859077
0.580000,2.309924,-0.054325,-0.034401,-2.309029,1.029360,-0.149905,0.001816,-1.018384,3.132025,0.552846,0.932853,-2.938321
0.590000,2.467346,-0.117886,-0.046168,-2.464095,0.770038,-0.107303,-0.002081,-0.762522,3.237354,0.584313,0.977148,-3.030548
0.600000,2.648284,-0.205811,-0.061895,-2.639549,1.060599,-0.140336,-0.009188,-1.051233,3.354120,0.616826,1.020675,-3.134944
0.610000,2.846279,-0.326705,-0.082530,-2.826262,1.272417,-0.158713,-0.020884,-1.262307,3.480822,0.648827,1.060706,-3.251161
0.620000,3.046518,-0.487895,-0.108668,-3.005233,1.412574,-0.165003,-0.037433,-1.402404,3.613965,0.678623,1.094607,-3.376692
0.630000,3.229833,-0.691530,-0.140153,-3.151819,1.490472,-0.161920,-0.058718,-1.480487,3.745898,0.704224,1.119769,-3.504560
0.640000,3.372470,-0.929138,-0.175440,-3.237202,1.533948,-0.153646,-0.085076,-1.523861,3.866591,0.723854,1.134590,-3.624813
0.650000,3.439279,-1.174309,-0.210553,-3.225725,1.573147,-0.143536,-0.117940,-1.562140,3.969678,0.737075,1.140233,-3.730273
0.660000,3.381200,-1.377869,-0.238281,-3.078508,1.630067,-0.133117,-0.159986,-1.616726,4.057718,0.745477,1.141383,-3.821856
0.670000,3.163295,-1.482780,-0.250372,-2.783004,1.716919,-0.122266,-0.214954,-1.699016,4.140797,0.751958,1.144683,-3.907744
0.680000,3.085595,-1.607093,-0.267335,-2.620436,1.842504,-0.109989,-0.288028,-1.816525,4.228794,0.758989,1.155769,-3.996353
0.690000,2.897216,-1.624483,-0.267796,-2.383946,2.016621,-0.094761,-0.386601,-1.976947,4.324244,0.767346,1.177218,-4.089551
0.700000,2.439111,-1.431668,-0.234605,-1.960752,2.251084,-0.074524,-0.521068,-2.188678,4.422427,0.776450,1.208881,-4.182534
0.710000,1.794612,-1.076715,-0.175494,-1.424963,2.554926,-0.046648,-0.704224,-2.455512,4.517995,0.785931,1.250029,-4.269896
0.720000,1.196269,-0.719289,-0.116481,-0.948744,2.920748,-0.008578,-0.946159,-2.763237,4.610780,0.796890,1.301203,-4.350991
0.730000,0.756374,-0.448536,-0.072038,-0.604755,3.302657,0.039934,-1.240747,-3.060473,4.704843,0.811662,1.364034,-4.429013
0.740000,0.501591,-0.289443,-0.046018,-0.407061,3.603007,0.093577,-1.546934,-3.252676,4.802978,0.832476,1.439350,-4.505980
0.750000,0.433058,-0.240187,-0.037737,-0.358365,3.700886,0.141347,-1.785629,-3.238535,4.902748,0.860120,1.525161,-4.579412
0.760000,0.774994,-0.407872,-0.063192,-0.655944,3.522946,0.172722,-1.874120,-2.978085,4.997072,0.893305,1.615811,-4.643478
0.770000,1.135946,-0.558531,-0.084946,-0.985495,3.112743,0.185254,-1.789087,-2.540475,5.078569,0.928909,1.702854,-4.693536
0.780000,1.503139,-0.677840,-0.100300,-1.337872,3.036154,0.215426,-1.847666,-2.399574,5.144470,0.962954,1.777317,-4.730691
0.790000,1.934370,-0.783885,-0.111147,-1.764924,2.746003,0.232189,-1.734576,-2.116097,5.197691,0.991541,1.831663,-4.762127
0.800000,2.321112,-0.828084,-0.109746,-2.165593,2.169667,0.218854,-1.396089,-1.646357,5.244041,1.011330,1.860491,-4.797474
0.810000,2.797571,-0.863234,-0.102873,-2.659069,1.417478,0.169309,-0.913480,-1.070575,5.290621,1.020075,1.861094,-4.846282
0.820000,3.077923,-0.812890,-0.082269,-2.967499,0.763248,0.106149,-0.485485,-0.579297,5.347473,1.017506,1.834621,-4.918771
0.830000,3.058081,-0.690946,-0.054847,-2.978498,0.310963,0.049263,-0.192921,-0.238857,5.425118,1.005195,1.785507,-5.023291
0.840000,2.901581,-0.566557,-0.031602,-2.845556,0.093565,0.016522,-0.056061,-0.073067,5.524417,0.985039,1.718710,-5.157026
0.850000,2.496084,-0.430235,-0.014353,-2.458684,0.624231,0.120527,-0.357765,-0.497134,5.627765,0.958450,1.638674,-5.297911
0.860000,2.412134,-0.378768,-0.005701,-2.382203,0.575306,0.119438,-0.311618,-0.468621,5.708955,0.928669,1.553784,-5.414379
0.870000,2.203670,-0.329757,-0.001291,-2.178857,1.031302,0.226710,-0.520367,-0.861048,5.757088,0.903368,1.480432,-5.489655
0.880000,1.907940,-0.286941,-0.000362,-1.886239,1.410207,0.323211,-0.650844,-1.208562,5.785940,0.892598,1.438226,-5.532800
0.890000,1.708313,-0.271489,-0.001519,-1.686602,1.581828,0.371834,-0.653269,-1.391819,5.818569,0.903218,1.439681,-5.564824
0.900000,1.653118,-0.288279,-0.003958,-1.627783,2.339132,0.553408,-0.842705,-2.110717,5.867294,0.934887,1.483537,-5.599129
0.910000,1.766073,-0.345879,-0.007866,-1.731854,2.634339,0.612788,-0.805290,-2.432230,5.930522,0.980516,1.555958,-5.638144
0.920000,1.941796,-0.432081,-0.013296,-1.893067,2.986775,0.664323,-0.752731,-2.812987,6.004802,1.030567,1.638240,-5.684343
0.930000,2.189222,-0.554121,-0.020413,-2.117836,3.326239,0.683792,-0.671909,-3.185095,6.090996,1.077531,1.715146,-5.744339
0.940000,2.451035,-0.699342,-0.028387,-2.348976,3.426982,0.625663,-0.540780,-3.325704,6.182151,1.116643,1.777355,-5.814904
0.950000,2.674702,-0.844012,-0.035519,-2.537797,3.194453,0.496711,-0.384502,-3.132087,6.257192,1.145218,1.821133,-5.875747
0.960000,2.835433,-0.962079,-0.039992,-2.666924,2.797677,0.357175,-0.250483,-2.763454,6.305059,1.164870,1.851558,-5.913424
0.970000,2.971257,-1.046421,-0.041140,-2.780590,2.683913,0.275370,-0.173985,-2.664074,6.348817,1.182200,1.882114,-5.947060
0.980000,3.170878,-1.112655,-0.039481,-2.968991,2.506061,0.209646,-0.115882,-2.494586,6.420886,1.201351,1.921115,-6.007816
