time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.561140,0.414454,0.717855,-1.322902
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.038492,0.539110,0.933767,-1.729997
0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.326064,0.608464,1.053933,-1.982315
0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.591722,0.666319,1.154245,-2.222782
0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.872167,0.722076,1.250986,-2.482535
0.050000,0.259687,-0.125073,-0.000023,-0.227583,1.533549,0.369000,-0.639725,-1.344011,3.178375,0.778908,1.349651,-2.770165
0.060000,0.233323,-0.107592,-0.000029,-0.207036,0.253344,0.058401,-0.101291,-0.224750,3.393633,0.809993,1.403744,-2.981637
0.070000,1.015073,-0.445392,-0.000166,-0.912140,3.540001,0.774025,-1.343234,-3.182486,3.403925,0.791996,1.372777,-3.012462
0.080000,2.111650,-0.877827,-0.000427,-1.920543,0.609797,0.126358,-0.219406,-0.554749,3.271391,0.742891,1.287864,-2.914021
0.090000,1.219559,-0.481124,-0.000289,-1.120644,2.282563,0.446121,-0.775149,-2.100051,3.099622,0.687111,1.191346,-2.777810
0.100000,2.201516,-0.826819,-0.000588,-2.040353,1.010077,0.187321,-0.325671,-0.937605,3.019628,0.652512,1.131530,-2.722503
0.110000,2.509641,-0.906096,-0.000723,-2.340361,1.980626,0.351035,-0.610623,-1.851160,2.903738,0.609919,1.057838,-2.634515
0.120000,2.158541,-0.758428,-0.000648,-2.020912,2.691642,0.461442,-0.802973,-2.527300,2.233515,0.453735,0.787095,-2.040391
0.130000,2.706354,-0.936216,-0.000821,-2.539262,2.420400,0.407076,-0.708492,-2.278303,2.109494,0.411683,0.714301,-1.941715
0.140000,3.116748,-1.071007,-0.000937,-2.926955,2.752059,0.459094,-0.799037,-2.593184,2.301036,0.428500,0.743659,-2.134977
0.150000,3.369174,-1.154270,-0.000994,-3.165279,3.224291,0.536855,-0.934298,-3.038903,2.498631,0.441519,0.766452,-2.336829
