time,wind_vx,wind_vy,wind_vz
0.000000,1.000000,0.500000,0.000000
0.010000,1.001786,0.498116,-0.002817
0.020000,0.998464,0.497853,-0.005347
0.030000,1.007351,0.499103,-0.009779
0.040000,1.008759,0.496218,-0.014969
0.050000,1.009698,0.500630,-0.015445
0.060000,1.009242,0.499584,-0.006145
0.070000,1.008353,0.501381,-0.006466
0.080000,1.015419,0.495688,-0.003637
0.090000,1.013699,0.496344,-0.010075
0.100000,1.013322,0.498815,-0.006570
0.110000,1.006736,0.496333,-0.003730
0.120000,0.998739,0.496839,-0.004726
0.130000,0.995161,0.498213,-0.006410
0.140000,0.991843,0.501102,-0.007401
0.150000,0.990019,0.507064,-0.000974
0.160000,0.989153,0.511424,0.001071
0.170000,0.994495,0.506801,-0.001144
0.180000,0.995628,0.505631,0.004199
0.190000,0.994940,0.509286,0.005001
0.200000,0.993670,0.507065,-0.002181
0.210000,0.999781,0.503817,-0.003750
0.220000,0.992713,0.509011,-0.001447
0.230000,0.994330,0.512768,-0.006860
0.240000,0.989121,0.515669,-0.002177
0.250000,0.984902,0.508700,-0.000412
0.260000,0.984137,0.501820,-0.005266
0.270000,0.983641,0.502911,-0.005651
0.280000,0.977083,0.500088,-0.006808
0.290000,0.985540,0.499999,-0.010040
0.300000,0.981511,0.502155,-0.009863
0.310000,0.990128,0.504342,-0.005186
0.320000,0.991161,0.508592,0.000478
0.330000,0.983284,0.507469,0.003690
0.340000,0.990103,0.505131,0.000088
0.350000,0.989488,0.509989,0.002938
0.360000,0.985159,0.509363,0.002629
0.370000,0.982893,0.508848,-0.003912
0.380000,0.990063,0.514191,-0.009273
0.390000,0.986965,0.513686,-0.009886
0.400000,0.984162,0.520120,-0.013242
0.410000,0.977173,0.522167,-0.014231
0.420000,0.978557,0.516949,-0.015522
0.430000,0.978730,0.517634,-0.017200
0.440000,0.977027,0.512583,-0.021953
0.450000,0.976661,0.512227,-0.029090
0.460000,0.982227,0.508568,-0.030627
0.470000,0.985357,0.517124,-0.030667
0.480000,0.982928,0.512766,-0.031597
0.490000,0.978964,0.516823,-0.030846
0.500000,0.985866,0.516455,-0.029126
0.510000,0.986516,0.522673,-0.026258
0.520000,0.985801,0.516743,-0.027114
0.530000,0.987477,0.521195,-0.030117
0.540000,0.987432,0.514971,-0.033185
0.550000,0.992178,0.509970,-0.039060
0.560000,0.993685,0.509585,-0.037439
0.570000,0.994961,0.510093,-0.034949
0.580000,0.992775,0.506922,-0.036818
0.590000,0.997189,0.503135,-0.028155
