time,load_gps_x,load_gps_y,load_gps_z,drone0_gps_x,drone0_gps_y,drone0_gps_z,drone1_gps_x,drone1_gps_y,drone1_gps_z,drone2_gps_x,drone2_gps_y,drone2_gps_z
0.000000,-0.025348,-0.007703,0.121531,0.613921,-0.000968,1.223923,-0.319462,0.495921,1.208310,-0.272066,-0.527842,1.141047
0.010000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.020000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.030000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.040000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.050000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.060000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.070000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.080000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.090000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.100000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.110000,0.020863,0.014422,0.149644,0.581257,0.031548,1.182135,-0.285419,0.535476,1.210482,-0.287950,-0.508686,1.240944
0.120000,0.020863,0.014422,0.149644,0.581257,0.031548,1.182135,-0.285419,0.535476,1.210482,-0.287950,-0.508686,1.240944
0.130000,0.020863,0.014422,0.149644,0.581257,0.031548,1.182135,-0.285419,0.535476,1.210482,-0.287950,-0.508686,1.240944
0.140000,0.020863,0.014422,0.149644,0.581257,0.031548,1.182135,-0.285419,0.535476,1.210482,-0.287950,-0.508686,1.240944
0.150000,0.020863,0.014422,0.149644,0.581257,0.031548,1.182135,-0.285419,0.535476,1.210482,-0.287950,-0.508686,1.240944
0.160000,0.020863,0.014422,0.149644,0.581257,0.031548,1.182135,-0.285419,0.535476,1.210482,-0.287950,-0.508686,1.240944
0.170000,0.020863,0.014422,0.149644,0.581257,0.031548,1.182135,-0.285419,0.535476,1.210482,-0.287950,-0.508686,1.240944
0.180000,0.020863,0.014422,0.149644,0.581257,0.031548,1.182135,-0.285419,0.535476,1.210482,-0.287950,-0.508686,1.240944
0.190000,0.020863,0.014422,0.149644,0.581257,0.031548,1.182135,-0.285419,0.535476,1.210482,-0.287950,-0.508686,1.240944
0.200000,0.020863,0.014422,0.149644,0.581257,0.031548,1.182135,-0.285419,0.535476,1.210482,-0.287950,-0.508686,1.240944
0.210000,-0.016539,-0.001511,0.062259,0.587540,0.009546,1.241872,-0.300000,0.511468,1.137061,-0.277121,-0.502939,1.212228
0.220000,-0.016539,-0.001511,0.062259,0.587540,0.009546,1.241872,-0.300000,0.511468,1.137061,-0.277121,-0.502939,1.212228
0.230000,-0.016539,-0.001511,0.062259,0.587540,0.009546,1.241872,-0.300000,0.511468,1.137061,-0.277121,-0.502939,1.212228
0.240000,-0.016539,-0.001511,0.062259,0.587540,0.009546,1.241872,-0.300000,0.511468,1.137061,-0.277121,-0.502939,1.212228
