time,load_x,load_y,load_z,load_vx,load_vy,load_vz,load_qw,load_qx,load_qy,load_qz,load_wx,load_wy,load_wz,drone0_x,drone0_y,drone0_z,drone0_vx,drone0_vy,drone0_vz,drone0_qw,drone0_qx,drone0_qy,drone0_qz,drone0_wx,drone0_wy,drone0_wz,drone1_x,drone1_y,drone1_z,drone1_vx,drone1_vy,drone1_vz,drone1_qw,drone1_qx,drone1_qy,drone1_qz,drone1_wx,drone1_wy,drone1_wz,drone2_x,drone2_y,drone2_z,drone2_vx,drone2_vy,drone2_vz,drone2_qw,drone2_qx,drone2_qy,drone2_qz,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.159500,0.000075,0.000037,-0.098100,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600001,0.000000,1.200000,-0.000024,0.000060,-0.000521,1.000000,0.000000,-0.000000,0.000000,0.000136,0.001906,0.000000,-0.299999,0.519616,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000,-0.299999,-0.519615,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000
0.020000,0.000002,0.000001,0.158018,0.000150,0.000075,-0.196201,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599994,0.000001,1.199960,-0.001320,0.000120,-0.007115,1.000000,0.000002,0.000042,0.000000,0.000369,0.013925,0.000000,-0.299998,0.519616,1.200000,0.000240,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000369,-0.000726,0.000000,-0.299998,-0.519614,1.200000,0.000240,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000369,-0.000726,0.000000
0.030000,0.000003,0.000002,0.155556,0.000226,0.000112,-0.294301,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599970,0.000003,1.199845,-0.003436,0.000179,-0.015972,1.000000,0.000004,0.000148,0.000000,0.000610,0.028112,0.000000,-0.299995,0.519618,1.200000,0.000361,0.000179,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000611,-0.001212,0.000000,-0.299995,-0.519613,1.200000,0.000361,0.000179,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000611,-0.001212,0.000000
0.040000,0.000006,0.000003,0.152113,0.000302,0.000150,-0.392402,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599923,0.000005,1.199634,-0.006166,0.000238,-0.026272,1.000000,0.000008,0.000326,0.000000,0.000842,0.043018,0.000000,-0.299990,0.519620,1.200000,0.000481,0.000238,-0.000003,1.000000,0.000008,-0.000015,0.000000,0.000844,-0.001687,0.000000,-0.299990,-0.519610,1.200000,0.000481,0.000238,-0.000004,1.000000,0.000008,-0.000015,0.000000,0.000845,-0.001687,0.000000
0.050000,0.000009,0.000004,0.148142,0.000348,0.000134,-0.261880,1.000000,-0.000002,0.000005,-0.000000,-0.000897,0.002335,-0.000000,0.599845,0.000007,1.199314,-0.009429,0.000297,-0.037764,1.000000,0.000012,0.000582,0.000000,0.001062,0.058926,0.000000,-0.299985,0.519623,1.200000,0.000600,0.000297,-0.000004,1.000000,0.000012,-0.000025,0.000000,0.001068,-0.002143,0.000000,-0.299980,-0.519599,1.199944,0.001717,0.002232,-0.012039,1.000000,0.000067,-0.000055,0.000000,0.019851,-0.012726,0.000001
0.060000,0.000013,0.000006,0.147458,0.000402,0.000161,0.029355,1.000000,-0.000007,0.000017,-0.000000,-0.001079,0.002703,-0.000000,0.599732,0.000011,1.198874,-0.013064,0.000354,-0.049792,1.000000,0.000018,0.000917,0.000000,0.001269,0.074756,0.000000,-0.299978,0.519626,1.200000,0.000716,0.000354,-0.000004,1.000000,0.000018,-0.000037,0.000000,0.001280,-0.002574,0.000000,-0.299961,-0.519574,1.199822,0.002069,0.002698,-0.012180,1.000000,0.000149,-0.000110,0.000000,0.014544,-0.010275,0.000000
0.070000,0.000017,0.000008,0.147926,0.000457,0.000188,0.052070,1.000000,-0.000013,0.000032,-0.000000,-0.001258,0.003063,-0.000000,0.599583,0.000015,1.198319,-0.016758,0.000409,-0.060807,0.999999,0.000025,0.001327,0.000000,0.001463,0.088514,0.000001,-0.299961,0.519614,1.199892,0.002335,-0.002199,-0.017287,1.000000,-0.000066,-0.000101,-0.000000,-0.020499,-0.015492,-0.000002,-0.299933,-0.519536,1.199642,0.003655,0.005306,-0.026210,1.000000,0.000277,-0.000193,0.000000,0.036961,-0.023091,0.000002
0.080000,0.000022,0.000010,0.148414,0.000512,0.000214,0.044117,1.000000,-0.000020,0.000048,-0.000000,-0.001436,0.003427,-0.000000,0.599397,0.000019,1.197662,-0.020328,0.000462,-0.070019,0.999998,0.000033,0.001800,0.000000,0.001643,0.100205,0.000001,-0.299936,0.519590,1.199718,0.002689,-0.002564,-0.017055,1.000000,-0.000148,-0.000169,-0.000000,-0.014214,-0.012604,-0.000001,-0.299893,-0.519477,1.199369,0.004408,0.006471,-0.027859,1.000000,0.000448,-0.000302,0.000000,0.033887,-0.021932,0.000001
0.090000,0.000027,0.000012,0.148787,0.000567,0.000241,0.030211,1.000000,-0.000027,0.000066,-0.000000,-0.001613,0.003790,-0.000000,0.599176,0.000024,1.196924,-0.023693,0.000514,-0.077176,0.999997,0.000042,0.002327,0.000000,0.001808,0.110131,0.000001,-0.299908,0.519563,1.199556,0.003320,-0.003418,-0.019449,1.000000,-0.000217,-0.000232,-0.000000,-0.022699,-0.017543,-0.000003,-0.299838,-0.519395,1.198996,0.006186,0.009418,-0.042589,1.000000,0.000685,-0.000451,0.000000,0.051499,-0.032203,0.000003
0.100000,0.000033,0.000015,0.149009,0.000622,0.000268,0.014538,1.000000,-0.000036,0.000086,-0.000000,-0.001792,0.004154,-0.000000,0.598923,0.000029,1.196125,-0.026807,0.000563,-0.082241,0.999996,0.000051,0.002900,0.000000,0.001959,0.118482,0.000001,-0.299863,0.519510,1.199230,0.004979,-0.006064,-0.036207,1.000000,-0.000404,-0.000362,-0.000000,-0.035946,-0.025836,-0.000005,-0.299770,-0.519290,1.198536,0.007709,0.011928,-0.052803,0.999999,0.000958,-0.000621,0.000000,0.063173,-0.039053,0.000004
0.110000,0.000040,0.000017,0.149084,0.000676,0.000295,0.001714,1.000000,-0.000045,0.000108,-0.000000,-0.001970,0.004515,-0.000000,0.598640,0.000035,1.195285,-0.029650,0.000609,-0.085304,0.999994,0.000061,0.003510,0.000000,0.002096,0.125382,0.000000,-0.299810,0.519446,1.198873,0.005533,-0.006808,-0.034840,1.000000,-0.000570,-0.000485,-0.000000,-0.032020,-0.024107,-0.000004,-0.299685,-0.519157,1.197958,0.009244,0.014466,-0.062153,0.999999,0.001293,-0.000828,0.000000,0.070768,-0.043771,0.000005
0.120000,0.000047,0.000020,0.149065,0.000729,0.000321,-0.004268,1.000000,-0.000055,0.000131,-0.000000,-0.002147,0.004872,-0.000000,0.598330,0.000041,1.194424,-0.032210,0.000653,-0.086527,0.999991,0.000072,0.004152,0.000000,0.002216,0.130913,0.000000,-0.299745,0.519362,1.198422,0.007284,-0.009642,-0.052588,0.999999,-0.000800,-0.000645,-0.000000,-0.052050,-0.035665,-0.000010,-0.299583,-0.518997,1.197265,0.011047,0.017477,-0.074748,0.999998,0.001684,-0.001069,0.000000,0.082894,-0.050952,0.000006
