time,drone0_tau_x,drone0_tau_y,drone0_tau_z,drone0_f_x,drone0_f_y,drone0_f_z,drone1_tau_x,drone1_tau_y,drone1_tau_z,drone1_f_x,drone1_f_y,drone1_f_z,drone2_tau_x,drone2_tau_y,drone2_tau_z,drone2_f_x,drone2_f_y,drone2_f_z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750
0.010000,0.000300,-0.004513,-0.000000,-0.000007,-0.000010,19.528627,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317757,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317760
0.020000,0.000339,-0.021807,-0.000000,0.001815,-0.000066,21.539084,0.000338,-0.000724,-0.000000,-0.000133,-0.000068,22.317771,0.000338,-0.000724,-0.000000,-0.000133,-0.000068,22.317776
0.030000,0.000338,-0.037275,-0.000000,0.006285,-0.000169,21.178390,0.000335,-0.000725,-0.000000,-0.000350,-0.000178,22.317797,0.000335,-0.000725,-0.000000,-0.000350,-0.000178,22.317806
0.040000,0.000326,-0.049568,-0.000001,0.013775,-0.000322,21.097313,0.000319,-0.000698,-0.000000,-0.000675,-0.000341,22.317837,0.000319,-0.000698,-0.000000,-0.000675,-0.000341,22.317850
0.050000,0.000319,-0.060281,-0.000002,0.024577,-0.000525,21.125737,0.000306,-0.000666,-0.000000,-0.001104,-0.000555,22.317874,-0.027383,0.014628,-0.000001,-0.002454,-0.003006,22.285664
0.060000,0.000309,-0.068433,-0.000003,0.039224,-0.000781,21.379919,0.000288,-0.000628,-0.000000,-0.001631,-0.000818,22.317880,-0.010994,0.005950,-0.000001,-0.004996,-0.006740,22.658387
0.070000,0.000301,-0.072161,-0.000004,0.057941,-0.001096,21.829965,0.029657,0.015876,0.000004,-0.004518,0.002945,22.390748,-0.042107,0.022863,-0.000004,-0.008418,-0.012090,21.800602
0.080000,0.000290,-0.073106,-0.000006,0.080406,-0.001469,22.331705,0.011965,0.006337,0.000002,-0.007732,0.006785,22.864286,-0.025720,0.014264,-0.000003,-0.012172,-0.018028,20.120403
0.090000,0.000279,-0.072660,-0.000007,0.106289,-0.001897,22.835278,0.025473,0.013159,0.000006,-0.006287,0.005889,13.561852,-0.043436,0.024098,-0.000007,-0.020236,-0.030770,22.458730
