time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,1.229260,-0.650035,-0.000004,-1.043329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.727258,-0.379996,-0.000011,-0.620086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030000,1.118898,-0.573284,-0.000037,-0.960873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040000,1.454947,-0.725909,-0.000084,-1.260923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,1.758500,-0.849476,-0.000153,-1.539711,0.000000,0.000000,0.000000,0.000000,0.262018,0.063039,0.109243,-0.229664
0.060000,1.954612,-0.910801,-0.000230,-1.729436,0.000000,0.000000,0.000000,0.000000,0.232148,0.053450,0.092649,-0.206038
0.070000,2.041294,-0.916088,-0.000303,-1.824188,0.313189,0.068934,-0.119618,-0.281118,0.985442,0.215798,0.374164,-0.885736
0.080000,2.079934,-0.899104,-0.000367,-1.875563,0.219763,0.045634,-0.079236,-0.199837,2.302753,0.477410,0.828037,-2.095019
0.090000,2.091597,-0.871924,-0.000422,-1.901191,5.021701,0.972285,-1.689572,-4.627903,1.210782,0.238058,0.413030,-1.112982
0.100000,2.088369,-0.840734,-0.000466,-1.911662,0.713666,0.129920,-0.225927,-0.664377,2.193098,0.410135,0.711810,-2.033420
0.110000,2.078020,-0.808576,-0.000502,-1.914254,0.631347,0.107547,-0.187173,-0.593295,2.484577,0.446296,0.774769,-2.318118
0.120000,2.065612,-0.776628,-0.000531,-1.914054,1.517211,0.244898,-0.426494,-1.435290,2.155374,0.376504,0.653722,-2.019041
0.130000,2.054980,-0.745267,-0.000556,-1.915077,1.922241,0.297097,-0.517670,-1.827228,2.697187,0.463638,0.805075,-2.532135
0.140000,2.049330,-0.714621,-0.000581,-1.920695,2.100599,0.316320,-0.551306,-2.002129,3.098051,0.528877,0.918359,-2.911155
0.150000,2.050899,-0.684652,-0.000607,-1.933245,2.971209,0.442367,-0.771018,-2.835124,3.345531,0.569409,0.988705,-3.144967
0.160000,2.408038,-0.765785,-0.000743,-2.283028,2.490705,0.371111,-0.646717,-2.376477,3.311618,0.560951,0.973988,-3.115043
0.170000,2.740601,-0.827348,-0.000878,-2.612736,3.322652,0.497585,-0.866919,-3.168735,3.044995,0.510249,0.885958,-2.868225
0.180000,2.905790,-0.831847,-0.000963,-2.784178,2.872716,0.431536,-0.751687,-2.738839,2.832301,0.465838,0.808887,-2.674065
0.190000,3.030078,-0.823779,-0.001032,-2.915949,3.564433,0.533153,-0.928587,-3.399802,2.787906,0.446639,0.775619,-2.640331
0.200000,3.162196,-0.819691,-0.001098,-3.054110,3.829666,0.565119,-0.984268,-3.657622,2.772085,0.429925,0.746677,-2.634786
0.210000,3.316839,-0.824638,-0.001163,-3.212692,3.854921,0.556981,-0.970195,-3.689026,2.654343,0.396773,0.689184,-2.532416
0.220000,3.502252,-0.840781,-0.001227,-3.399832,3.506336,0.494390,-0.861291,-3.362759,2.352739,0.337787,0.586798,-2.253209
0.230000,3.682749,-0.858894,-0.001276,-3.581192,3.273045,0.450565,-0.785026,-3.145401,2.017817,0.277175,0.481561,-1.939809
0.240000,3.790701,-0.862339,-0.001290,-3.691311,3.261569,0.439634,-0.765996,-3.139715,2.101131,0.274852,0.477581,-2.027590
0.250000,3.806259,-0.845743,-0.001266,-3.711108,3.144677,0.416545,-0.725702,-3.031310,2.280462,0.282561,0.491030,-2.208972
0.260000,3.726961,-0.808097,-0.001207,-3.638299,2.572944,0.335292,-0.584042,-2.483247,2.540171,0.296293,0.514955,-2.469717
0.270000,3.594179,-0.758723,-0.001129,-3.513184,1.709829,0.218469,-0.380465,-1.652583,2.853193,0.311060,0.540705,-2.784168
0.280000,3.536143,-0.724841,-0.001073,-3.461057,1.745189,0.217160,-0.378095,-1.689843,3.173958,0.320762,0.557694,-3.108070
0.290000,3.529027,-0.700832,-0.001028,-3.458737,1.771377,0.212753,-0.370329,-1.719118,3.416846,0.317262,0.551786,-3.357039
0.300000,3.452107,-0.662954,-0.000958,-3.387851,1.893072,0.217165,-0.377917,-1.842211,3.469288,0.293483,0.510653,-3.418927
0.310000,3.174325,-0.588209,-0.000832,-3.119351,2.124848,0.230069,-0.400294,-2.074081,3.336717,0.255379,0.444597,-3.297089
0.320000,2.825365,-0.503566,-0.000692,-2.780127,2.503071,0.252571,-0.439390,-2.451226,3.177421,0.218856,0.381256,-3.146863
0.330000,2.586275,-0.441623,-0.000584,-2.548291,2.797815,0.259797,-0.451961,-2.748819,3.076314,0.189912,0.331058,-3.052546
0.340000,2.442951,-0.398091,-0.000500,-2.410297,2.892193,0.244381,-0.425208,-2.850309,3.063925,0.168886,0.294609,-3.045048
0.350000,2.370111,-0.367584,-0.000430,-2.341433,2.832432,0.215707,-0.375438,-2.799140,2.944900,0.144176,0.251675,-2.930582
0.360000,2.245667,-0.331362,-0.000351,-2.221086,2.731129,0.185778,-0.323497,-2.705532,2.476526,0.106563,0.186145,-2.467220
0.370000,2.139312,-0.301358,-0.000276,-2.117980,2.611089,0.156968,-0.273491,-2.591978,1.916095,0.071141,0.124361,-1.910731
0.380000,2.243426,-0.304423,-0.000224,-2.222676,2.547031,0.133258,-0.232348,-2.532909,1.549103,0.048314,0.084524,-1.546041
0.390000,2.282889,-0.303288,-0.000157,-2.262653,2.534466,0.112641,-0.196585,-2.524318,1.323844,0.033409,0.058501,-1.322129
0.400000,2.252569,-0.299895,-0.000081,-2.232517,2.368867,0.085949,-0.150198,-2.362538,1.408554,0.027299,0.047849,-1.407476
0.410000,2.216380,-0.303950,-0.000004,-2.195440,1.888206,0.052227,-0.091462,-1.885267,1.624221,0.022338,0.039195,-1.623594
0.420000,2.178337,-0.316411,0.000074,-2.155234,1.481038,0.027461,-0.048290,-1.479995,1.885843,0.016089,0.028254,-1.885563
0.430000,1.993191,-0.313960,0.000141,-1.968309,1.393659,0.012705,-0.022617,-1.393417,2.018215,0.007955,0.013950,-2.018152
0.440000,1.971101,-0.342698,0.000211,-1.941082,1.360506,-0.000527,0.000405,-1.360506,2.034259,0.000412,0.000599,-2.034259
0.450000,2.081378,-0.403792,0.000296,-2.041834,1.311425,-0.012836,0.021848,-1.311180,1.974946,-0.004970,-0.009057,-1.974919
0.460000,2.227251,-0.485239,0.000383,-2.173751,1.322968,-0.025002,0.043040,-1.322031,1.896574,-0.007806,-0.014350,-1.896504
0.470000,2.364037,-0.580019,0.000455,-2.291778,1.562866,-0.042971,0.074284,-1.560508,1.822073,-0.008304,-0.015661,-1.821987
0.480000,2.504920,-0.691499,0.000494,-2.407582,1.706615,-0.060280,0.104459,-1.702348,1.815971,-0.006982,-0.013965,-1.815904
0.490000,2.641993,-0.816987,0.000470,-2.512500,1.788457,-0.075340,0.130792,-1.782076,1.775042,-0.003540,-0.008695,-1.775017
0.500000,2.755975,-0.947235,0.000340,-2.588077,1.827398,-0.087156,0.151556,-1.819015,1.667102,0.001574,-0.000540,-1.667101
0.510000,2.822525,-1.066435,0.000059,-2.613305,1.842417,-0.095587,0.166508,-1.832386,1.544227,0.007582,0.009133,-1.544181
0.520000,2.820521,-1.155225,-0.000408,-2.573091,1.845619,-0.100807,0.175960,-1.834444,1.745059,0.017256,0.024033,-1.744809
0.530000,2.744585,-1.198689,-0.001062,-2.468986,1.840355,-0.102909,0.180088,-1.828629,1.954013,0.031305,0.045823,-1.953225
0.540000,2.626054,-1.200921,-0.001885,-2.335368,1.825810,-0.101971,0.179032,-1.814148,2.141247,0.050561,0.075836,-2.139306
0.550000,2.587611,-1.215347,-0.002966,-2.284437,1.805293,-0.098439,0.173578,-1.794230,2.319292,0.076805,0.116830,-2.315074
0.560000,2.494672,-1.179302,-0.004191,-2.198322,1.792074,-0.093324,0.165508,-1.781973,2.495006,0.112630,0.172865,-2.486461
0.570000,2.377301,-1.107817,-0.005519,-2.103395,1.809050,-0.087904,0.157125,-1.800068,2.676106,0.161711,0.249717,-2.659518
0.580000,2.280469,-1.025663,-0.006991,-2.036788,1.842978,-0.081310,0.146957,-1.835309,2.866269,0.228506,0.354355,-2.835087
0.590000,2.236562,-0.950479,-0.008719,-2.024530,1.893128,-0.073132,0.134364,-1.886937,3.060019,0.316970,0.492867,-3.003386
0.600000,2.343727,-0.921566,-0.011260,-2.154912,1.958237,-0.062671,0.118226,-1.953660,3.241722,0.428194,0.666644,-3.143405
0.610000,2.486233,-0.886547,-0.014339,-2.322753,2.031279,-0.048784,0.096641,-2.028393,3.384907,0.556891,0.866806,-3.224301
0.620000,2.607867,-0.829059,-0.017655,-2.472513,2.126844,-0.030512,0.068191,-2.125532,3.446993,0.686706,1.066990,-3.204953
0.630000,2.686326,-0.753324,-0.020929,-2.578451,2.243731,-0.005803,0.029554,-2.243529,3.369970,0.787588,1.219749,-3.041153
0.640000,2.703882,-0.668535,-0.023804,-2.619823,2.383967,0.027938,-0.023424,-2.383688,3.115294,0.826314,1.273743,-2.720265
0.650000,2.718228,-0.599928,-0.026578,-2.651065,2.543281,0.073793,-0.095705,-2.540408,3.056761,0.891001,1.365291,-2.585708
0.660000,2.763183,-0.558533,-0.029511,-2.705984,2.729415,0.135514,-0.193150,-2.719198,2.819506,0.876203,1.332996,-2.324867
0.670000,2.863875,-0.549490,-0.032860,-2.810473,2.925173,0.215827,-0.320083,-2.899586,2.345190,0.755885,1.140430,-1.904725
0.680000,3.027145,-0.573191,-0.036685,-2.972156,3.106723,0.314599,-0.476159,-3.053855,1.730077,0.564536,0.843885,-1.400830
0.690000,3.231389,-0.624444,-0.040616,-3.170220,3.244091,0.426717,-0.653027,-3.148904,1.189879,0.385005,0.569768,-0.971055
0.700000,3.427912,-0.691088,-0.043809,-3.357240,3.305738,0.540871,-0.832521,-3.153136,0.820894,0.258758,0.378834,-0.680732
0.710000,3.560102,-0.755490,-0.045256,-3.478723,3.268667,0.641209,-0.989506,-3.048592,0.631633,0.190902,0.276252,-0.534978
0.720000,3.596655,-0.802119,-0.044391,-3.505790,3.127830,0.712177,-1.099702,-2.840207,0.675950,0.192832,0.275486,-0.586372
0.730000,3.554612,-0.826888,-0.041499,-3.456849,3.015087,0.774065,-1.194673,-2.657881,1.035234,0.273918,0.385735,-0.920807
0.740000,3.490209,-0.839125,-0.037495,-3.387628,2.947212,0.831200,-1.281529,-2.520486,1.493537,0.358788,0.497208,-1.361877
0.750000,3.464154,-0.853934,-0.033289,-3.357090,2.662563,0.805809,-1.240942,-2.213589,1.936573,0.412097,0.561236,-1.807071
0.760000,3.508916,-0.882377,-0.029348,-3.396033,2.117042,0.673411,-1.036019,-1.719025,2.255433,0.414389,0.554448,-2.146590
0.770000,3.614815,-0.926297,-0.025738,-3.494024,1.506131,0.494491,-0.760241,-1.202474,2.634364,0.408352,0.537811,-2.546347
