time,load_est_x,load_est_y,load_est_z,load_est_vx,load_est_vy,load_est_vz,drone0_est_x,drone0_est_y,drone0_est_z,drone0_est_vx,drone0_est_vy,drone0_est_vz,drone1_est_x,drone1_est_y,drone1_est_z,drone1_est_vx,drone1_est_vy,drone1_est_vz,drone2_est_x,drone2_est_y,drone2_est_z,drone2_est_vx,drone2_est_vy,drone2_est_vz,drone3_est_x,drone3_est_y,drone3_est_z,drone3_est_vx,drone3_est_vy,drone3_est_vz,drone4_est_x,drone4_est_y,drone4_est_z,drone4_est_vx,drone4_est_vy,drone4_est_vz
0.120000,0.222182,0.020938,0.421253,1.025702,0.032275,-0.287806,0.596689,0.023428,1.246726,-0.032330,0.036026,-0.007935,0.171006,0.561652,1.075418,0.029080,0.035534,-0.032084,-0.495533,0.354400,1.217498,-0.016932,0.018061,0.050284,-0.483138,-0.303724,1.204197,0.038928,0.011534,-0.007375,0.213157,-0.570456,1.188888,0.012117,-0.027621,-0.019538
0.130000,0.233043,0.021434,0.417202,0.884292,0.081253,-0.586610,0.593994,0.024956,1.239058,-0.048061,0.043772,-0.042457,0.175603,0.565692,1.090393,0.057641,0.059973,0.037499,-0.492321,0.355860,1.220568,0.005497,0.026551,0.061962,-0.481767,-0.309960,1.206007,0.045433,-0.030592,0.001194,0.213542,-0.571941,1.188799,0.013866,-0.035639,-0.019056
0.140000,0.242489,0.022449,0.409779,0.808198,0.129925,-0.964580,0.591570,0.026320,1.232007,-0.060960,0.049922,-0.073962,0.179753,0.569333,1.104177,0.081357,0.080160,0.101259,-0.489400,0.357174,1.223376,0.024517,0.033507,0.072366,-0.480548,-0.315618,1.207674,0.050512,-0.066116,0.009065,0.213884,-0.573271,1.188723,0.015215,-0.042102,-0.018511
0.150000,0.251334,0.023923,0.398595,0.839567,0.157972,-1.257738,0.589402,0.027531,1.225492,-0.071219,0.054608,-0.102281,0.183479,0.572597,1.116932,0.100525,0.096366,0.158834,-0.486758,0.358349,1.225953,0.040293,0.039034,0.081456,-0.479469,-0.320725,1.209218,0.054289,-0.095378,0.016190,0.214186,-0.574456,1.188660,0.016200,-0.047128,-0.017913
0.160000,0.260739,0.025634,0.384651,0.965126,0.160050,-1.393917,0.587474,0.028599,1.219460,-0.079096,0.057990,-0.127331,0.186803,0.575505,1.128759,0.115558,0.108967,0.210037,-0.484383,0.359393,1.228321,0.053080,0.043270,0.089227,-0.478521,-0.325307,1.210650,0.056916,-0.118895,0.022546,0.214451,-0.575504,1.188609,0.016866,-0.050868,-0.017273
0.170000,0.271561,0.027313,0.369663,1.130457,0.141227,-1.371865,0.585773,0.029534,1.213878,-0.084882,0.060245,-0.149115,0.189750,0.578078,1.139723,0.126937,0.118389,0.254845,-0.482260,0.360314,1.230495,0.063189,0.046375,0.095704,-0.477694,-0.329390,1.211980,0.058554,-0.137285,0.028128,0.214681,-0.576425,1.188569,0.017257,-0.053488,-0.016600
0.180000,0.284066,0.028761,0.355211,1.271519,0.111743,-1.236938,0.584280,0.030347,1.208721,-0.088876,0.061551,-0.167711,0.192345,0.580340,1.149869,0.135163,0.125078,0.293389,-0.480377,0.361122,1.232485,0.070956,0.048511,0.100944,-0.476977,-0.333007,1.213212,0.059366,-0.151206,0.032951,0.214880,-0.577229,1.188540,0.017421,-0.055157,-0.015907
0.190000,0.297876,0.029890,0.342355,1.337385,0.081635,-1.048283,0.582979,0.031049,1.203971,-0.091369,0.062076,-0.183262,0.194617,0.582316,1.159232,0.140725,0.129465,0.325929,-0.478714,0.361826,1.234300,0.076715,0.049835,0.105023,-0.476361,-0.336192,1.214350,0.059503,-0.161315,0.037043,0.215051,-0.577926,1.188520,0.017400,-0.056038,-0.015202
0.200000,0.312141,0.030709,0.331546,1.303363,0.057610,-0.856230,0.581851,0.031652,1.199612,-0.092629,0.061971,-0.195961,0.196596,0.584034,1.167842,0.144081,0.131952,0.352822,-0.477254,0.362437,1.235950,0.080784,0.050493,0.108036,-0.475834,-0.338982,1.215398,0.059102,-0.168226,0.040447,0.215196,-0.578528,1.188509,0.017233,-0.056279,-0.014494
0.210000,0.325817,0.031288,0.322744,1.174362,0.042191,-0.692099,0.580878,0.032167,1.195627,-0.092893,0.061370,-0.206035,0.198309,0.585519,1.175728,0.145638,0.132897,0.374498,-0.475979,0.362963,1.237442,0.083453,0.050614,0.110086,-0.475387,-0.341413,1.216359,0.058282,-0.172502,0.043214,0.215319,-0.579043,1.188505,0.016953,-0.056008,-0.013793
0.220000,0.337966,0.031719,0.315622,0.980275,0.034508,-0.568121,0.580811,0.029437,1.198138,-0.088117,0.042849,-0.183607,0.197538,0.583337,1.174776,0.133298,0.113442,0.351450,-0.473187,0.363607,1.235492,0.094295,0.051376,0.095114,-0.473241,-0.346824,1.206865,0.066940,-0.192916,-0.005486,0.211999,-0.576749,1.183497,-0.002379,-0.040199,-0.037688
0.230000,0.348040,0.031893,0.310108,0.789093,-0.063747,-0.297757,0.580785,0.026976,1.200557,-0.083523,0.027317,-0.163057,0.196797,0.581338,1.173737,0.122148,0.096604,0.329462,-0.470722,0.364164,1.233633,0.102475,0.051610,0.081543,-0.471345,-0.351596,1.198018,0.073537,-0.208201,-0.047949,0.209026,-0.574679,1.178845,-0.018232,-0.026912,-0.058335
0.240000,0.356131,0.030999,0.307484,0.628807,-0.179160,-0.014231,0.580791,0.024763,1.202876,-0.079135,0.014351,-0.144318,0.196090,0.579515,1.172635,0.112090,0.082057,0.308601,-0.468553,0.364644,1.231869,0.108447,0.051424,0.069304,-0.469673,-0.355794,1.189802,0.078419,-0.219238,-0.084656,0.206371,-0.572817,1.174538,-0.031127,-0.015795,-0.076001
0.250000,0.362610,0.028951,0.307710,0.521672,-0.261189,0.190595,0.580823,0.022778,1.205087,-0.074968,0.003576,-0.127303,0.195419,0.577856,1.171490,0.103023,0.069506,0.288903,-0.466647,0.365057,1.230203,0.112603,0.050910,0.058319,-0.468203,-0.359478,1.182199,0.081889,-0.226787,-0.116110,0.204006,-0.571145,1.170565,-0.041525,-0.006532,-0.090959
0.260000,0.368054,0.026140,0.309888,0.477267,-0.289552,0.280782,0.580875,0.020999,1.207188,-0.071026,-0.005337,-0.111909,0.194786,0.576348,1.170320,0.094851,0.058684,0.270378,-0.464977,0.365410,1.228634,0.115275,0.050144,0.048499,-0.466914,-0.362704,1.175186,0.084201,-0.231491,-0.142819,0.201901,-0.569646,1.166912,-0.049824,0.001153,-0.103482
0.270000,0.373111,0.023120,0.312835,0.489066,-0.269184,0.268189,0.580944,0.019408,1.209174,-0.067310,-0.012672,-0.098026,0.194191,0.574981,1.169139,0.087484,0.049359,0.253014,-0.463517,0.365711,1.227162,0.116743,0.049188,0.039754,-0.465785,-0.365522,1.168733,0.085571,-0.233891,-0.165275,0.200032,-0.568304,1.163561,-0.056366,0.007501,-0.113835
0.280000,0.378332,0.020367,0.315543,0.537137,-0.219149,0.192172,0.581025,0.017987,1.211048,-0.063814,-0.018675,-0.085539,0.193632,0.573741,1.167960,0.080837,0.041324,0.236782,-0.462242,0.365967,1.225786,0.117240,0.048092,0.031991,-0.464798,-0.367979,1.162813,0.086180,-0.234439,-0.183951,0.198373,-0.567104,1.160495,-0.061441,0.012717,-0.122267
