time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz
0.380000,2.295688,-0.401801,-0.000005,-2.260252,2.477326,0.024006,-0.311253,-2.457578,1.455970,0.050913,0.088116,-1.452409
0.390000,2.221730,-0.405752,-0.000010,-2.184364,2.434466,-0.004460,-0.279120,-2.418408,1.525508,0.045913,0.079389,-1.522749
0.400000,2.177913,-0.420538,-0.000018,-2.136926,2.416828,-0.030048,-0.249697,-2.403707,1.739929,0.044147,0.076203,-1.737698
0.410000,2.165531,-0.446563,-0.000031,-2.118987,2.252622,-0.050306,-0.205813,-2.242636,1.966873,0.041193,0.070868,-1.965164
0.420000,2.136809,-0.473623,-0.000052,-2.083659,1.862092,-0.059194,-0.146301,-1.855392,2.063389,0.035090,0.059971,-2.062219
0.430000,2.108942,-0.503956,-0.000084,-2.047844,1.576150,-0.064511,-0.102246,-1.571507,2.053811,0.028269,0.047710,-2.053062
0.440000,2.249276,-0.579570,-0.000143,-2.173325,1.466541,-0.072892,-0.074010,-1.462858,1.987462,0.022663,0.037399,-1.986981
0.450000,2.362995,-0.655335,-0.000234,-2.270304,1.443834,-0.083761,-0.051411,-1.440485,1.896415,0.019083,0.030424,-1.896075
0.460000,2.470504,-0.734838,-0.000375,-2.358686,1.408405,-0.092610,-0.028960,-1.405058,1.866076,0.018369,0.028076,-1.865774
0.470000,2.561304,-0.812947,-0.000589,-2.428866,1.504812,-0.109596,-0.008426,-1.500792,1.844492,0.019987,0.029402,-1.844149
0.480000,2.626527,-0.883747,-0.000900,-2.473385,1.700774,-0.134559,0.015194,-1.695374,1.743870,0.022828,0.032738,-1.743413
0.490000,2.662548,-0.942176,-0.001337,-2.490274,1.824479,-0.154129,0.041316,-1.817487,1.590504,0.026416,0.037396,-1.589845
0.500000,2.671544,-0.985084,-0.001929,-2.483295,1.895399,-0.168242,0.066609,-1.886742,1.617889,0.034612,0.048742,-1.616784
0.510000,2.660577,-1.011768,-0.002711,-2.460689,1.926539,-0.176907,0.088767,-1.916345,1.860013,0.051217,0.072020,-1.857913
0.520000,2.639975,-1.023928,-0.003720,-2.433316,1.925005,-0.180107,0.106215,-1.913615,2.053164,0.072605,0.102109,-2.049338
0.530000,2.620236,-1.024600,-0.005003,-2.411598,1.893502,-0.177855,0.117917,-1.881439,2.231708,0.101099,0.142299,-2.224871
0.540000,2.609267,-1.016834,-0.006618,-2.402972,1.837993,-0.170852,0.123687,-1.825851,2.402192,0.139060,0.195987,-2.390142
0.550000,2.611239,-1.002943,-0.008629,-2.410933,1.802642,-0.163538,0.126597,-1.790739,2.572844,0.189752,0.267931,-2.551810
0.560000,2.627132,-0.984556,-0.011104,-2.435642,1.781986,-0.155623,0.126661,-1.770653,2.753245,0.257519,0.364492,-2.716834
0.570000,2.655713,-0.962985,-0.014101,-2.474928,1.744063,-0.144571,0.121783,-1.733789,2.947001,0.346973,0.492449,-2.884773
0.580000,2.694462,-0.939576,-0.017663,-2.525274,1.705682,-0.132180,0.113315,-1.696773,3.145308,0.460759,0.655706,-3.041499
0.590000,2.741578,-0.916278,-0.021816,-2.583836,1.673840,-0.119150,0.101800,-1.666488,3.322817,0.595555,0.849412,-3.156727
0.600000,2.798066,-0.895947,-0.026579,-2.650612,1.641793,-0.105016,0.086777,-1.636131,3.433691,0.736416,1.051693,-3.184630
0.610000,2.868652,-0.882057,-0.031992,-2.729490,1.729653,-0.096488,0.073248,-1.725405,3.413643,0.852670,1.217840,-3.072910
0.620000,2.958584,-0.877262,-0.038089,-2.825275,1.833966,-0.085324,0.053085,-1.831211,3.205322,0.904804,1.290679,-2.790979
0.630000,3.071373,-0.882644,-0.044861,-2.941473,1.933882,-0.069608,0.023578,-1.932485,3.062309,0.947340,1.347869,-2.581382
0.640000,3.206447,-0.897237,-0.052180,-3.077912,2.047207,-0.049051,-0.017197,-2.046547,2.881038,0.948112,1.343779,-2.365528
0.650000,3.356757,-0.917779,-0.059696,-3.228302,2.184867,-0.022243,-0.072829,-2.183540,2.473179,0.841948,1.187322,-1.999500
0.660000,3.507827,-0.939082,-0.066757,-3.379130,2.351178,0.013053,-0.148322,-2.346458,1.915130,0.657561,0.921725,-1.544591
0.670000,3.640170,-0.955467,-0.072443,-3.511791,2.545819,0.059426,-0.249571,-2.532859,1.375984,0.465924,0.648654,-1.120489
0.680000,3.736610,-0.963300,-0.075805,-3.609510,2.765580,0.119248,-0.382626,-2.736387,1.004314,0.328770,0.454274,-0.833182
0.690000,3.792000,-0.963442,-0.076245,-3.666773,3.000638,0.193711,-0.551810,-2.943096,0.809278,0.251455,0.344573,-0.687728
0.700000,3.817737,-0.961540,-0.073763,-3.693929,3.225621,0.280797,-0.754961,-3.123430,0.831900,0.240824,0.326954,-0.726060
0.710000,3.835514,-0.965473,-0.068841,-3.711374,3.396070,0.372776,-0.976738,-3.231147,1.183424,0.312596,0.419928,-1.061337
0.720000,3.864125,-0.981710,-0.062100,-3.736823,3.458930,0.455806,-1.185411,-3.217334,1.648693,0.387576,0.514435,-1.517672
0.730000,3.910198,-1.013267,-0.054093,-3.776243,3.370374,0.513247,-1.337844,-3.050601,2.072977,0.421711,0.552416,-1.953006
0.740000,3.970060,-1.060533,-0.045405,-3.825518,3.117839,0.532469,-1.395679,-2.736691,2.479149,0.424565,0.548731,-2.380088
0.750000,4.039611,-1.124057,-0.036832,-3.879896,3.055507,0.571673,-1.504313,-2.597375,2.704382,0.381688,0.487598,-2.632535
0.760000,4.121771,-1.206791,-0.029358,-3.941039,2.870393,0.577721,-1.518139,-2.366569,2.784382,0.321313,0.407828,-2.735547
0.770000,4.224377,-1.313602,-0.023968,-4.014877,2.409758,0.514406,-1.339743,-1.935823,2.617549,0.249559,0.317643,-2.586191
0.780000,4.351282,-1.447884,-0.021453,-4.103270,1.729983,0.387210,-0.991573,-1.363706,2.349547,0.190187,0.245640,-2.328919
0.790000,4.494476,-1.606785,-0.022288,-4.197387,1.064946,0.247424,-0.618876,-0.830593,2.224633,0.159032,0.210777,-2.208907
