time,load_gps_x,load_gps_y,load_gps_z,drone0_gps_x,drone0_gps_y,drone0_gps_z,drone1_gps_x,drone1_gps_y,drone1_gps_z,drone2_gps_x,drone2_gps_y,drone2_gps_z
0.390000,0.024471,-0.005061,0.155372,0.569473,-0.024123,1.158985,-0.300716,0.511455,1.117215,-0.305167,-0.526088,1.205979
0.400000,0.024471,-0.005061,0.155372,0.569473,-0.024123,1.158985,-0.300716,0.511455,1.117215,-0.305167,-0.526088,1.205979
0.410000,0.012371,0.029412,0.222111,0.547732,-0.001059,1.247451,-0.320278,0.528054,1.139167,-0.302784,-0.507334,1.095894
0.420000,0.012371,0.029412,0.222111,0.547732,-0.001059,1.247451,-0.320278,0.528054,1.139167,-0.302784,-0.507334,1.095894
0.430000,0.012371,0.029412,0.222111,0.547732,-0.001059,1.247451,-0.320278,0.528054,1.139167,-0.302784,-0.507334,1.095894
0.440000,0.012371,0.029412,0.222111,0.547732,-0.001059,1.247451,-0.320278,0.528054,1.139167,-0.302784,-0.507334,1.095894
0.450000,0.012371,0.029412,0.222111,0.547732,-0.001059,1.247451,-0.320278,0.528054,1.139167,-0.302784,-0.507334,1.095894
0.460000,0.012371,0.029412,0.222111,0.547732,-0.001059,1.247451,-0.320278,0.528054,1.139167,-0.302784,-0.507334,1.095894
0.470000,0.012371,0.029412,0.222111,0.547732,-0.001059,1.247451,-0.320278,0.528054,1.139167,-0.302784,-0.507334,1.095894
0.480000,0.012371,0.029412,0.222111,0.547732,-0.001059,1.247451,-0.320278,0.528054,1.139167,-0.302784,-0.507334,1.095894
0.490000,0.012371,0.029412,0.222111,0.547732,-0.001059,1.247451,-0.320278,0.528054,1.139167,-0.302784,-0.507334,1.095894
0.500000,0.012371,0.029412,0.222111,0.547732,-0.001059,1.247451,-0.320278,0.528054,1.139167,-0.302784,-0.507334,1.095894
0.510000,-0.014125,0.020132,0.150196,0.600826,-0.002144,1.147179,-0.308961,0.517082,1.256771,-0.319486,-0.504375,1.295184
0.520000,-0.014125,0.020132,0.150196,0.600826,-0.002144,1.147179,-0.308961,0.517082,1.256771,-0.319486,-0.504375,1.295184
0.530000,-0.014125,0.020132,0.150196,0.600826,-0.002144,1.147179,-0.308961,0.517082,1.256771,-0.319486,-0.504375,1.295184
0.540000,-0.014125,0.020132,0.150196,0.600826,-0.002144,1.147179,-0.308961,0.517082,1.256771,-0.319486,-0.504375,1.295184
0.550000,-0.014125,0.020132,0.150196,0.600826,-0.002144,1.147179,-0.308961,0.517082,1.256771,-0.319486,-0.504375,1.295184
0.560000,-0.014125,0.020132,0.150196,0.600826,-0.002144,1.147179,-0.308961,0.517082,1.256771,-0.319486,-0.504375,1.295184
0.570000,-0.014125,0.020132,0.150196,0.600826,-0.002144,1.147179,-0.308961,0.517082,1.256771,-0.319486,-0.504375,1.295184
0.580000,-0.014125,0.020132,0.150196,0.600826,-0.002144,1.147179,-0.308961,0.517082,1.256771,-0.319486,-0.504375,1.295184
0.590000,-0.014125,0.020132,0.150196,0.600826,-0.002144,1.147179,-0.308961,0.517082,1.256771,-0.319486,-0.504375,1.295184
0.600000,-0.014125,0.020132,0.150196,0.600826,-0.002144,1.147179,-0.308961,0.517082,1.256771,-0.319486,-0.504375,1.295184
0.610000,0.049525,-0.007721,0.240690,0.580332,-0.035930,1.135709,-0.300522,0.524458,1.260134,-0.335572,-0.508447,1.120854
0.620000,0.049525,-0.007721,0.240690,0.580332,-0.035930,1.135709,-0.300522,0.524458,1.260134,-0.335572,-0.508447,1.120854
0.630000,0.049525,-0.007721,0.240690,0.580332,-0.035930,1.135709,-0.300522,0.524458,1.260134,-0.335572,-0.508447,1.120854
0.640000,0.049525,-0.007721,0.240690,0.580332,-0.035930,1.135709,-0.300522,0.524458,1.260134,-0.335572,-0.508447,1.120854
0.650000,0.049525,-0.007721,0.240690,0.580332,-0.035930,1.135709,-0.300522,0.524458,1.260134,-0.335572,-0.508447,1.120854
0.660000,0.049525,-0.007721,0.240690,0.580332,-0.035930,1.135709,-0.300522,0.524458,1.260134,-0.335572,-0.508447,1.120854
0.670000,0.049525,-0.007721,0.240690,0.580332,-0.035930,1.135709,-0.300522,0.524458,1.260134,-0.335572,-0.508447,1.120854
0.680000,0.049525,-0.007721,0.240690,0.580332,-0.035930,1.135709,-0.300522,0.524458,1.260134,-0.335572,-0.508447,1.120854
0.690000,0.049525,-0.007721,0.240690,0.580332,-0.035930,1.135709,-0.300522,0.524458,1.260134,-0.335572,-0.508447,1.120854
0.700000,0.049525,-0.007721,0.240690,0.580332,-0.035930,1.135709,-0.300522,0.524458,1.260134,-0.335572,-0.508447,1.120854
0.710000,0.041185,0.009291,0.145633,0.608285,0.002385,1.224025,-0.330574,0.526672,1.215844,-0.305716,-0.536517,1.230946
0.720000,0.041185,0.009291,0.145633,0.608285,0.002385,1.224025,-0.330574,0.526672,1.215844,-0.305716,-0.536517,1.230946
0.730000,0.041185,0.009291,0.145633,0.608285,0.002385,1.224025,-0.330574,0.526672,1.215844,-0.305716,-0.536517,1.230946
0.740000,0.041185,0.009291,0.145633,0.608285,0.002385,1.224025,-0.330574,0.526672,1.215844,-0.305716,-0.536517,1.230946
0.750000,0.041185,0.009291,0.145633,0.608285,0.002385,1.224025,-0.330574,0.526672,1.215844,-0.305716,-0.536517,1.230946
0.760000,0.041185,0.009291,0.145633,0.608285,0.002385,1.224025,-0.330574,0.526672,1.215844,-0.305716,-0.536517,1.230946
0.770000,0.041185,0.009291,0.145633,0.608285,0.002385,1.224025,-0.330574,0.526672,1.215844,-0.305716,-0.536517,1.230946
0.780000,0.041185,0.009291,0.145633,0.608285,0.002385,1.224025,-0.330574,0.526672,1.215844,-0.305716,-0.536517,1.230946
0.790000,0.041185,0.009291,0.145633,0.608285,0.002385,1.224025,-0.330574,0.526672,1.215844,-0.305716,-0.536517,1.230946
0.800000,0.041185,0.009291,0.145633,0.608285,0.002385,1.224025,-0.330574,0.526672,1.215844,-0.305716,-0.536517,1.230946
