time,wind_vx,wind_vy,wind_vz
0.000000,1.000000,0.500000,0.000000
0.010000,1.001786,0.498116,-0.002817
0.020000,0.998464,0.497853,-0.005347
0.030000,1.007351,0.499103,-0.009779
0.040000,1.008759,0.496218,-0.014969
0.050000,1.009698,0.500630,-0.015445
0.060000,1.009242,0.499584,-0.006145
0.070000,1.008353,0.501380,-0.006466
0.080000,1.015419,0.495689,-0.003637
0.090000,1.013699,0.496344,-0.010074
0.100000,1.013322,0.498815,-0.006570
0.110000,1.006737,0.496334,-0.003731
0.120000,0.998743,0.496839,-0.004726
0.130000,0.995166,0.498213,-0.006410
0.140000,0.991850,0.501100,-0.007401
0.150000,0.990027,0.507060,-0.000977
0.160000,0.989162,0.511416,0.001067
0.170000,0.994501,0.506796,-0.001147
0.180000,0.995633,0.505627,0.004193
0.190000,0.994944,0.509280,0.004995
0.200000,0.993675,0.507061,-0.002184
0.210000,0.999783,0.503815,-0.003752
0.220000,0.992719,0.509006,-0.001451
0.230000,0.994335,0.512762,-0.006863
0.240000,0.989127,0.515664,-0.002180
0.250000,0.984908,0.508696,-0.000414
0.260000,0.984143,0.501816,-0.005268
0.270000,0.983648,0.502907,-0.005652
0.280000,0.977089,0.500083,-0.006810
0.290000,0.985546,0.499993,-0.010042
0.300000,0.981517,0.502148,-0.009864
0.310000,0.990134,0.504335,-0.005188
0.320000,0.991166,0.508585,0.000476
0.330000,0.983290,0.507463,0.003687
0.340000,0.990108,0.505126,0.000085
0.350000,0.989494,0.509983,0.002935
0.360000,0.985165,0.509356,0.002627
0.370000,0.982900,0.508842,-0.003912
0.380000,0.990068,0.514184,-0.009272
0.390000,0.986971,0.513679,-0.009886
0.400000,0.984168,0.520112,-0.013242
0.410000,0.977179,0.522159,-0.014230
0.420000,0.978563,0.516941,-0.015521
0.430000,0.978736,0.517627,-0.017200
0.440000,0.977034,0.512575,-0.021952
0.450000,0.976667,0.512220,-0.029089
0.460000,0.982233,0.508561,-0.030627
0.470000,0.985362,0.517117,-0.030667
0.480000,0.982933,0.512759,-0.031597
0.490000,0.978970,0.516816,-0.030846
0.500000,0.985872,0.516448,-0.029126
0.510000,0.986521,0.522666,-0.026258
0.520000,0.985805,0.516736,-0.027114
0.530000,0.987483,0.521188,-0.030118
0.540000,0.987437,0.514964,-0.033185
0.550000,0.992183,0.509963,-0.039062
0.560000,0.993690,0.509578,-0.037440
0.570000,0.994966,0.510085,-0.034950
0.580000,0.992779,0.506914,-0.036819
0.590000,0.997194,0.503127,-0.028157
