time,drone0_tau_x,drone0_tau_y,drone0_tau_z,drone0_f_x,drone0_f_y,drone0_f_z,drone1_tau_x,drone1_tau_y,drone1_tau_z,drone1_f_x,drone1_f_y,drone1_f_z,drone2_tau_x,drone2_tau_y,drone2_tau_z,drone2_f_x,drone2_f_y,drone2_f_z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750
0.010000,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317759,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317757,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317760
0.020000,0.000339,-0.000724,-0.000000,-0.000133,-0.000068,22.317774,0.000338,-0.000724,-0.000000,-0.000133,-0.000068,22.317771,0.000338,-0.000724,-0.000000,-0.000133,-0.000068,22.317776
0.030000,0.000337,-0.023900,-0.000000,0.000828,-0.000176,21.988840,0.000335,-0.000725,-0.000000,-0.000350,-0.000178,22.317797,-0.020951,0.010839,-0.000000,-0.000930,-0.001243,21.989506
0.040000,0.000324,-0.031670,-0.000001,0.003221,-0.000301,19.667035,0.000319,-0.000698,-0.000000,-0.000675,-0.000341,22.317837,-0.027955,0.014755,-0.000001,-0.002500,-0.003691,19.671253
0.050000,0.000314,-0.036629,-0.000001,0.008559,-0.000500,20.100138,0.000306,-0.000666,-0.000000,-0.001104,-0.000555,22.317874,-0.031804,0.017274,-0.000002,-0.005763,-0.008935,20.103081
0.060000,0.000304,-0.048431,-0.000002,0.016940,-0.000758,20.714063,0.000288,-0.000628,-0.000000,-0.001631,-0.000818,22.317880,-0.042219,0.023206,-0.000004,-0.010724,-0.016986,20.716222
0.070000,0.000298,-0.058272,-0.000003,0.028413,-0.001057,21.009767,0.010184,0.027567,0.000003,-0.008278,0.001028,22.450909,-0.050874,0.028153,-0.000006,-0.017357,-0.027825,21.011714
0.080000,0.000291,-0.066623,-0.000005,0.043178,-0.001399,21.218132,0.004751,0.012652,0.000002,-0.014029,0.002367,22.909617,-0.058191,0.032339,-0.000009,-0.025763,-0.041627,21.220102
0.090000,0.000287,-0.073850,-0.000007,0.061482,-0.001783,21.424358,0.014784,0.038532,0.000007,-0.012583,0.002305,14.832230,-0.064498,0.035968,-0.000014,-0.036070,-0.058609,21.426372
0.100000,0.000286,-0.080726,-0.000009,0.083487,-0.002207,21.626532,0.015595,0.042814,0.000009,-0.032030,0.007253,23.042197,-0.070493,0.039418,-0.000018,-0.048351,-0.078903,21.628478
