time,load_gps_x,load_gps_y,load_gps_z,drone0_gps_x,drone0_gps_y,drone0_gps_z,drone1_gps_x,drone1_gps_y,drone1_gps_z,drone2_gps_x,drone2_gps_y,drone2_gps_z
0.390000,0.019453,-0.005928,0.155376,0.574754,-0.023923,1.167567,-0.298773,0.513599,1.121259,-0.304348,-0.525161,1.205532
0.400000,0.019453,-0.005928,0.155376,0.574754,-0.023923,1.167567,-0.298773,0.513599,1.121259,-0.304348,-0.525161,1.205532
0.410000,0.006817,0.027602,0.222114,0.553067,-0.000780,1.254314,-0.317575,0.530961,1.143200,-0.301875,-0.506441,1.095622
0.420000,0.006817,0.027602,0.222114,0.553067,-0.000780,1.254314,-0.317575,0.530961,1.143200,-0.301875,-0.506441,1.095622
0.430000,0.006817,0.027602,0.222114,0.553067,-0.000780,1.254314,-0.317575,0.530961,1.143200,-0.301875,-0.506441,1.095622
0.440000,0.006817,0.027602,0.222114,0.553067,-0.000780,1.254314,-0.317575,0.530961,1.143200,-0.301875,-0.506441,1.095622
0.450000,0.006817,0.027602,0.222114,0.553067,-0.000780,1.254314,-0.317575,0.530961,1.143200,-0.301875,-0.506441,1.095622
0.460000,0.006817,0.027602,0.222114,0.553067,-0.000780,1.254314,-0.317575,0.530961,1.143200,-0.301875,-0.506441,1.095622
0.470000,0.006817,0.027602,0.222114,0.553067,-0.000780,1.254314,-0.317575,0.530961,1.143200,-0.301875,-0.506441,1.095622
0.480000,0.006817,0.027602,0.222114,0.553067,-0.000780,1.254314,-0.317575,0.530961,1.143200,-0.301875,-0.506441,1.095622
0.490000,0.006817,0.027602,0.222114,0.553067,-0.000780,1.254314,-0.317575,0.530961,1.143200,-0.301875,-0.506441,1.095622
0.500000,0.006817,0.027602,0.222114,0.553067,-0.000780,1.254314,-0.317575,0.530961,1.143200,-0.301875,-0.506441,1.095622
0.510000,-0.020872,0.019452,0.150187,0.605992,-0.001812,1.152765,-0.306714,0.519581,1.260083,-0.318398,-0.503284,1.295160
