time,drone0_tau_x,drone0_tau_y,drone0_tau_z,drone0_f_x,drone0_f_y,drone0_f_z,drone1_tau_x,drone1_tau_y,drone1_tau_z,drone1_f_x,drone1_f_y,drone1_f_z,drone2_tau_x,drone2_tau_y,drone2_tau_z,drone2_f_x,drone2_f_y,drone2_f_z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750
0.010000,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317759,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317757,-0.079395,0.043074,-0.000001,-0.003084,-0.005538,17.883268
0.020000,0.000339,-0.000724,-0.000000,-0.000133,-0.000068,22.317774,0.000338,-0.000724,-0.000000,-0.000133,-0.000068,22.317771,-0.101429,0.056155,-0.000003,-0.010595,-0.018689,18.506533
0.030000,0.000335,-0.000726,-0.000000,-0.000350,-0.000178,22.317803,0.000335,-0.000725,-0.000000,-0.000350,-0.000178,22.317797,-0.111657,0.062315,-0.000008,-0.021829,-0.038120,19.147003
0.040000,0.000320,-0.000699,-0.000000,-0.000675,-0.000342,22.317845,0.000319,-0.000698,-0.000000,-0.000675,-0.000341,22.317837,-0.119209,0.066777,-0.000014,-0.036720,-0.063731,19.732421
0.050000,0.000306,-0.000666,-0.000000,-0.001104,-0.000556,22.317884,0.000306,-0.000666,-0.000000,-0.001104,-0.000555,22.317874,-0.126359,0.070942,-0.000021,-0.055299,-0.095585,20.246120
0.060000,0.000297,-0.026689,-0.000001,0.002754,-0.000822,22.417023,0.047321,0.024369,0.000004,-0.001743,0.000050,18.457439,-0.132822,0.074726,-0.000031,-0.078173,-0.134731,20.845617
0.070000,0.000277,-0.012812,-0.000001,0.006285,-0.001152,22.810210,0.017928,0.009609,0.000003,-0.005559,0.004707,22.572880,-0.135181,0.076266,-0.000040,-0.106570,-0.183264,21.717146
0.080000,0.000287,-0.050976,-0.000004,0.011661,-0.001436,21.704499,0.008756,0.004467,0.000002,-0.008471,0.008008,22.994165,-0.133289,0.075418,-0.000049,-0.140574,-0.241297,22.742816
0.090000,0.000253,-0.027680,-0.000003,0.020930,-0.001934,23.128340,0.044222,0.023874,0.000011,-0.012778,0.014074,22.237589,-0.128691,0.073027,-0.000057,-0.179190,-0.307093,23.744357
0.100000,0.000275,-0.054251,-0.000006,0.029863,-0.002247,21.892420,0.022699,0.012519,0.000007,-0.019087,0.022645,23.268441,-0.124268,0.070671,-0.000063,-0.220092,-0.376666,24.502946
0.110000,0.000247,-0.044628,-0.000006,0.039138,-0.002514,20.418379,0.048805,0.026517,0.000019,-0.023964,0.029909,21.609318,-0.120706,0.068792,-0.000069,-0.264364,-0.451884,25.240627
0.120000,0.000254,-0.056714,-0.000009,0.058953,-0.003281,22.661088,0.032441,0.018086,0.000015,-0.034332,0.044539,23.568169,-0.107662,0.061839,-0.000063,-0.325376,-0.555535,27.129323
0.130000,0.000258,-0.064033,-0.000012,0.072503,-0.003603,21.491416,0.051323,0.028236,0.000028,-0.041037,0.054828,22.153856,-0.086599,0.050312,-0.000048,-0.383096,-0.653264,28.434555
0.140000,0.000246,-0.064597,-0.000014,0.094631,-0.004232,22.107408,0.047782,0.026493,0.000030,-0.048873,0.066808,21.252793,-0.084192,0.048709,-0.000053,-0.411267,-0.700475,27.605615
0.150000,0.000258,-0.074919,-0.000018,0.120370,-0.004891,22.641217,0.057031,0.031693,0.000041,-0.064375,0.089834,22.870483,-0.085919,0.049609,-0.000057,-0.445097,-0.757326,27.313156
0.160000,0.000263,-0.082592,-0.000022,0.144644,-0.005383,22.301755,0.063842,0.035448,0.000052,-0.074291,0.105414,21.956284,-0.086879,0.050188,-0.000059,-0.478894,-0.814088,27.104849
0.170000,0.000259,-0.088351,-0.000026,0.175850,-0.006024,22.534288,0.066100,0.036957,0.000059,-0.091576,0.131920,22.751356,-0.086987,0.050298,-0.000059,-0.512376,-0.870269,26.954006
0.180000,0.000258,-0.094360,-0.000031,0.215797,-0.006837,23.276390,0.074822,0.041817,0.000075,-0.108701,0.158675,22.960945,-0.086460,0.050051,-0.000058,-0.545919,-0.926504,26.874955
0.190000,0.000236,-0.090867,-0.000033,0.265161,-0.007833,24.438925,0.079924,0.044745,0.000088,-0.125574,0.185450,22.782263,-0.085417,0.049515,-0.000057,-0.579840,-0.983329,26.876641
0.200000,0.000205,-0.085135,-0.000033,0.315736,-0.008789,25.287466,0.082180,0.046211,0.000098,-0.151583,0.226200,23.830779,-0.083813,0.048667,-0.000054,-0.614088,-1.040650,26.951391
0.210000,0.000184,-0.081791,-0.000034,0.363315,-0.009619,25.667089,0.077138,0.043660,0.000099,-0.181185,0.272697,24.981394,-0.082197,0.047787,-0.000051,-0.646099,-1.094125,26.989142
0.220000,0.000172,-0.079938,-0.000036,0.412790,-0.010464,26.042268,0.072135,0.041009,0.000098,-0.209461,0.317418,25.657232,-0.080746,0.047000,-0.000048,-0.675728,-1.143514,26.994463
0.230000,0.000154,-0.076545,-0.000036,0.468451,-0.011439,26.682750,0.070094,0.039910,0.000102,-0.236233,0.360009,25.997915,-0.079399,0.046256,-0.000046,-0.704016,-1.190592,27.015106
0.240000,0.000116,-0.069708,-0.000035,0.531130,-0.012572,27.612130,0.068257,0.038977,0.000104,-0.265290,0.406217,26.483176,-0.077693,0.045328,-0.000042,-0.732978,-1.238763,27.127926
0.250000,0.000064,-0.061772,-0.000032,0.588086,-0.013586,28.214122,0.063850,0.036712,0.000099,-0.299766,0.460825,27.392577,-0.075573,0.044174,-0.000037,-0.761959,-1.286916,27.306306
0.260000,0.000037,-0.058124,-0.000031,0.624809,-0.014170,27.939788,0.055226,0.032184,0.000083,-0.339035,0.522794,28.634096,-0.073179,0.042864,-0.000031,-0.789997,-1.333417,27.517794
0.270000,0.000039,-0.058226,-0.000032,0.655749,-0.014653,27.544202,0.047058,0.027769,0.000067,-0.363170,0.561235,28.637214,-0.070634,0.041468,-0.000025,-0.816506,-1.377276,27.747053
0.280000,0.000049,-0.059307,-0.000034,0.680242,-0.015014,27.008633,0.046561,0.027386,0.000069,-0.378799,0.586352,28.122889,-0.068066,0.040060,-0.000019,-0.839569,-1.415256,27.935951
0.290000,0.000077,-0.061048,-0.000037,0.699983,-0.015284,26.406734,0.047094,0.027623,0.000072,-0.394321,0.611207,27.743051,-0.065792,0.038778,-0.000015,-0.856632,-1.443067,28.008641
0.300000,0.000107,-0.061923,-0.000040,0.722641,-0.015626,26.015240,0.048287,0.028231,0.000076,-0.406833,0.631322,27.274302,-0.063686,0.037590,-0.000011,-0.871683,-1.467440,28.101556
0.310000,0.000130,-0.060675,-0.000041,0.754424,-0.016172,26.023872,0.049918,0.029035,0.000083,-0.414617,0.644056,26.606896,-0.061561,0.036392,-0.000008,-0.886473,-1.491321,28.271910
0.320000,0.000132,-0.057112,-0.000040,0.795269,-0.016926,26.398316,0.050048,0.029048,0.000086,-0.426783,0.663561,26.319297,-0.059503,0.035241,-0.000004,-0.898671,-1.510777,28.446591
0.330000,0.000116,-0.052490,-0.000038,0.836181,-0.017707,26.832473,0.047907,0.027879,0.000082,-0.444889,0.692244,26.468144,-0.057693,0.034231,-0.000001,-0.906036,-1.522052,28.557503
0.340000,0.000098,-0.047881,-0.000035,0.872374,-0.018424,27.190867,0.044320,0.025918,0.000074,-0.464699,0.723479,26.781084,-0.056049,0.033284,-0.000000,-0.904839,-1.518895,28.488591
0.350000,0.000090,-0.043782,-0.000032,0.897062,-0.018938,27.287526,0.040353,0.023744,0.000063,-0.482946,0.752142,27.076564,-0.054844,0.032570,-0.000001,-0.899911,-1.509444,28.389912
0.360000,0.000087,-0.040049,-0.000030,0.914519,-0.019345,27.274737,0.036448,0.021588,0.000053,-0.495295,0.771450,27.132029,-0.054204,0.032168,-0.000004,-0.892177,-1.495262,28.285298
