time,drone0_ax,drone0_ay,drone0_az,drone0_wx,drone0_wy,drone0_wz,drone1_ax,drone1_ay,drone1_az,drone1_wx,drone1_wy,drone1_wz,drone2_ax,drone2_ay,drone2_az,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,-0.055921,-0.131288,9.828147,-0.001265,-0.001656,-0.004724,-0.037445,0.042620,9.844970,-0.002566,0.009105,0.004860,0.057035,0.052161,9.882346,0.046286,-0.032864,-0.000148
0.020000,0.154296,0.049287,9.729749,-0.012844,-0.001806,0.004105,0.099668,0.034340,9.776809,0.002321,-0.002952,0.011622,0.539899,0.797124,5.619359,0.092289,-0.060195,0.002976
0.030000,0.020228,-0.009108,9.835657,-0.007638,0.003968,-0.008204,-0.101471,0.013768,9.743222,0.003348,0.007253,-0.001574,0.454338,0.872698,6.001471,0.125665,-0.078297,0.004620
0.040000,0.098350,0.043656,9.770256,-0.003332,-0.008462,0.006105,0.049103,0.086471,9.771282,-0.004887,0.008932,-0.008113,0.429491,0.911010,6.417094,0.157830,-0.102074,-0.010900
0.050000,-0.081227,0.021707,9.044981,0.004340,0.006400,0.009897,-0.082505,0.055084,9.846526,-0.004069,-0.009602,0.008296,0.522258,0.867901,6.788518,0.191159,-0.117327,0.007065
0.060000,0.009136,0.095355,9.723084,0.001147,0.020405,0.001726,-0.023618,0.101944,9.789424,0.016151,-0.009545,0.002374,0.493656,0.874365,6.952391,0.212560,-0.118250,-0.002299
0.070000,-0.099628,0.090465,9.074301,-0.009423,0.027204,0.001589,0.152391,-0.163317,8.415674,-0.013090,-0.026584,0.003625,0.569987,0.927267,7.121685,0.255170,-0.149645,-0.010018
0.080000,-0.110564,0.073418,9.526191,-0.003624,0.029969,0.009847,0.001625,-0.078483,9.909968,0.004558,-0.006856,0.009020,0.604411,0.962890,7.707391,0.265117,-0.164654,0.005789
0.090000,-0.430943,0.125449,7.731218,0.005980,0.048090,0.000631,0.080967,-0.269901,9.160489,-0.013790,-0.016021,-0.000048,0.459134,0.881832,8.206513,0.289010,-0.178596,0.002878
0.100000,-0.158505,-0.028043,9.501290,0.004169,0.057370,-0.002657,0.117781,-0.140280,9.432782,-0.031284,-0.015834,0.001838,0.439655,0.857425,8.670651,0.319585,-0.187184,-0.000496
0.110000,-0.260900,0.018179,8.691055,-0.005255,0.076564,-0.005007,0.121863,-0.166717,9.921661,-0.040177,-0.025988,0.010523,0.446260,0.814926,9.035419,0.327304,-0.184565,0.006874
0.120000,-0.402220,0.010852,8.222404,0.008962,0.096015,-0.009778,0.232493,-0.133317,8.874128,-0.067105,-0.046661,0.002803,0.430798,0.757204,9.714023,0.328867,-0.194727,0.009917
0.130000,-0.325497,0.024414,8.736096,0.013695,0.099739,-0.008182,0.066388,-0.178831,9.160182,-0.059309,-0.030288,-0.008709,0.270045,0.509620,11.353346,0.322094,-0.190371,0.002779
0.140000,-0.331820,0.028162,8.641511,0.003152,0.113061,-0.001855,0.122420,-0.269382,8.935658,-0.061749,-0.040386,-0.002231,0.175766,0.318004,11.797544,0.309923,-0.182578,0.004747
0.150000,-0.577443,-0.041303,8.500609,0.000562,0.116649,-0.004652,0.202606,-0.190958,8.360897,-0.070960,-0.045759,0.014827,0.273247,0.447734,11.406577,0.295037,-0.169207,-0.000104
0.160000,-0.449252,0.009901,8.451185,-0.005172,0.149530,0.003445,0.163938,-0.128784,9.115489,-0.078086,-0.045620,-0.003332,0.197737,0.462216,11.308902,0.282317,-0.175868,-0.007960
0.170000,-0.360189,0.096181,8.856458,0.001915,0.153951,-0.009118,0.301242,-0.355620,8.361844,-0.101124,-0.067423,0.003882,0.186506,0.365400,11.067295,0.286134,-0.172023,0.001859
0.180000,-0.376199,-0.019325,9.442561,0.015549,0.159805,0.007802,0.228526,-0.414487,8.707508,-0.118013,-0.078589,0.009563,0.200047,0.381815,10.987589,0.260692,-0.141979,0.008798
0.190000,-0.257591,-0.058067,9.774010,0.017481,0.171955,0.012156,0.299650,-0.429462,8.711967,-0.123350,-0.076120,0.002916,0.281684,0.433422,10.889276,0.246909,-0.155126,-0.006668
0.200000,-0.507443,-0.056521,9.873480,0.001381,0.160655,-0.007002,0.288566,-0.472056,8.498143,-0.125659,-0.092274,-0.005253,0.226429,0.433529,10.869165,0.242888,-0.148132,0.015540
0.210000,-0.362473,0.066668,10.191601,0.005978,0.161941,-0.001247,0.296051,-0.342212,8.871489,-0.148424,-0.083921,-0.005528,0.109846,0.296225,10.975295,0.227789,-0.133847,0.007152
