time,drone0_ax,drone0_ay,drone0_az,drone0_wx,drone0_wy,drone0_wz,drone1_ax,drone1_ay,drone1_az,drone1_wx,drone1_wy,drone1_wz,drone2_ax,drone2_ay,drone2_az,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,-0.055921,-0.131288,9.828147,-0.001265,-0.001656,-0.004724,-0.037445,0.042620,9.844970,-0.002566,0.009105,0.004860,0.056326,0.050867,9.882346,-0.000379,-0.007102,-0.000148
0.020000,0.154296,0.049287,9.729749,-0.012844,-0.001806,0.004105,0.099668,0.034340,9.776809,0.002321,-0.002952,0.011622,0.074493,-0.008972,9.752344,-0.005432,-0.004822,0.002975
0.030000,0.020228,-0.009108,9.835657,-0.007638,0.003968,-0.008204,-0.036469,-0.098852,9.222550,-0.009761,-0.000083,-0.001574,-0.028214,0.036889,9.767479,-0.007561,-0.002113,0.004618
0.040000,0.098350,0.043656,9.770256,-0.003332,-0.008462,0.006105,0.174197,-0.130314,8.781387,-0.030587,-0.005626,-0.008113,-0.064226,0.055784,9.823177,-0.007048,-0.007455,-0.010904
0.050000,0.095153,0.021739,9.864497,0.004342,-0.006617,0.009897,0.066083,-0.202503,8.781947,-0.042140,-0.031313,0.008296,0.053740,0.056225,9.755718,0.001142,-0.007917,0.007059
0.060000,-0.026037,0.095346,9.454026,0.001146,0.023667,0.001726,0.152449,-0.203414,8.607657,-0.036099,-0.039421,0.002373,0.005038,0.027715,9.729149,0.003509,0.002027,-0.002307
0.070000,0.048652,0.090524,9.864656,-0.009419,0.017387,0.001589,0.230784,-0.299304,8.590522,-0.056783,-0.051815,0.003624,0.108941,0.128272,9.435788,0.021217,-0.014797,-0.010030
0.080000,-0.281438,0.073326,8.286098,-0.003628,0.033985,0.009847,0.192848,-0.410484,8.560130,-0.060805,-0.044232,0.009019,0.176142,0.220605,9.441374,0.023080,-0.025073,0.005775
0.090000,-0.117069,0.125669,9.832850,0.005991,0.030813,0.000631,0.202510,-0.480941,8.729888,-0.082526,-0.055795,-0.000050,0.169276,0.379611,7.971345,0.040779,-0.035025,0.002861
0.100000,-0.239045,-0.028117,8.809205,0.004166,0.059202,-0.002657,0.244565,-0.360531,8.944276,-0.096323,-0.053301,0.001837,0.073586,0.222792,9.501226,0.058775,-0.036595,-0.000515
0.110000,-0.311250,0.018118,8.210967,-0.005254,0.071604,-0.005007,0.252408,-0.393617,9.354378,-0.114734,-0.068905,0.010521,0.172810,0.341021,8.536965,0.070445,-0.035985,0.006854
0.120000,-0.272049,0.011000,9.165252,0.008970,0.085402,-0.009778,0.286981,-0.227682,9.519156,-0.129453,-0.082767,0.002801,0.227551,0.405094,8.319231,0.076725,-0.048679,0.009896
0.130000,-0.319046,0.024404,8.618486,0.013696,0.093583,-0.008182,0.119839,-0.271413,9.728986,-0.123483,-0.067453,-0.008711,0.174618,0.344524,8.754318,0.091523,-0.056461,0.002758
0.140000,-0.348547,0.028114,8.319625,0.003153,0.106236,-0.001855,0.143647,-0.305734,9.963256,-0.117203,-0.072557,-0.002233,0.144618,0.264466,8.632797,0.107241,-0.064738,0.004727
0.150000,-0.539396,-0.041272,8.648591,0.000566,0.107167,-0.004652,0.173356,-0.139179,10.122599,-0.119582,-0.074110,0.014824,0.262875,0.430192,8.394802,0.114818,-0.064422,-0.000122
0.160000,-0.403472,0.009946,8.648210,-0.005167,0.139181,0.003445,0.152788,-0.108828,10.251933,-0.119532,-0.069718,-0.003335,0.207643,0.479765,8.486849,0.124102,-0.083837,-0.007978
0.170000,-0.386171,0.096113,8.450233,0.001913,0.147370,-0.009118,0.229378,-0.229680,10.319250,-0.129135,-0.083914,0.003879,0.192133,0.375315,8.837245,0.148331,-0.091892,0.001842
0.180000,-0.413686,-0.019409,8.998229,0.015546,0.157003,0.007802,0.180977,-0.331365,9.800287,-0.139026,-0.090894,0.009560,0.190486,0.365119,9.458561,0.139887,-0.071794,0.008782
0.190000,-0.283165,-0.058127,9.492363,0.017481,0.170679,0.012156,0.240804,-0.326872,9.667963,-0.135104,-0.083043,0.002913,0.263157,0.400962,9.853313,0.142083,-0.094250,-0.006684
0.200000,-0.517668,-0.056549,9.769532,0.001384,0.159419,-0.007002,0.202622,-0.322258,9.669814,-0.126331,-0.092841,-0.005257,0.212774,0.409431,9.989146,0.155193,-0.097175,0.015524
0.210000,-0.377325,0.066632,10.068829,0.005982,0.161619,-0.001247,0.221941,-0.213317,9.554527,-0.140452,-0.079394,-0.005533,0.101822,0.281844,10.174994,0.157897,-0.093200,0.007135
0.220000,-0.488352,0.006449,10.211791,-0.001041,0.169784,0.009417,0.146900,-0.248820,9.506289,-0.133484,-0.082784,0.014926,0.185956,0.288190,10.359410,0.159509,-0.101913,-0.005745
0.230000,-0.327641,0.063153,10.634232,-0.000715,0.170063,0.007158,0.221666,-0.329587,9.423898,-0.133272,-0.084947,0.000604,0.139947,0.273562,10.957713,0.148402,-0.082993,0.009482
0.240000,-0.220895,0.027535,11.191138,0.003986,0.156097,0.007857,0.062634,-0.281344,9.385633,-0.128284,-0.072709,-0.002964,0.164360,0.230604,11.282970,0.137410,-0.077560,-0.006228
0.250000,-0.186567,-0.013656,11.370958,0.001668,0.144861,0.001520,0.088509,-0.321660,9.368332,-0.122969,-0.083857,0.000745,0.142008,0.128308,11.137016,0.130327,-0.085664,0.001537
0.260000,-0.227787,0.034527,11.244397,-0.005583,0.141727,0.001430,0.155634,-0.328304,9.643362,-0.126286,-0.080096,-0.000104,0.194232,0.218663,10.936451,0.132692,-0.084942,0.009452
0.270000,-0.287832,0.064862,10.989348,-0.001536,0.133213,-0.005566,0.046881,-0.267744,9.861382,-0.138299,-0.083430,-0.007271,0.129030,0.165852,10.664586,0.119105,-0.070326,0.004503
0.280000,-0.257720,-0.029700,10.546682,-0.007899,0.135357,-0.006702,0.189109,-0.205316,10.065883,-0.127860,-0.074946,0.003668,0.093639,0.156913,10.264286,0.119648,-0.067839,-0.009862
0.290000,-0.173151,0.066634,10.190612,-0.003299,0.125176,0.003068,0.213778,-0.205067,10.412657,-0.117716,-0.080294,0.010583,0.182292,0.341207,9.963075,0.122495,-0.067988,0.012803
0.300000,-0.188702,0.029049,9.973989,0.004782,0.125326,0.002082,0.114413,-0.291028,10.457168,-0.106683,-0.058321,0.001512,0.117618,0.336981,9.704564,0.122360,-0.059846,0.019497
0.310000,-0.347705,-0.050224,9.691794,0.016131,0.113651,0.003885,0.240900,-0.228661,10.597228,-0.098574,-0.062467,-0.008000,0.078345,0.279988,9.816979,0.103124,-0.062740,0.000224
0.320000,-0.258032,0.005850,9.966556,0.002076,0.116254,-0.013664,0.225420,-0.158213,10.930757,-0.089822,-0.053466,0.009201,0.027573,0.204382,10.074524,0.095711,-0.069446,0.016403
