time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz
0.380000,1.683150,-0.107459,-0.000381,-1.679716,2.070690,0.134133,-0.233276,-2.053132,1.528781,0.047470,0.083084,-1.525783
0.390000,1.339647,-0.067180,-0.000279,-1.337962,2.156687,0.134004,-0.232785,-2.139895,1.274727,0.031761,0.055667,-1.273115
0.400000,1.332870,-0.048516,-0.000247,-1.331987,2.153866,0.130829,-0.226958,-2.137876,1.356721,0.025601,0.044961,-1.355735
0.410000,1.364692,-0.031278,-0.000216,-1.364333,2.111042,0.128693,-0.222910,-2.095292,1.562085,0.020382,0.035913,-1.561539
0.420000,1.640133,-0.016446,-0.000206,-1.640051,2.088240,0.131666,-0.227698,-2.071609,1.843664,0.014057,0.024952,-1.843442
0.430000,1.892828,0.003463,-0.000168,-1.892825,1.995977,0.134007,-0.231398,-1.977984,1.997563,0.005651,0.010331,-1.997529
0.440000,2.014754,0.024429,-0.000092,-2.014606,1.921611,0.140845,-0.242887,-1.900989,2.030297,-0.002271,-0.003462,-2.030293
0.450000,2.027600,0.041310,0.000013,-2.027179,2.081829,0.169738,-0.292405,-2.054191,1.975064,-0.007991,-0.013416,-1.975003
0.460000,1.953349,0.051241,0.000137,-1.952677,2.186132,0.200969,-0.345942,-2.149211,1.892353,-0.011083,-0.018769,-1.892228
0.470000,1.859052,0.054939,0.000279,-1.858240,2.294894,0.239861,-0.412681,-2.244705,1.809651,-0.011806,-0.019959,-1.809502
0.480000,1.795991,0.054493,0.000449,-1.795164,2.421692,0.288780,-0.496709,-2.352547,1.800408,-0.010926,-0.018276,-1.800282
0.490000,1.784401,0.051197,0.000670,-1.783667,2.566994,0.348979,-0.600199,-2.471322,1.767391,-0.008002,-0.012969,-1.767325
0.500000,1.738536,0.043013,0.000925,-1.738004,2.718792,0.419499,-0.721521,-2.587520,1.679034,-0.003307,-0.004527,-1.679025
0.510000,1.653279,0.030899,0.001200,-1.652990,2.851951,0.495426,-0.852251,-2.676163,1.559389,0.002373,0.005679,-1.559377
0.520000,1.555168,0.016717,0.001494,-1.555078,2.931310,0.566661,-0.975032,-2.705695,1.707829,0.010070,0.019818,-1.707684
0.530000,1.724585,0.001800,0.002146,-1.724583,2.923580,0.619475,-1.066245,-2.650791,1.919479,0.021540,0.040956,-1.918921
0.540000,1.923477,-0.020304,0.003058,-1.923367,2.816411,0.642359,-1.106048,-2.509224,2.109054,0.037366,0.070163,-2.107556
0.550000,2.104202,-0.051502,0.004247,-2.103567,2.702750,0.650279,-1.120169,-2.372175,2.290799,0.058963,0.110116,-2.287391
0.560000,2.280422,-0.094520,0.005827,-2.278455,2.628606,0.653031,-1.125463,-2.283956,2.470760,0.088467,0.164813,-2.463669
0.570000,2.460630,-0.153964,0.007953,-2.455796,2.476076,0.621152,-1.071128,-2.144249,2.656094,0.129025,0.240095,-2.642072
0.580000,2.652137,-0.236754,0.010837,-2.641526,2.289972,0.567027,-0.978438,-1.991259,2.850600,0.184608,0.343340,-2.823819
0.590000,2.855815,-0.351607,0.014732,-2.834049,2.127715,0.508231,-0.877663,-1.870449,3.049402,0.258998,0.481614,-2.999970
0.600000,3.062590,-0.506769,0.019883,-3.020306,2.044959,0.460426,-0.795841,-1.826609,3.237854,0.353779,0.658030,-3.150482
0.610000,3.254794,-0.705843,0.026429,-3.177227,2.148807,0.445488,-0.770866,-1.955678,3.391764,0.465382,0.866303,-3.246075
0.620000,3.408058,-0.941901,0.034252,-3.275135,2.345057,0.437212,-0.757552,-2.175834,3.472932,0.581145,1.083389,-3.248045
0.630000,3.487439,-1.189948,0.042725,-3.277870,2.538319,0.416242,-0.722382,-2.397493,3.426133,0.676334,1.263652,-3.111935
0.640000,3.442362,-1.400545,0.050395,-3.144168,2.671114,0.378807,-0.658677,-2.560761,3.201247,0.719798,1.348870,-2.812548
0.650000,3.228486,-1.510939,0.055164,-2.852568,2.690695,0.327834,-0.571273,-2.608833,3.104659,0.768238,1.444912,-2.638361
0.660000,3.125139,-1.624746,0.060756,-2.668896,2.682558,0.283056,-0.494315,-2.621384,2.909044,0.766887,1.448550,-2.403357
0.670000,2.948690,-1.648450,0.063569,-2.444042,2.697867,0.252809,-0.442280,-2.649332,2.458087,0.670249,1.272118,-1.993658
0.680000,2.500283,-1.459465,0.058297,-2.029280,2.766681,0.239837,-0.419967,-2.724083,1.826921,0.502112,0.957976,-1.472347
0.690000,1.844348,-1.095832,0.045429,-1.482805,2.908925,0.245078,-0.429023,-2.866656,1.239290,0.335879,0.644346,-1.003914
0.700000,1.224079,-0.724659,0.031184,-0.986035,3.116942,0.267446,-0.467523,-3.070053,0.825457,0.216591,0.417884,-0.678115
