time,load_est_x,load_est_y,load_est_z,load_est_vx,load_est_vy,load_est_vz,drone0_est_x,drone0_est_y,drone0_est_z,drone0_est_vx,drone0_est_vy,drone0_est_vz,drone1_est_x,drone1_est_y,drone1_est_z,drone1_est_vx,drone1_est_vy,drone1_est_vz,drone2_est_x,drone2_est_y,drone2_est_z,drone2_est_vx,drone2_est_vy,drone2_est_vz
0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,0.600000,0.000000,1.200000,0.000000,0.000000,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000
0.010000,0.538761,0.000000,0.206441,18.000000,0.000000,1.551580,0.611604,-0.000807,1.215957,0.000579,-0.000040,0.000797,-0.316223,0.499865,1.205543,-0.000810,-0.000986,0.000277,-0.276716,-0.526473,1.160678,0.001162,-0.000342,-0.001963
0.020000,0.624444,-0.000710,0.226991,8.755292,-0.024208,1.203424,0.605905,0.009944,1.233247,-0.001399,0.003689,0.004236,-0.317768,0.502883,1.140834,-0.001343,0.000064,-0.012601,-0.294354,-0.523144,1.184300,-0.004959,0.000813,0.002742
0.030000,0.631620,0.007303,0.243526,2.639460,0.310923,0.978648,0.603736,0.014039,1.240718,-0.003284,0.007237,0.007532,-0.318359,0.504029,1.112881,-0.001848,0.001066,-0.024948,-0.301068,-0.521877,1.194500,-0.010787,0.001914,0.007255
0.040000,0.630489,0.012251,0.252869,0.126756,0.315825,0.624811,0.602564,0.016255,1.244937,-0.005099,0.010651,0.010747,-0.318681,0.504648,1.097103,-0.002331,0.002034,-0.036995,-0.304699,-0.521193,1.200253,-0.016398,0.002974,0.011662
0.050000,0.583606,0.015482,0.271028,-15.571610,0.234041,4.288686,0.601805,0.017690,1.247693,-0.006825,0.013892,0.013876,-0.318890,0.505047,1.086801,-0.002785,0.002958,-0.048731,-0.307050,-0.520749,1.204006,-0.021731,0.003982,0.015959
0.060000,0.411580,0.017811,0.317562,-19.405945,0.149522,4.876341,0.601254,0.018733,1.249673,-0.008430,0.016900,0.016900,-0.319043,0.505336,1.079405,-0.003201,0.003822,-0.060078,-0.308756,-0.520428,1.206699,-0.026688,0.004920,0.020119
0.070000,0.212295,0.019255,0.366784,-15.058275,0.079119,3.432269,0.600823,0.019549,1.251195,-0.009883,0.019613,0.019788,-0.319163,0.505562,1.073722,-0.003570,0.004608,-0.070926,-0.310092,-0.520176,1.208766,-0.031167,0.005769,0.024102
0.080000,0.069206,0.020000,0.398412,-6.862068,0.033559,1.149830,0.600468,0.020223,1.252425,-0.011151,0.021973,0.022508,-0.319262,0.505748,1.069127,-0.003885,0.005301,-0.081156,-0.311194,-0.519969,1.210436,-0.035073,0.006510,0.027865
0.090000,0.012033,0.020316,0.406520,1.046369,0.013800,-0.896176,0.600166,0.020795,1.253459,-0.012212,0.023938,0.025027,-0.319347,0.505906,1.065269,-0.004138,0.005887,-0.090645,-0.312130,-0.519792,1.211838,-0.038336,0.007130,0.031364
0.100000,0.035317,0.020462,0.394027,6.232476,0.013360,-2.120131,0.599904,0.021291,1.254353,-0.013054,0.025483,0.027316,-0.319419,0.506044,1.061935,-0.004327,0.006360,-0.099281,-0.312941,-0.519639,1.213049,-0.040914,0.007621,0.034556
0.110000,0.106602,0.020627,0.370530,7.915267,0.022968,-2.375013,0.599676,0.021722,1.255141,-0.013673,0.026605,0.029348,-0.319483,0.506163,1.058997,-0.004453,0.006717,-0.106967,-0.313648,-0.519506,1.214116,-0.042802,0.007983,0.037408
0.120000,0.189165,0.020897,0.346070,6.754124,0.033981,-1.889036,0.596893,0.023428,1.247275,-0.030993,0.036026,-0.005583,-0.314363,0.510650,1.075413,0.029350,0.035642,-0.032103,-0.310145,-0.517814,1.217535,-0.017074,0.018540,0.050443
0.130000,0.255649,0.021363,0.327062,4.010554,0.081106,-1.309430,0.594383,0.024956,1.240108,-0.045587,0.043772,-0.037935,-0.309728,0.514705,1.090384,0.058142,0.060174,0.037462,-0.306952,-0.516286,1.220639,0.005234,0.027438,0.062269
0.140000,0.292296,0.022337,0.314134,1.073986,0.130384,-0.795673,0.592126,0.026320,1.233516,-0.057544,0.049923,-0.067471,-0.305545,0.518360,1.104165,0.082049,0.080437,0.101206,-0.304049,-0.514913,1.223478,0.024154,0.034732,0.072806
0.150000,0.299141,0.023796,0.306360,-1.091857,0.160372,-0.446965,0.590107,0.027531,1.227425,-0.067043,0.054608,-0.094030,-0.301789,0.521636,1.116916,0.101370,0.096705,0.158767,-0.301423,-0.513685,1.226084,0.039850,0.040531,0.082016
0.160000,0.285545,0.025510,0.301900,-2.080628,0.164152,-0.295723,0.588313,0.028599,1.221785,-0.074326,0.057990,-0.117533,-0.298437,0.524554,1.128740,0.116523,0.109354,0.209956,-0.299062,-0.512593,1.228479,0.052574,0.044980,0.089891
0.170000,0.263680,0.027215,0.298728,-1.972914,0.146336,-0.319515,0.586730,0.029534,1.216565,-0.079664,0.060246,-0.137983,-0.295467,0.527137,1.139701,0.127993,0.118813,0.254754,-0.296952,-0.511629,1.230677,0.062635,0.048246,0.096459
0.180000,0.244249,0.028707,0.295130,-1.135839,0.116803,-0.459816,0.585341,0.030347,1.211741,-0.083337,0.061552,-0.155452,-0.292850,0.529407,1.149845,0.136284,0.125527,0.293289,-0.295079,-0.510784,1.232690,0.070368,0.050497,0.101775
0.190000,0.234058,0.029884,0.290004,-0.019851,0.085608,-0.644533,0.584131,0.031049,1.207298,-0.085615,0.062076,-0.170072,-0.290560,0.531391,1.159205,0.141890,0.129932,0.325821,-0.293426,-0.510047,1.234526,0.076104,0.051898,0.105918
0.200000,0.235390,0.030742,0.282993,0.994758,0.059866,-0.808548,0.583082,0.031652,1.203220,-0.086747,0.061971,-0.182023,-0.288565,0.533116,1.167812,0.145271,0.132429,0.352708,-0.291975,-0.509408,1.236195,0.080160,0.052602,0.108982
0.210000,0.246804,0.031341,0.274384,1.681112,0.042694,-0.908899,0.582178,0.032167,1.199491,-0.086956,0.061371,-0.191517,-0.286838,0.534606,1.175697,0.146840,0.133379,0.374379,-0.290707,-0.508858,1.237705,0.082822,0.052742,0.111070
0.220000,0.264767,0.031773,0.264869,1.981482,0.033727,-0.931459,0.582390,0.029437,1.202457,-0.080964,0.042850,-0.167564,-0.287272,0.532645,1.175205,0.136301,0.115124,0.353598,-0.288056,-0.507578,1.235915,0.092916,0.056909,0.096841
0.230000,0.285417,0.032001,0.255469,1.999554,-0.065097,-0.695805,0.582610,0.026976,1.205295,-0.075425,0.027318,-0.145769,-0.287712,0.530844,1.174595,0.126608,0.099257,0.333575,-0.285718,-0.506453,1.234206,0.100492,0.059895,0.083908
0.240000,0.306044,0.031180,0.248630,1.847422,-0.182425,-0.369487,0.582835,0.024763,1.207996,-0.070321,0.014352,-0.126038,-0.288151,0.529197,1.173890,0.117714,0.085489,0.314404,-0.283660,-0.505468,1.232580,0.105983,0.061911,0.072213
0.250000,0.325026,0.029175,0.245140,1.637686,-0.267426,-0.084324,0.583059,0.022778,1.210555,-0.065625,0.003577,-0.108253,-0.288584,0.527694,1.173112,0.109567,0.073555,0.296144,-0.281854,-0.504607,1.231041,0.109760,0.063136,0.061685
0.260000,0.341861,0.026350,0.244484,1.452897,-0.298169,0.089628,0.583281,0.021000,1.212971,-0.061311,-0.005335,-0.092287,-0.289006,0.526325,1.172280,0.102109,0.063216,0.278831,-0.280272,-0.503856,1.229589,0.112139,0.063722,0.052245
0.270000,0.356865,0.023267,0.245489,1.337242,-0.278239,0.142132,0.583499,0.019409,1.215244,-0.057349,-0.012671,-0.078002,-0.289415,0.525080,1.171409,0.095286,0.054260,0.262476,-0.278890,-0.503203,1.228224,0.113384,0.063797,0.043811
0.280000,0.370771,0.020432,0.246926,1.299882,-0.226413,0.103804,0.583710,0.017987,1.217376,-0.053711,-0.018674,-0.065261,-0.289809,0.523949,1.170514,0.089042,0.046501,0.247074,-0.277684,-0.502637,1.226946,0.113717,0.063466,0.036298
0.290000,0.384371,0.018149,0.247906,1.324188,-0.165308,0.022231,0.583914,0.016718,1.219370,-0.050369,-0.023553,-0.053928,-0.290187,0.522922,1.169606,0.083325,0.039777,0.232606,-0.276635,-0.502146,1.225751,0.113322,0.062815,0.029626
0.300000,0.398253,0.016493,0.248037,1.377894,-0.112848,-0.058083,0.584111,0.015585,1.221231,-0.047298,-0.027487,-0.043872,-0.290549,0.521989,1.168695,0.078087,0.033946,0.219043,-0.275723,-0.501723,1.224636,0.112349,0.061917,0.023714
0.310000,0.412655,0.015362,0.247373,1.423636,-0.078237,-0.107883,0.584300,0.014574,1.222964,-0.044473,-0.030625,-0.034967,-0.290894,0.521143,1.167789,0.073283,0.028887,0.206349,-0.274934,-0.501359,1.223598,0.110925,0.060828,0.018489
0.320000,0.427452,0.014569,0.246244,1.430320,-0.062147,-0.116960,0.582806,0.009459,1.216996,-0.048835,-0.050614,-0.057503,-0.291139,0.520639,1.165287,0.069219,0.025591,0.188039,-0.277750,-0.503967,1.221965,0.094608,0.047461,0.011198
0.330000,0.442176,0.013790,0.244810,1.330879,-0.186620,-0.319505,0.581474,0.004868,1.211495,-0.052256,-0.067168,-0.076836,-0.291376,0.520179,1.162925,0.065452,0.022691,0.171386,-0.280308,-0.506325,1.220453,0.080411,0.035982,0.004823
0.340000,0.455786,0.011687,0.241245,1.164735,-0.346854,-0.560078,0.580285,0.000747,1.206430,-0.054888,-0.080802,-0.093339,-0.291606,0.519760,1.160697,0.061959,0.020135,0.156246,-0.282631,-0.508459,1.219054,0.068048,0.026127,-0.000736
0.350000,0.467645,0.007978,0.235278,0.976256,-0.466135,-0.729326,0.579226,-0.002952,1.201772,-0.056857,-0.091956,-0.107347,-0.291827,0.519376,1.158599,0.058714,0.017879,0.142482,-0.284743,-0.510389,1.217761,0.057274,0.017670,-0.005571
0.360000,0.477562,0.003128,0.227703,0.808776,-0.509366,-0.782090,0.578282,-0.006271,1.197490,-0.058271,-0.101002,-0.119161,-0.292040,0.519026,1.156625,0.055698,0.015885,0.129968,-0.286663,-0.512136,1.216567,0.047877,0.010417,-0.009763
0.370000,0.485786,-0.002081,0.219710,0.697359,-0.479081,-0.728707,0.577442,-0.009249,1.193557,-0.059220,-0.108255,-0.129049,-0.292245,0.518706,1.154770,0.052889,0.014120,0.118589,-0.288409,-0.513719,1.215464,0.039676,0.004202,-0.013387
0.380000,0.492907,-0.006931,0.212331,0.657461,-0.400773,-0.610657,0.576695,-0.011921,1.189946,-0.059779,-0.113985,-0.137248,-0.292442,0.518413,1.153027,0.050271,0.012555,0.108237,-0.289999,-0.515151,1.214447,0.032515,-0.001115,-0.016508
0.390000,0.499651,-0.010963,0.206181,0.681560,-0.306359,-0.475316,0.576031,-0.014317,1.186634,-0.060014,-0.118419,-0.143968,-0.292632,0.518145,1.151390,0.047827,0.011165,0.098816,-0.291446,-0.516449,1.213509,0.026258,-0.005658,-0.019185
0.400000,0.506658,-0.014036,0.201403,0.744790,-0.222167,-0.359058,0.575441,-0.016464,1.183597,-0.059977,-0.121752,-0.149396,-0.292814,0.517900,1.149853,0.045542,0.009930,0.090238,-0.292764,-0.517625,1.212645,0.020790,-0.009530,-0.021471
0.410000,0.514320,-0.016265,0.197788,0.814108,-0.162915,-0.279934,0.574918,-0.018389,1.180813,-0.059715,-0.124149,-0.153695,-0.292989,0.517675,1.148411,0.043403,0.008830,0.082422,-0.293965,-0.518691,1.211848,0.016011,-0.012822,-0.023411
0.420000,0.522685,-0.017907,0.194956,0.859345,-0.131280,-0.238712,0.572020,-0.017517,1.186310,-0.067375,-0.117114,-0.130685,-0.295159,0.519490,1.149008,0.034736,0.014578,0.081677,-0.294769,-0.517534,1.200918,0.012803,-0.008545,-0.058401
0.430000,0.531435,-0.019185,0.192700,0.785492,-0.043075,0.017564,0.569397,-0.016699,1.191435,-0.073746,-0.110614,-0.110024,-0.297140,0.521139,1.149545,0.027126,0.019490,0.080781,-0.295503,-0.516480,1.190789,0.009986,-0.004821,-0.089060
0.440000,0.539375,-0.019553,0.193107,0.636608,0.053206,0.326639,0.567023,-0.015931,1.196214,-0.079000,-0.104596,-0.091472,-0.298950,0.522636,1.150029,0.020442,0.023672,0.079758,-0.296173,-0.515519,1.181403,0.007512,-0.001581,-0.115867
0.450000,0.545764,-0.018956,0.196625,0.453639,0.123633,0.567017,0.564876,-0.015210,1.200671,-0.083285,-0.099016,-0.074815,-0.300604,0.523996,1.150463,0.014574,0.027219,0.078631,-0.296786,-0.514643,1.172706,0.005340,0.001236,-0.139245
0.460000,0.550277,-0.017667,0.202508,0.264759,0.154239,0.681062,0.562934,-0.014532,1.204828,-0.086731,-0.093832,-0.059859,-0.302116,0.525231,1.150852,0.009424,0.030210,0.077420,-0.297346,-0.513844,1.164646,0.003435,0.003680,-0.159572
0.470000,0.552865,-0.016092,0.209466,0.083736,0.148297,0.670243,0.561179,-0.013893,1.208706,-0.089447,-0.089008,-0.046434,-0.303498,0.526352,1.151200,0.004907,0.032717,0.076140,-0.297858,-0.513115,1.157179,0.001763,0.005797,-0.177182
0.480000,0.553610,-0.014593,0.216255,-0.087024,0.119244,0.574020,0.559593,-0.013292,1.212324,-0.091531,-0.084513,-0.034385,-0.304763,0.527370,1.151510,0.000948,0.034800,0.074808,-0.298326,-0.512451,1.150260,0.000299,0.007626,-0.192374
0.490000,0.552615,-0.013396,0.222037,-0.252634,0.082976,0.444641,0.558162,-0.012725,1.215700,-0.093065,-0.080316,-0.023575,-0.305919,0.528295,1.151785,-0.002516,0.036512,0.073434,-0.298754,-0.511844,1.143849,-0.000983,0.009201,-0.205412
0.500000,0.549929,-0.012567,0.226504,-0.421158,0.052129,0.327045,0.556870,-0.012189,1.218851,-0.094123,-0.076392,-0.013881,-0.306977,0.529133,1.152029,-0.005543,0.037899,0.072030,-0.299146,-0.511291,1.137910,-0.002102,0.010553,-0.216532
0.510000,0.545511,-0.012045,0.229794,-0.601241,0.033330,0.248079,0.555706,-0.011683,1.221793,-0.094767,-0.072718,-0.005193,-0.307945,0.529893,1.152243,-0.008183,0.039002,0.070604,-0.299504,-0.510786,1.132409,-0.003078,0.011708,-0.225943
0.520000,0.539232,-0.011706,0.232308,-0.803509,0.027242,0.215165,0.560162,-0.011312,1.215995,-0.079326,-0.069579,-0.021172,-0.307658,0.529374,1.162243,-0.007130,0.036404,0.096447,-0.301547,-0.510004,1.144036,-0.008828,0.013609,-0.187327
0.530000,0.530966,-0.011426,0.234339,-0.876997,0.027184,-0.035384,0.564265,-0.010957,1.210583,-0.065500,-0.066613,-0.035435,-0.307393,0.528891,1.171565,-0.006181,0.034012,0.119372,-0.303419,-0.509289,1.154927,-0.013864,0.015244,-0.152315
0.540000,0.521932,-0.011144,0.233772,-0.963496,0.030401,-0.329854,0.568044,-0.010618,1.205532,-0.053121,-0.063807,-0.048148,-0.307149,0.528440,1.180257,-0.005328,0.031804,0.139666,-0.305134,-0.508636,1.165132,-0.018266,0.016642,-0.120573
0.550000,0.511915,-0.010828,0.230250,-1.178519,0.033969,-0.535358,0.571525,-0.010294,1.200816,-0.042039,-0.061149,-0.059461,-0.306924,0.528020,1.188362,-0.004559,0.029766,0.157589,-0.306706,-0.508039,1.174695,-0.022101,0.017829,-0.091798
0.560000,0.499546,-0.010478,0.224733,-1.589956,0.035672,-0.582123,0.574732,-0.009984,1.196413,-0.032124,-0.058629,-0.069510,-0.306716,0.527628,1.195919,-0.003866,0.027880,0.173373,-0.308145,-0.507495,1.183660,-0.025432,0.018830,-0.065718
0.570000,0.482795,-0.010112,0.218863,-2.213414,0.034308,-0.456953,0.577687,-0.009687,1.192303,-0.023255,-0.056238,-0.078415,-0.306525,0.527262,1.202965,-0.003242,0.026135,0.187225,-0.309463,-0.506998,1.192065,-0.028312,0.019665,-0.042090
0.580000,0.459507,-0.009762,0.214387,-3.016528,0.029534,-0.180707,0.580410,-0.009402,1.188465,-0.015330,-0.053967,-0.086286,-0.306348,0.526920,1.209536,-0.002680,0.024517,0.199334,-0.310670,-0.506546,1.199947,-0.030789,0.020352,-0.020692
0.590000,0.427888,-0.009464,0.212836,-3.924970,0.021449,0.215141,0.582918,-0.009129,1.184881,-0.008253,-0.051807,-0.093219,-0.306184,0.526601,1.215662,-0.002174,0.023015,0.209866,-0.311774,-0.506133,1.207339,-0.032907,0.020908,-0.001325
0.600000,0.386941,-0.009251,0.215417,-4.826969,0.010183,0.700550,0.585230,-0.008868,1.181536,-0.001942,-0.049752,-0.099303,-0.306033,0.526302,1.221372,-0.001719,0.021620,0.218972,-0.312785,-0.505757,1.214274,-0.034702,0.021347,0.016191
0.610000,0.336854,-0.009157,0.223021,-5.579237,-0.004350,1.241973,0.587360,-0.008617,1.178413,0.003679,-0.047794,-0.104618,-0.305894,0.526022,1.226695,-0.001309,0.020323,0.226790,-0.313708,-0.505415,1.220779,-0.036210,0.021683,0.032019
0.620000,0.279312,-0.009214,0.236169,-6.022417,-0.022382,1.784744,0.587482,-0.011706,1.174485,0.003900,-0.054572,-0.111738,-0.305158,0.526212,1.231729,0.000635,0.020289,0.233624,-0.316164,-0.505542,1.213365,-0.041643,0.020791,0.012914
0.630000,0.217586,-0.009530,0.254762,-6.069113,-0.144176,2.207690,0.587594,-0.014544,1.170813,0.004087,-0.060477,-0.117988,-0.304479,0.526383,1.236420,0.002366,0.020208,0.239384,-0.318420,-0.505664,1.206398,-0.046382,0.019942,-0.004449
0.640000,0.155796,-0.011111,0.277506,-5.599025,-0.295391,2.413742,0.587696,-0.017149,1.167381,0.004244,-0.065596,-0.123448,-0.303854,0.526537,1.240788,0.003906,0.020084,0.244172,-0.320490,-0.505779,1.199850,-0.050496,0.019135,-0.020216
0.650000,0.099213,-0.014215,0.302122,-4.593920,-0.419456,2.303739,0.587789,-0.019539,1.164174,0.004374,-0.070006,-0.128188,-0.303278,0.526675,1.244856,0.005271,0.019924,0.248079,-0.322391,-0.505890,1.193694,-0.054045,0.018367,-0.034522
0.660000,0.053216,-0.018541,0.325345,-3.145348,-0.488217,1.819213,0.587875,-0.021730,1.161178,0.004479,-0.073776,-0.132272,-0.302747,0.526798,1.248642,0.006479,0.019732,0.251189,-0.324134,-0.505996,1.187908,-0.057084,0.017634,-0.047485
0.670000,0.022139,-0.023522,0.343412,-1.434428,-0.499825,0.987027,0.587952,-0.023739,1.158380,0.004562,-0.076970,-0.135758,-0.302259,0.526908,1.252164,0.007544,0.019512,0.253575,-0.325732,-0.506098,1.182469,-0.059665,0.016936,-0.059217
0.680000,0.008437,-0.028588,0.352919,0.315772,-0.469091,-0.067250,0.588023,-0.025579,1.155767,0.004625,-0.079643,-0.138701,-0.301809,0.527005,1.255438,0.008480,0.019267,0.255306,-0.327196,-0.506195,1.177356,-0.061832,0.016269,-0.069818
0.690000,0.012365,-0.033325,0.351743,1.900762,-0.416472,-1.152823,0.588088,-0.027262,1.153329,0.004671,-0.081848,-0.141148,-0.301395,0.527091,1.258480,0.009298,0.019002,0.256444,-0.328535,-0.506289,1.172550,-0.063625,0.015633,-0.079378
0.700000,0.032188,-0.037524,0.339661,3.182114,-0.359810,-2.074971,0.588147,-0.028800,1.151055,0.004701,-0.083630,-0.143142,-0.301015,0.527167,1.261304,0.010009,0.018719,0.257044,-0.329760,-0.506378,1.168033,-0.065082,0.015025,-0.087981
0.710000,0.064835,-0.041150,0.318369,4.114745,-0.310268,-2.696861,0.588200,-0.030206,1.148934,0.004716,-0.085032,-0.144724,-0.300665,0.527233,1.263923,0.010624,0.018420,0.257156,-0.330879,-0.506464,1.163788,-0.066235,0.014444,-0.095704
