time,drone0_tau_x,drone0_tau_y,drone0_tau_z,drone0_f_x,drone0_f_y,drone0_f_z,drone1_tau_x,drone1_tau_y,drone1_tau_z,drone1_f_x,drone1_f_y,drone1_f_z,drone2_tau_x,drone2_tau_y,drone2_tau_z,drone2_f_x,drone2_f_y,drone2_f_z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750
0.010000,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317759,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317757,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317760
0.020000,0.000339,-0.000724,-0.000000,-0.000133,-0.000068,22.317774,0.000338,-0.000724,-0.000000,-0.000133,-0.000068,22.317771,0.000338,-0.000724,-0.000000,-0.000133,-0.000068,22.317776
0.030000,0.000335,-0.000726,-0.000000,-0.000350,-0.000178,22.317803,0.000335,-0.000725,-0.000000,-0.000350,-0.000178,22.317797,0.000335,-0.000725,-0.000000,-0.000350,-0.000178,22.317806
0.040000,0.000325,-0.033639,-0.000001,-0.000168,-0.000284,18.530640,0.000319,-0.000698,-0.000000,-0.000675,-0.000341,22.317837,0.000319,-0.000698,-0.000000,-0.000675,-0.000341,22.317850
0.050000,0.000309,-0.016840,-0.000000,0.003471,-0.000560,22.503222,0.000306,-0.000666,-0.000000,-0.001104,-0.000555,22.317874,-0.036451,0.019189,-0.000001,-0.001867,-0.002001,21.561496
0.060000,0.000306,-0.046044,-0.000002,0.007065,-0.000762,20.805771,0.002946,0.026019,0.000001,-0.007444,-0.000233,22.468827,-0.013147,0.007175,-0.000001,-0.004704,-0.006248,22.596145
0.070000,0.000284,-0.029244,-0.000002,0.014388,-0.001089,21.599558,0.001672,0.013751,0.000001,-0.012870,-0.000089,22.754479,-0.043757,0.023374,-0.000004,-0.006684,-0.009282,19.683983
0.080000,0.000282,-0.049403,-0.000004,0.024798,-0.001470,22.246470,0.001504,0.012042,0.000001,-0.018266,-0.000001,22.910392,-0.026491,0.014790,-0.000003,-0.013058,-0.019137,22.973318
0.090000,0.000280,-0.058803,-0.000005,0.035705,-0.001786,21.400811,0.006179,0.057418,0.000007,-0.030254,0.000749,22.711871,-0.047921,0.026266,-0.000008,-0.017634,-0.026446,21.326408
0.100000,0.000276,-0.062264,-0.000007,0.049937,-0.002171,21.205946,0.003639,0.033132,0.000005,-0.044220,0.001545,23.295652,-0.039087,0.021781,-0.000008,-0.023936,-0.036530,20.756846
