time,load_x,load_y,load_z,load_vx,load_vy,load_vz,load_qw,load_qx,load_qy,load_qz,load_wx,load_wy,load_wz,drone0_x,drone0_y,drone0_z,drone0_vx,drone0_vy,drone0_vz,drone0_qw,drone0_qx,drone0_qy,drone0_qz,drone0_wx,drone0_wy,drone0_wz,drone1_x,drone1_y,drone1_z,drone1_vx,drone1_vy,drone1_vz,drone1_qw,drone1_qx,drone1_qy,drone1_qz,drone1_wx,drone1_wy,drone1_wz,drone2_x,drone2_y,drone2_z,drone2_vx,drone2_vy,drone2_vz,drone2_qw,drone2_qx,drone2_qy,drone2_qz,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.159500,0.000075,0.000037,-0.098100,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600001,0.000000,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000,-0.299999,0.519616,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000,-0.299999,-0.519615,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000
0.020000,0.000002,0.000001,0.158018,0.000150,0.000075,-0.196201,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600002,0.000001,1.200000,0.000240,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000370,-0.000726,0.000000,-0.299998,0.519616,1.200000,0.000240,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000369,-0.000726,0.000000,-0.299998,-0.519614,1.200000,0.000240,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000369,-0.000726,0.000000
0.030000,0.000003,0.000002,0.155556,0.000226,0.000112,-0.294301,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600005,0.000003,1.200000,0.000361,0.000180,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000612,-0.001212,0.000000,-0.299995,0.519618,1.200000,0.000361,0.000179,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000611,-0.001212,0.000000,-0.299991,-0.519606,1.199963,0.001048,0.001368,-0.006703,1.000000,0.000042,-0.000029,0.000000,0.011380,-0.007311,0.000000
0.040000,0.000006,0.000003,0.152113,0.000302,0.000150,-0.392402,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600010,0.000005,1.200000,0.000481,0.000239,-0.000003,1.000000,0.000008,-0.000015,0.000000,0.000846,-0.001688,0.000000,-0.299990,0.519620,1.200000,0.000481,0.000238,-0.000003,1.000000,0.000008,-0.000015,0.000000,0.000844,-0.001687,0.000000,-0.299976,-0.519585,1.199863,0.002144,0.003119,-0.014934,1.000000,0.000125,-0.000081,0.000000,0.024170,-0.014892,0.000000
0.050000,0.000009,0.000004,0.148141,0.000270,0.000134,-0.262008,1.000000,-0.000002,0.000004,0.000000,-0.000897,0.001810,-0.000000,0.599997,0.000007,1.199906,-0.001669,0.000297,-0.011299,1.000000,0.000012,0.000066,0.000000,0.001068,0.014490,0.000000,-0.299985,0.519623,1.200000,0.000600,0.000297,-0.000004,1.000000,0.000012,-0.000025,0.000000,0.001068,-0.002143,0.000000,-0.299948,-0.519544,1.199675,0.003477,0.005280,-0.024064,1.000000,0.000269,-0.000170,0.000000,0.035695,-0.021863,0.000001
0.060000,0.000012,0.000006,0.147457,0.000324,0.000161,0.029368,1.000000,-0.000007,0.000014,0.000000,-0.001079,0.002177,0.000000,0.599978,0.000011,1.199789,-0.003014,0.000355,-0.016657,1.000000,0.000018,0.000136,0.000000,0.001276,0.025804,0.000001,-0.299978,0.519626,1.200000,0.000716,0.000354,-0.000004,1.000000,0.000018,-0.000037,0.000000,0.001280,-0.002574,0.000000,-0.299906,-0.519479,1.199384,0.005073,0.007901,-0.034649,1.000000,0.000476,-0.000296,0.000000,0.048165,-0.029380,0.000001
0.070000,0.000015,0.000008,0.147925,0.000378,0.000188,0.052081,1.000000,-0.000013,0.000026,-0.000000,-0.001258,0.002538,0.000000,0.599933,0.000015,1.199554,-0.005164,0.000411,-0.025609,1.000000,0.000025,0.000305,0.000000,0.001474,0.032549,0.000001,-0.299944,0.519621,1.199872,0.004178,-0.000742,-0.015421,1.000000,-0.000023,-0.000185,-0.000000,-0.006944,-0.027342,-0.000001,-0.299846,-0.519385,1.198978,0.006894,0.010916,-0.046484,1.000000,0.000751,-0.000464,0.000000,0.061589,-0.037424,0.000001
0.080000,0.000020,0.000010,0.148413,0.000433,0.000214,0.044128,1.000000,-0.000020,0.000040,0.000000,-0.001436,0.002903,0.000000,0.599870,0.000019,1.199252,-0.007972,0.000464,-0.037475,1.000000,0.000033,0.000504,0.000000,0.001650,0.050698,0.000002,-0.299899,0.519613,1.199719,0.004791,-0.000861,-0.014729,1.000000,-0.000051,-0.000308,-0.000000,-0.004979,-0.022818,-0.000001,-0.299767,-0.519259,1.198449,0.008892,0.014238,-0.059242,0.999999,0.001095,-0.000673,0.000000,0.075630,-0.045800,0.000002
0.090000,0.000024,0.000012,0.148787,0.000488,0.000241,0.030223,1.000000,-0.000027,0.000055,0.000000,-0.001614,0.003266,0.000000,0.599779,0.000024,1.198843,-0.010434,0.000516,-0.045719,1.000000,0.000042,0.000767,0.000000,0.001817,0.058922,0.000002,-0.299847,0.519603,1.199577,0.006599,-0.001394,-0.019914,1.000000,-0.000078,-0.000427,-0.000000,-0.011470,-0.041176,-0.000003,-0.299667,-0.519098,1.197788,0.011021,0.017792,-0.072536,0.999998,0.001510,-0.000923,0.000000,0.089852,-0.054264,0.000003
