time,load_x,load_y,load_z,load_vx,load_vy,load_vz,load_qw,load_qx,load_qy,load_qz,load_wx,load_wy,load_wz,drone0_x,drone0_y,drone0_z,drone0_vx,drone0_vy,drone0_vz,drone0_qw,drone0_qx,drone0_qy,drone0_qz,drone0_wx,drone0_wy,drone0_wz,drone1_x,drone1_y,drone1_z,drone1_vx,drone1_vy,drone1_vz,drone1_qw,drone1_qx,drone1_qy,drone1_qz,drone1_wx,drone1_wy,drone1_wz,drone2_x,drone2_y,drone2_z,drone2_vx,drone2_vy,drone2_vz,drone2_qw,drone2_qx,drone2_qy,drone2_qz,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.159500,0.000075,0.000037,-0.098100,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600001,0.000000,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000,-0.299999,0.519616,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000,-0.299999,-0.519615,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000
0.020000,0.000002,0.000001,0.158018,0.000150,0.000075,-0.196201,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600002,0.000001,1.200000,0.000240,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000370,-0.000726,0.000000,-0.299998,0.519616,1.200000,0.000240,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000369,-0.000726,0.000000,-0.299994,-0.519608,1.199965,0.000983,0.001406,-0.006869,1.000000,0.000038,-0.000023,0.000000,0.013299,-0.007963,0.000000
0.030000,0.000003,0.000002,0.155556,0.000226,0.000112,-0.294301,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600005,0.000003,1.200000,0.000361,0.000180,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000612,-0.001212,0.000000,-0.299995,0.519618,1.200000,0.000361,0.000179,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000611,-0.001212,0.000000,-0.299978,-0.519585,1.199856,0.002166,0.003305,-0.015288,1.000000,0.000133,-0.000081,0.000000,0.025555,-0.015348,0.000000
0.040000,0.000006,0.000003,0.152113,0.000302,0.000150,-0.392402,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600007,0.000005,1.199988,-0.001103,0.000238,-0.008563,1.000000,0.000008,0.000002,0.000000,0.000843,0.018922,0.000000,-0.299990,0.519620,1.200000,0.000481,0.000238,-0.000003,1.000000,0.000008,-0.000015,0.000000,0.000844,-0.001687,0.000000,-0.299949,-0.519539,1.199653,0.003684,0.005786,-0.025491,1.000000,0.000295,-0.000178,0.000000,0.038948,-0.023412,0.000000
0.050000,0.000009,0.000004,0.148141,0.000270,0.000134,-0.262008,1.000000,-0.000002,0.000004,0.000000,-0.000897,0.001810,0.000000,0.599992,0.000007,1.199885,-0.001675,0.000297,-0.010649,1.000000,0.000012,0.000081,0.000000,0.001068,0.012661,0.000000,-0.299985,0.519623,1.200000,0.000600,0.000297,-0.000004,1.000000,0.000012,-0.000025,0.000000,0.001068,-0.002143,0.000000,-0.299904,-0.519467,1.199340,0.005473,0.008736,-0.036937,1.000000,0.000526,-0.000316,0.000000,0.053255,-0.031992,0.000000
0.060000,0.000012,0.000006,0.147457,0.000324,0.000161,0.029368,1.000000,-0.000007,0.000014,0.000000,-0.001079,0.002177,0.000000,0.599967,0.000011,1.199741,-0.004088,0.000354,-0.022098,1.000000,0.000018,0.000182,0.000000,0.001274,0.034013,0.000001,-0.299978,0.519626,1.200000,0.000716,0.000354,-0.000004,1.000000,0.000018,-0.000037,0.000000,0.001280,-0.002574,0.000000,-0.299839,-0.519363,1.198909,0.007457,0.012030,-0.049075,1.000000,0.000829,-0.000499,0.000000,0.067662,-0.040630,0.000001
0.070000,0.000015,0.000008,0.147925,0.000378,0.000188,0.052081,1.000000,-0.000013,0.000026,-0.000000,-0.001258,0.002538,0.000000,0.599919,0.000015,1.199502,-0.005567,0.000410,-0.025981,1.000000,0.000025,0.000344,0.000000,0.001473,0.034554,0.000001,-0.299963,0.519621,1.199931,0.002837,-0.001796,-0.017487,1.000000,-0.000031,-0.000099,-0.000000,-0.021440,-0.023202,-0.000003,-0.299754,-0.519225,1.198360,0.009474,0.015383,-0.060278,0.999999,0.001200,-0.000722,0.000000,0.080152,-0.048180,0.000001
0.080000,0.000020,0.000010,0.148413,0.000433,0.000214,0.044128,1.000000,-0.000020,0.000040,0.000000,-0.001436,0.002903,0.000000,0.599846,0.000019,1.199160,-0.008560,0.000464,-0.038515,1.000000,0.000033,0.000578,0.000000,0.001652,0.050264,0.000001,-0.299932,0.519601,1.199753,0.003310,-0.002139,-0.017766,1.000000,-0.000110,-0.000194,-0.000000,-0.012980,-0.016788,-0.000001,-0.299649,-0.519055,1.197707,0.011430,0.018631,-0.069692,0.999998,0.001629,-0.000979,0.000000,0.090784,-0.054641,0.000001
0.090000,0.000024,0.000012,0.148787,0.000488,0.000241,0.030223,1.000000,-0.000027,0.000055,0.000000,-0.001614,0.003266,-0.000000,0.599745,0.000024,1.198720,-0.011665,0.000516,-0.050562,1.000000,0.000042,0.000866,0.000000,0.001814,0.065698,0.000002,-0.299897,0.519579,1.199584,0.003639,-0.002329,-0.015826,1.000000,-0.000169,-0.000274,-0.000000,-0.010983,-0.015467,-0.000001,-0.299525,-0.518853,1.196971,0.013278,0.021698,-0.077046,0.999997,0.002107,-0.001267,0.000000,0.099852,-0.060174,0.000001
