time,load_est_x,load_est_y,load_est_z,load_est_vx,load_est_vy,load_est_vz,drone0_est_x,drone0_est_y,drone0_est_z,drone0_est_vx,drone0_est_vy,drone0_est_vz,drone1_est_x,drone1_est_y,drone1_est_z,drone1_est_vx,drone1_est_vy,drone1_est_vz,drone2_est_x,drone2_est_y,drone2_est_z,drone2_est_vx,drone2_est_vy,drone2_est_vz
0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,0.600000,0.000000,1.200000,0.000000,0.000000,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000
0.010000,0.538761,0.000000,0.207963,18.000000,0.000000,1.602434,0.611604,-0.000807,1.215957,0.000579,-0.000040,0.000797,-0.316223,0.499865,1.205543,-0.000810,-0.000986,0.000277,-0.276716,-0.526473,1.160678,0.001162,-0.000342,-0.001963
0.020000,0.624444,-0.000710,0.228726,8.755290,-0.024208,1.227176,0.605905,0.009944,1.233247,-0.001399,0.003689,0.004236,-0.317768,0.502883,1.140834,-0.001343,0.000064,-0.012601,-0.294354,-0.523144,1.184300,-0.004959,0.000813,0.002742
0.030000,0.631620,0.007303,0.245288,2.639462,0.310923,0.986111,0.603736,0.014039,1.240718,-0.003284,0.007237,0.007532,-0.318359,0.504029,1.112881,-0.001848,0.001066,-0.024948,-0.301068,-0.521877,1.194500,-0.010787,0.001914,0.007255
0.040000,0.630488,0.012252,0.254634,0.126776,0.315823,0.625514,0.602564,0.016255,1.244937,-0.005099,0.010651,0.010747,-0.318681,0.504648,1.097103,-0.002331,0.002034,-0.036995,-0.304699,-0.521193,1.200253,-0.016398,0.002974,0.011662
0.050000,0.591279,0.015471,0.270894,-15.546204,0.234042,4.280057,0.601805,0.017690,1.247693,-0.006825,0.013892,0.013876,-0.318890,0.505047,1.086801,-0.002785,0.002958,-0.048731,-0.307050,-0.520749,1.204006,-0.021731,0.003982,0.015959
0.060000,0.418874,0.017800,0.317489,-19.600629,0.149866,4.920806,0.601254,0.018733,1.249673,-0.008430,0.016900,0.016900,-0.319043,0.505336,1.079405,-0.003201,0.003822,-0.060078,-0.308756,-0.520428,1.206699,-0.026688,0.004920,0.020119
0.070000,0.217556,0.019251,0.367216,-15.326592,0.079583,3.496788,0.600823,0.019549,1.251195,-0.009883,0.019613,0.019788,-0.319163,0.505562,1.073722,-0.003570,0.004608,-0.070926,-0.310092,-0.520176,1.208766,-0.031167,0.005769,0.024102
0.080000,0.073294,0.019989,0.398929,-7.097329,0.033880,1.206988,0.600468,0.020223,1.252425,-0.011151,0.021973,0.022508,-0.319262,0.505748,1.069127,-0.003885,0.005301,-0.081156,-0.311194,-0.519969,1.210436,-0.035073,0.006510,0.027865
0.090000,0.013413,0.020310,0.407725,0.851068,0.014255,-0.840909,0.600166,0.020795,1.253459,-0.012212,0.023938,0.025027,-0.319347,0.505906,1.065269,-0.004138,0.005887,-0.090645,-0.312130,-0.519792,1.211838,-0.038336,0.007130,0.031364
0.100000,0.034438,0.020460,0.395886,6.119559,0.013761,-2.080568,0.599904,0.021291,1.254353,-0.013054,0.025483,0.027316,-0.319419,0.506044,1.061935,-0.004327,0.006360,-0.099281,-0.312941,-0.519639,1.213049,-0.040914,0.007621,0.034556
0.110000,0.104649,0.020629,0.372782,7.886429,0.023234,-2.355539,0.599676,0.021722,1.255141,-0.013673,0.026605,0.029348,-0.319483,0.506163,1.058997,-0.004453,0.006717,-0.106967,-0.313648,-0.519506,1.214116,-0.042802,0.007983,0.037408
0.120000,0.187099,0.020903,0.348481,6.773948,0.034106,-1.883541,0.596891,0.023428,1.247269,-0.031008,0.036026,-0.005611,-0.314390,0.510638,1.075419,0.029173,0.035568,-0.032079,-0.310084,-0.517709,1.217251,-0.016678,0.019226,0.049226
0.130000,0.253776,0.021374,0.329517,4.038059,0.081093,-1.309295,0.594379,0.024956,1.240095,-0.045613,0.043772,-0.037990,-0.309780,0.514683,1.090395,0.057813,0.060037,0.037510,-0.306837,-0.516087,1.220096,0.005967,0.028708,0.059929
0.140000,0.290597,0.022352,0.316595,1.088845,0.130169,-0.795618,0.592120,0.026320,1.233498,-0.057580,0.049923,-0.067549,-0.305619,0.518329,1.104181,0.081595,0.080248,0.101274,-0.303885,-0.514628,1.222697,0.025166,0.036485,0.069449
