time,wind_vx,wind_vy,wind_vz
0.000000,1.000000,0.500000,0.000000
0.010000,1.001786,0.498116,-0.002817
0.020000,0.998464,0.497853,-0.005347
0.030000,1.007351,0.499103,-0.009779
0.040000,1.008759,0.496218,-0.014969
0.050000,1.009698,0.500630,-0.015445
0.060000,1.009242,0.499584,-0.006145
0.070000,1.008353,0.501381,-0.006466
0.080000,1.015419,0.495688,-0.003637
0.090000,1.013699,0.496344,-0.010075
0.100000,1.013322,0.498815,-0.006570
0.110000,1.006736,0.496333,-0.003730
0.120000,0.998740,0.496839,-0.004726
0.130000,0.995162,0.498213,-0.006409
0.140000,0.991845,0.501102,-0.007400
0.150000,0.990020,0.507063,-0.000974
0.160000,0.989155,0.511422,0.001071
0.170000,0.994496,0.506800,-0.001144
0.180000,0.995628,0.505631,0.004198
0.190000,0.994939,0.509285,0.005000
0.200000,0.993670,0.507066,-0.002180
0.210000,0.999779,0.503820,-0.003749
0.220000,0.992714,0.509011,-0.001447
0.230000,0.994330,0.512768,-0.006859
0.240000,0.989122,0.515669,-0.002176
0.250000,0.984903,0.508701,-0.000411
0.260000,0.984139,0.501822,-0.005264
0.270000,0.983643,0.502914,-0.005649
0.280000,0.977085,0.500090,-0.006807
0.290000,0.985541,0.500000,-0.010039
0.300000,0.981513,0.502157,-0.009862
0.310000,0.990131,0.504344,-0.005186
0.320000,0.991163,0.508595,0.000479
0.330000,0.983286,0.507472,0.003691
0.340000,0.990105,0.505134,0.000089
0.350000,0.989490,0.509993,0.002940
0.360000,0.985161,0.509366,0.002631
0.370000,0.982896,0.508851,-0.003910
0.380000,0.990066,0.514194,-0.009272
0.390000,0.986967,0.513690,-0.009886
0.400000,0.984165,0.520123,-0.013242
0.410000,0.977175,0.522170,-0.014232
0.420000,0.978559,0.516951,-0.015522
0.430000,0.978731,0.517637,-0.017201
0.440000,0.977029,0.512585,-0.021954
0.450000,0.976662,0.512230,-0.029091
0.460000,0.982228,0.508570,-0.030630
0.470000,0.985358,0.517127,-0.030670
0.480000,0.982928,0.512768,-0.031599
0.490000,0.978965,0.516825,-0.030848
0.500000,0.985868,0.516458,-0.029129
0.510000,0.986517,0.522676,-0.026261
0.520000,0.985801,0.516747,-0.027118
0.530000,0.987478,0.521199,-0.030122
0.540000,0.987432,0.514975,-0.033189
0.550000,0.992179,0.509974,-0.039066
0.560000,0.993686,0.509589,-0.037445
0.570000,0.994961,0.510096,-0.034954
0.580000,0.992772,0.506924,-0.036823
0.590000,0.997190,0.503137,-0.028159
