time,drone0_ax,drone0_ay,drone0_az,drone0_wx,drone0_wy,drone0_wz,drone1_ax,drone1_ay,drone1_az,drone1_wx,drone1_wy,drone1_wz,drone2_ax,drone2_ay,drone2_az,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,-0.056306,-0.131288,9.828147,-0.001265,0.013033,-0.004724,-0.037445,0.042620,9.844970,-0.002566,0.009105,0.004860,0.056326,0.050867,9.882346,-0.000379,-0.007102,-0.000148
0.020000,-0.189731,0.049282,8.266302,-0.012844,0.036053,0.004105,0.099668,0.034340,9.776809,0.002321,-0.002952,0.011622,0.074493,-0.008972,9.752344,-0.005432,-0.004822,0.002975
0.030000,-0.389730,-0.009127,8.303483,-0.007639,0.062257,-0.008204,-0.101471,0.013768,9.743222,0.003348,0.007253,-0.001574,-0.028214,0.036889,9.767479,-0.007561,-0.002113,0.004618
0.040000,-0.370473,0.043612,8.188040,-0.003335,0.070444,0.006105,0.049103,0.086471,9.771282,-0.004887,0.008932,-0.008113,0.070875,0.289863,8.267261,0.007169,-0.015425,-0.010904
0.050000,-0.431146,0.021654,8.216161,0.004334,0.093938,0.009897,-0.082505,0.055084,9.846526,-0.004069,-0.009602,0.008296,0.114806,0.162046,9.119502,0.016278,-0.016540,0.007059
0.060000,-0.522319,0.095228,8.046574,0.001135,0.126630,0.001726,-0.023618,0.101944,9.789424,0.016151,-0.009545,0.002374,0.046043,0.098789,9.527406,0.014696,-0.004379,-0.002307
0.070000,-0.500857,0.090346,8.218836,-0.009439,0.145635,0.001589,0.299283,-0.418249,6.657837,-0.018409,-0.029241,0.003625,0.180582,0.252490,8.832543,0.045193,-0.028591,-0.010029
0.080000,-0.534538,0.073255,8.588267,-0.003645,0.152621,0.009847,0.005748,-0.085643,9.833672,0.002904,-0.007793,0.009020,0.263460,0.372050,8.680983,0.044959,-0.037567,0.005775
0.090000,-0.525400,0.125480,9.038490,0.005964,0.165641,0.000631,0.005397,-0.138514,10.053376,-0.004138,-0.010850,-0.000048,0.160250,0.363889,8.559501,0.062596,-0.047768,0.002862
0.100000,-0.437930,-0.028165,9.447256,0.004146,0.179938,-0.002657,0.197304,-0.278683,8.116002,-0.035038,-0.017727,0.001838,0.181501,0.410076,8.475988,0.091249,-0.055134,-0.000514
0.110000,-0.379139,0.018201,9.759092,-0.005272,0.187446,-0.005007,0.110796,-0.147435,10.024806,-0.039219,-0.025506,0.010523,0.224653,0.430925,8.413034,0.100571,-0.053356,0.006854
0.120000,-0.413104,0.010986,9.979770,0.008948,0.197665,-0.009778,0.310767,-0.269887,7.382609,-0.066911,-0.046333,0.002803,0.269951,0.478557,8.418283,0.110325,-0.068087,0.009897
0.130000,-0.258044,0.024612,10.812079,0.013684,0.185760,-0.008181,0.026862,-0.109844,9.772233,-0.054324,-0.027593,-0.008709,0.223083,0.428528,8.766008,0.126178,-0.076499,0.002759
0.140000,-0.237916,0.028381,10.623866,0.003141,0.182067,-0.001854,0.168048,-0.349209,7.915863,-0.059809,-0.039113,-0.002231,0.156390,0.284684,9.213269,0.136919,-0.081991,0.004728
0.150000,-0.460693,-0.041079,10.323950,0.000546,0.171639,-0.004651,0.130144,-0.064326,9.605786,-0.061839,-0.040732,0.014827,0.229169,0.371350,9.605257,0.135998,-0.076874,-0.000121
0.160000,-0.302524,0.010122,10.140877,-0.005194,0.190262,0.003447,0.192962,-0.179686,8.382741,-0.075907,-0.044234,-0.003332,0.142703,0.366640,10.015645,0.135507,-0.090691,-0.007977
0.170000,-0.238938,0.096307,9.960178,0.001881,0.182955,-0.009116,0.260078,-0.283708,9.009612,-0.092360,-0.062460,0.003882,0.128100,0.263818,10.110187,0.151881,-0.094143,0.001843
0.180000,-0.300318,-0.019330,9.867336,0.015500,0.181438,0.007805,0.222959,-0.404880,8.622314,-0.112476,-0.075393,0.009563,0.140783,0.278613,10.272661,0.139174,-0.071492,0.008783
0.190000,-0.214818,-0.058179,9.716575,0.017420,0.188082,0.012160,0.303227,-0.435843,8.467231,-0.117008,-0.072419,0.002917,0.218141,0.322659,10.426521,0.137524,-0.091698,-0.006683
0.200000,-0.478075,-0.056698,9.586319,0.001313,0.171258,-0.006998,0.261675,-0.425042,8.868449,-0.117207,-0.087453,-0.005252,0.157328,0.312985,10.634347,0.144872,-0.091324,0.015524
0.210000,-0.352894,0.066419,9.672431,0.005905,0.168059,-0.001242,0.309510,-0.365887,8.447701,-0.143654,-0.081086,-0.005528,0.059114,0.207647,10.428687,0.143615,-0.084997,0.007135
0.220000,-0.487523,0.006159,9.573346,-0.001123,0.172213,0.009423,0.211431,-0.360852,9.088739,-0.143458,-0.088536,0.014932,0.164646,0.251383,10.061195,0.145154,-0.093578,-0.005744
0.230000,-0.371482,0.062732,9.580875,-0.000803,0.171563,0.007165,0.260836,-0.396956,9.681816,-0.146202,-0.092534,0.000611,0.144944,0.282757,10.036587,0.136767,-0.076147,0.009483
0.240000,-0.321469,0.026940,9.632136,0.003892,0.160346,0.007865,0.090104,-0.327999,9.972055,-0.143533,-0.081678,-0.002956,0.193281,0.281703,9.805897,0.130801,-0.073557,-0.006226
0.250000,-0.309861,-0.014338,9.715605,0.001575,0.152195,0.001528,0.109669,-0.357072,10.119766,-0.140595,-0.094211,0.000755,0.172100,0.181605,9.645643,0.127490,-0.083871,0.001540
0.260000,-0.326588,0.033911,10.056762,-0.005665,0.148346,0.001439,0.161583,-0.336810,10.720406,-0.144520,-0.090850,-0.000093,0.223363,0.270433,9.499641,0.132598,-0.084765,0.009454
0.270000,-0.360882,0.064337,10.295599,-0.001606,0.136889,-0.005557,0.015922,-0.211134,11.704675,-0.152251,-0.091836,-0.007258,0.149570,0.202707,9.524881,0.120433,-0.071018,0.004506
0.280000,-0.300530,-0.030093,10.414075,-0.007959,0.133876,-0.006693,0.137989,-0.113104,11.999554,-0.135934,-0.079977,0.003682,0.099852,0.168710,9.653422,0.120366,-0.068240,-0.009859
0.290000,-0.194012,0.066374,10.521728,-0.003355,0.117387,0.003078,0.176562,-0.137313,11.843697,-0.124674,-0.084554,0.010598,0.172382,0.324655,10.020849,0.120542,-0.066906,0.012806
0.300000,-0.196193,0.028928,10.690612,0.004725,0.110765,0.002093,0.084108,-0.235421,11.568921,-0.113313,-0.062329,0.001528,0.098780,0.304585,10.249309,0.116887,-0.056752,0.019500
0.310000,-0.351032,-0.050211,10.687329,0.016070,0.092391,0.003896,0.220469,-0.190559,11.298010,-0.106104,-0.066936,-0.007983,0.063074,0.253659,10.401905,0.095150,-0.058165,0.000227
0.320000,-0.267593,0.005953,11.041278,0.002006,0.088953,-0.013652,0.224954,-0.155734,10.887148,-0.101027,-0.059962,0.009218,0.022205,0.195270,10.446191,0.086942,-0.064352,0.016406
0.330000,-0.164014,0.088497,11.228813,0.002461,0.071384,0.014068,0.092473,-0.175352,10.437472,-0.090509,-0.057803,0.006450,0.099468,0.190560,10.738917,0.074087,-0.062115,-0.002005
0.340000,-0.116095,-0.023912,11.289678,-0.000985,0.049805,-0.004807,0.077670,-0.126976,10.318176,-0.091644,-0.049674,0.010325,0.102350,0.052549,11.292153,0.052887,-0.043479,-0.005045
