time,load_x,load_y,load_z,load_vx,load_vy,load_vz,load_qw,load_qx,load_qy,load_qz,load_wx,load_wy,load_wz,drone0_x,drone0_y,drone0_z,drone0_vx,drone0_vy,drone0_vz,drone0_qw,drone0_qx,drone0_qy,drone0_qz,drone0_wx,drone0_wy,drone0_wz,drone1_x,drone1_y,drone1_z,drone1_vx,drone1_vy,drone1_vz,drone1_qw,drone1_qx,drone1_qy,drone1_qz,drone1_wx,drone1_wy,drone1_wz,drone2_x,drone2_y,drone2_z,drone2_vx,drone2_vy,drone2_vz,drone2_qw,drone2_qx,drone2_qy,drone2_qz,drone2_wx,drone2_wy,drone2_wz
0.100000,0.000584,0.000015,0.149005,0.007893,0.000267,0.015358,0.999999,-0.000035,0.001130,-0.000000,-0.001787,0.052741,-0.000007,0.597936,0.000029,1.192689,-0.043316,0.000561,-0.128037,0.999986,0.000051,0.005245,-0.000000,0.001951,0.178689,-0.000002,-0.299859,0.519502,1.199190,0.005024,-0.006142,-0.035676,1.000000,-0.000426,-0.000375,-0.000000,-0.034452,-0.025047,-0.000005,-0.299632,-0.519052,1.197562,0.011319,0.018181,-0.075463,0.999998,0.001608,-0.000994,0.000000,0.090106,-0.054651,0.000005
0.110000,0.000674,0.000017,0.149095,0.010078,0.000293,0.003302,0.999999,-0.000045,0.001432,-0.000000,-0.001956,0.067368,-0.000020,0.597486,0.000035,1.191406,-0.046455,0.000607,-0.128160,0.999981,0.000061,0.006153,-0.000000,0.002086,0.184063,-0.000003,-0.299805,0.519437,1.198838,0.005771,-0.007220,-0.037040,1.000000,-0.000590,-0.000497,-0.000000,-0.037235,-0.026895,-0.000005,-0.299508,-0.518851,1.196738,0.013489,0.021819,-0.089096,0.999997,0.002094,-0.001288,0.000000,0.104094,-0.062932,0.000006
0.120000,0.000786,0.000020,0.149088,0.012239,0.000318,-0.003493,0.999998,-0.000055,0.001805,-0.000000,-0.002124,0.081832,-0.000033,0.597009,0.000041,1.190140,-0.048791,0.000650,-0.124038,0.999975,0.000072,0.007077,-0.000000,0.002208,0.184032,-0.000005,-0.299738,0.519349,1.198359,0.007420,-0.009877,-0.052962,0.999999,-0.000836,-0.000666,-0.000000,-0.051519,-0.035451,-0.000009,-0.299362,-0.518614,1.195777,0.015713,0.025559,-0.102200,0.999995,0.002649,-0.001623,0.000000,0.117193,-0.070715,0.000008
0.130000,0.000920,0.000024,0.149046,0.014531,0.000343,-0.004170,0.999997,-0.000066,0.002253,-0.000001,-0.002291,0.097182,-0.000049,0.596514,0.000048,1.188950,-0.049960,0.000690,-0.113700,0.999968,0.000083,0.007982,-0.000000,0.002316,0.178144,-0.000007,-0.299659,0.519243,1.197826,0.008391,-0.011374,-0.056208,0.999999,-0.001088,-0.000841,-0.000000,-0.054626,-0.037518,-0.000010,-0.299194,-0.518341,1.194705,0.017741,0.028968,-0.111233,0.999993,0.003260,-0.001992,0.000000,0.126300,-0.076222,0.000009
0.140000,0.001077,0.000027,0.149014,0.016838,0.000368,-0.002059,0.999996,-0.000078,0.002779,-0.000001,-0.002458,0.112628,-0.000066,0.596008,0.000055,1.187855,-0.051213,0.000727,-0.106051,0.999961,0.000095,0.008873,-0.000000,0.002401,0.178578,-0.000008,-0.299566,0.519115,1.197175,0.010008,-0.014000,-0.070432,0.999998,-0.001406,-0.001055,-0.000000,-0.066997,-0.044881,-0.000015,-0.299007,-0.518035,1.193566,0.019514,0.031943,-0.115833,0.999990,0.003909,-0.002383,0.000000,0.132670,-0.080107,0.000009
0.150000,0.001257,0.000031,0.149004,0.019177,0.000393,-0.000142,0.999994,-0.000090,0.003381,-0.000001,-0.002627,0.128282,-0.000085,0.595489,0.000063,1.186818,-0.052636,0.000763,-0.101763,0.999952,0.000107,0.009771,-0.000000,0.002472,0.180573,-0.000009,-0.299460,0.518965,1.196446,0.011372,-0.016201,-0.078603,0.999998,-0.001750,-0.001285,-0.000000,-0.075496,-0.049905,-0.000019,-0.298804,-0.517703,1.192401,0.021031,0.034483,-0.116617,0.999986,0.004584,-0.002791,0.000000,0.137070,-0.082812,0.000009
0.160000,0.001462,0.000035,0.149008,0.021829,0.000418,0.000701,0.999992,-0.000104,0.004067,-0.000002,-0.002795,0.146032,-0.000107,0.594956,0.000070,1.185814,-0.054010,0.000796,-0.099322,0.999943,0.000119,0.010677,-0.000000,0.002532,0.181552,-0.000010,-0.299338,0.518789,1.195590,0.012993,-0.018859,-0.090094,0.999996,-0.002158,-0.001553,-0.000000,-0.084653,-0.055466,-0.000023,-0.298587,-0.517346,1.191241,0.022351,0.036690,-0.115078,0.999981,0.005279,-0.003211,0.000000,0.140656,-0.084993,0.000009
0.170000,0.001696,0.000039,0.149015,0.024980,0.000443,0.000727,0.999988,-0.000118,0.004849,-0.000002,-0.002960,0.167111,-0.000135,0.594409,0.000078,1.184828,-0.055235,0.000825,-0.098028,0.999933,0.000132,0.011584,-0.000000,0.002578,0.181412,-0.000011,-0.299200,0.518587,1.194639,0.014739,-0.021746,-0.101994,0.999995,-0.002608,-0.001845,-0.000000,-0.097369,-0.062814,-0.000031,-0.298358,-0.516970,1.190105,0.023504,0.038615,-0.112164,0.999975,0.005989,-0.003640,0.000000,0.143278,-0.086599,0.000008
0.180000,0.001964,0.000044,0.149021,0.028704,0.000467,0.000455,0.999983,-0.000134,0.005747,-0.000003,-0.003120,0.192026,-0.000170,0.593851,0.000087,1.183851,-0.056280,0.000851,-0.097599,0.999922,0.000145,0.012489,-0.000000,0.002610,0.180381,-0.000011,-0.299043,0.518354,1.193564,0.016478,-0.024635,-0.112082,0.999993,-0.003118,-0.002173,-0.000000,-0.106301,-0.068171,-0.000036,-0.298118,-0.516575,1.189004,0.024457,0.040199,-0.107785,0.999969,0.006709,-0.004075,0.000000,0.144195,-0.087215,0.000008
0.190000,0.002255,0.000019,0.149026,0.026558,-0.010003,0.000706,0.999977,-0.000048,0.006716,-0.000010,0.067190,0.177506,-0.005180,0.593284,0.000095,1.182874,-0.057142,0.000874,-0.097890,0.999910,0.000158,0.013387,-0.000000,0.002630,0.178666,-0.000012,-0.298868,0.518091,1.192373,0.018472,-0.027976,-0.125394,0.999990,-0.003686,-0.002535,-0.000000,-0.119553,-0.075840,-0.000046,-0.297869,-0.516167,1.187957,0.025143,0.041332,-0.101260,0.999962,0.007427,-0.004510,0.000000,0.142711,-0.086439,0.000005
