time,drone0_tau_x,drone0_tau_y,drone0_tau_z,drone0_f_x,drone0_f_y,drone0_f_z,drone1_tau_x,drone1_tau_y,drone1_tau_z,drone1_f_x,drone1_f_y,drone1_f_z,drone2_tau_x,drone2_tau_y,drone2_tau_z,drone2_f_x,drone2_f_y,drone2_f_z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750
0.010000,0.000300,-0.040501,-0.000000,0.002922,-0.000011,20.237507,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317757,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317760
0.020000,0.000340,-0.059913,-0.000000,0.010551,-0.000062,20.323200,0.000338,-0.000724,-0.000000,-0.000133,-0.000068,22.317771,0.000338,-0.000724,-0.000000,-0.000133,-0.000068,22.317776
0.030000,0.000340,-0.072989,-0.000001,0.022410,-0.000163,20.475856,0.000335,-0.000725,-0.000000,-0.000350,-0.000178,22.317797,-0.005886,0.002541,-0.000000,-0.000191,-0.000103,11.925400
0.040000,0.000329,-0.084369,-0.000002,0.038596,-0.000314,20.622590,0.000319,-0.000698,-0.000000,-0.000675,-0.000341,22.317837,-0.013314,0.007063,-0.000000,-0.002349,-0.003332,22.414345
0.050000,0.000325,-0.095467,-0.000003,0.059347,-0.000514,20.746438,0.000306,-0.000666,-0.000000,-0.001104,-0.000555,22.317874,-0.034425,0.018604,-0.000002,-0.005107,-0.007692,21.840700
0.060000,0.000318,-0.104854,-0.000005,0.085929,-0.000769,21.106344,0.000288,-0.000628,-0.000000,-0.001631,-0.000818,22.317880,-0.043022,0.023446,-0.000003,-0.008995,-0.013936,20.923581
0.070000,0.000311,-0.107586,-0.000007,0.119899,-0.001094,21.861180,0.026554,0.014253,0.000004,-0.004774,0.003393,22.389750,-0.048220,0.026547,-0.000006,-0.014605,-0.023037,20.789231
0.080000,0.000298,-0.104486,-0.000009,0.160832,-0.001494,22.796492,0.011078,0.005834,0.000002,-0.007958,0.007151,22.943124,-0.054264,0.030074,-0.000008,-0.022117,-0.035292,21.019407
0.090000,0.000284,-0.098362,-0.000010,0.206867,-0.001959,23.681165,0.045507,0.023846,0.000011,-0.008365,0.008165,17.224741,-0.060203,0.033518,-0.000012,-0.031499,-0.050668,21.282124
0.100000,0.000272,-0.093116,-0.000012,0.254764,-0.002465,24.283249,0.030576,0.016849,0.000010,-0.017326,0.019681,23.107521,-0.065973,0.036846,-0.000017,-0.042754,-0.069182,21.514230
0.110000,0.000255,-0.089881,-0.000014,0.304936,-0.003016,24.776796,0.029426,0.015917,0.000012,-0.018084,0.021484,18.197309,-0.071996,0.040310,-0.000022,-0.055939,-0.090943,21.717535
0.120000,0.000232,-0.081566,-0.000014,0.366849,-0.003712,25.914921,0.042059,0.023177,0.000019,-0.030596,0.038434,22.973434,-0.075932,0.042672,-0.000028,-0.072702,-0.118653,22.392173
0.130000,0.000205,-0.070141,-0.000014,0.417933,-0.004342,26.176466,0.038954,0.021404,0.000021,-0.033749,0.043665,20.060061,-0.074263,0.041939,-0.000031,-0.092775,-0.151845,23.288995
0.140000,0.000203,-0.072926,-0.000016,0.455352,-0.004862,25.657127,0.048357,0.026782,0.000030,-0.048434,0.064579,22.962255,-0.070804,0.040141,-0.000034,-0.114861,-0.188369,24.095637
0.150000,0.000209,-0.077724,-0.000020,0.495668,-0.005424,25.360848,0.052931,0.029219,0.000038,-0.054443,0.074147,21.183575,-0.067247,0.038244,-0.000036,-0.138021,-0.226666,24.723334
0.160000,0.000215,-0.080405,-0.000023,0.539281,-0.006033,25.250656,0.055566,0.030992,0.000044,-0.072586,0.100890,23.376072,-0.065255,0.037178,-0.000039,-0.160978,-0.264635,25.065764
0.170000,0.000215,-0.081639,-0.000025,0.584319,-0.006669,25.214814,0.065312,0.036284,0.000058,-0.082022,0.115909,22.223134,-0.063882,0.036464,-0.000041,-0.184667,-0.303814,25.362501
0.180000,0.000216,-0.082224,-0.000028,0.629962,-0.007324,25.214412,0.066700,0.037318,0.000066,-0.098670,0.141545,22.697879,-0.061756,0.035355,-0.000042,-0.209648,-0.345110,25.719072
0.190000,0.000221,-0.082634,-0.000031,0.675899,-0.007993,25.238020,0.075060,0.041991,0.000081,-0.117500,0.170827,23.171923,-0.058103,0.033411,-0.000041,-0.235973,-0.388584,26.157886
0.200000,0.000222,-0.083170,-0.000034,0.721571,-0.008668,25.266776,0.079931,0.044776,0.000095,-0.134083,0.197238,22.883249,-0.054224,0.031303,-0.000039,-0.258379,-0.425541,26.161987
0.210000,0.000225,-0.083894,-0.000037,0.767899,-0.009358,25.333516,0.081704,0.045965,0.000105,-0.161127,0.239532,23.989919,-0.056494,0.032473,-0.000045,-0.275397,-0.453613,25.691276
0.220000,0.000230,-0.084544,-0.000040,0.815360,-0.010069,25.450606,0.076406,0.043280,0.000104,-0.191469,0.287129,25.151288,-0.057453,0.033042,-0.000047,-0.295453,-0.486699,25.562828
0.230000,0.000234,-0.084966,-0.000042,0.864724,-0.010809,25.637650,0.071651,0.040751,0.000104,-0.219865,0.332036,25.790360,-0.057869,0.033298,-0.000049,-0.314811,-0.518632,25.415086
0.240000,0.000232,-0.084706,-0.000045,0.917429,-0.011599,25.932203,0.069884,0.039813,0.000107,-0.246971,0.375160,26.141081,-0.058448,0.033630,-0.000052,-0.333223,-0.549007,25.236400
0.250000,0.000218,-0.083563,-0.000046,0.973071,-0.012437,26.319181,0.067807,0.038773,0.000108,-0.277630,0.423836,26.756720,-0.059131,0.034012,-0.000054,-0.351480,-0.579140,25.089550
0.260000,0.000197,-0.081573,-0.000047,1.030412,-0.013310,26.767998,0.060956,0.035233,0.000096,-0.318211,0.487779,28.177177,-0.059305,0.034118,-0.000056,-0.371729,-0.612566,25.116393
0.270000,0.000179,-0.079020,-0.000047,1.085310,-0.014169,27.182445,0.049376,0.029094,0.000073,-0.353023,0.542776,29.022424,-0.058195,0.033540,-0.000056,-0.396285,-0.653095,25.447288
0.280000,0.000162,-0.076788,-0.000047,1.129637,-0.014909,27.381388,0.045249,0.026738,0.000066,-0.370748,0.571249,28.584711,-0.055541,0.032142,-0.000052,-0.425315,-0.700976,26.065550
0.290000,0.000155,-0.074882,-0.000048,1.170091,-0.015614,27.549000,0.044977,0.026512,0.000067,-0.386760,0.596946,28.175775,-0.052053,0.030270,-0.000045,-0.454244,-0.748646,26.687105
0.300000,0.000143,-0.072651,-0.000047,1.213533,-0.016378,27.851609,0.045362,0.026690,0.000069,-0.401257,0.620194,27.793016,-0.048940,0.028581,-0.000040,-0.478016,-0.787756,27.044762
0.310000,0.000123,-0.069638,-0.000046,1.260264,-0.017212,28.297024,0.046545,0.027271,0.000074,-0.412772,0.638747,27.327842,-0.046670,0.027313,-0.000036,-0.497485,-0.819720,27.223882
0.320000,0.000099,-0.066229,-0.000044,1.295139,-0.017917,28.556644,0.048193,0.028090,0.000081,-0.420609,0.651555,26.733759,-0.044635,0.026195,-0.000032,-0.518880,-0.854802,27.578266
0.330000,0.000076,-0.062803,-0.000042,1.312426,-0.018412,28.525518,0.048247,0.028077,0.000083,-0.431853,0.669598,26.452272,-0.042043,0.024840,-0.000025,-0.545823,-0.898945,28.292289
0.340000,0.000059,-0.059688,-0.000040,1.322826,-0.018841,28.448721,0.046102,0.026889,0.000079,-0.448813,0.696439,26.593886,-0.038655,0.023049,-0.000015,-0.562255,-0.925670,28.546057
0.350000,0.000048,-0.056878,-0.000038,1.327886,-0.019226,28.360674,0.042641,0.024997,0.000070,-0.467209,0.725399,26.887591,-0.035518,0.021353,-0.000008,-0.572335,-0.941818,28.588704
0.360000,0.000032,-0.054281,-0.000036,1.328234,-0.019575,28.273951,0.038816,0.022898,0.000060,-0.480787,0.746731,26.984910,-0.032954,0.019935,-0.000002,-0.576519,-0.948156,28.457214
0.370000,0.000018,-0.052131,-0.000035,1.321419,-0.019850,28.134262,0.035039,0.020803,0.000050,-0.491777,0.763874,27.032796,-0.031018,0.018819,0.000001,-0.575075,-0.945149,28.168506
0.380000,0.000016,-0.050708,-0.000034,1.308104,-0.020056,27.950381,0.031681,0.018891,0.000042,-0.499094,0.775131,26.981637,-0.029213,0.017761,0.000002,-0.572377,-0.940006,27.932589
0.390000,0.000010,-0.049876,-0.000033,1.291096,-0.020230,27.774321,0.028434,0.017047,0.000034,-0.505499,0.784784,26.986041,-0.027714,0.016847,0.000002,-0.563157,-0.924085,27.485441
0.400000,0.000011,-0.049574,-0.000033,1.270218,-0.020365,27.594048,0.024923,0.015118,0.000024,-0.514616,0.798439,27.240418,-0.026228,0.015947,0.000002,-0.555416,-0.910538,27.207173
0.410000,0.000011,-0.049872,-0.000034,1.246001,-0.020464,27.411654,0.021599,0.013366,0.000011,-0.521945,0.809061,27.511138,-0.024544,0.014970,0.000004,-0.548074,-0.897581,27.039066
0.420000,0.000008,-0.050542,-0.000035,1.220475,-0.020555,27.262366,0.018857,0.011877,0.000002,-0.520148,0.805274,27.418695,-0.022852,0.014001,0.000005,-0.540025,-0.883391,26.923437
0.430000,0.000010,-0.051334,-0.000036,1.192927,-0.020621,27.122650,0.016268,0.010388,-0.000004,-0.513262,0.793380,27.175206,-0.021315,0.013132,0.000006,-0.530422,-0.866578,26.814417
0.440000,0.000023,-0.053716,-0.000038,1.155224,-0.020510,26.793694,0.013688,0.008880,-0.000008,-0.504515,0.778397,26.945627,-0.020094,0.012447,0.000007,-0.518505,-0.845902,26.667196
0.450000,0.000055,-0.057903,-0.000043,1.119350,-0.020412,26.527003,0.011269,0.007456,-0.000012,-0.494510,0.761264,26.756840,-0.019193,0.011958,0.000008,-0.506506,-0.825007,26.589104
0.460000,0.000097,-0.062827,-0.000049,1.085467,-0.020320,26.312355,0.008083,0.005564,-0.000017,-0.478022,0.733961,26.317338,-0.018584,0.011647,0.000009,-0.493135,-0.801783,26.507944
0.470000,0.000159,-0.068252,-0.000057,1.053804,-0.020227,26.142996,0.004241,0.003261,-0.000022,-0.462215,0.707519,26.011086,-0.018638,0.011729,0.000009,-0.474359,-0.769693,26.191601
0.480000,0.000230,-0.073843,-0.000064,1.024797,-0.020134,26.018803,0.000603,0.001095,-0.000027,-0.446570,0.681120,25.809936,-0.019512,0.012330,0.000009,-0.456446,-0.738929,25.960340
0.490000,0.000327,-0.079147,-0.000073,0.998743,-0.020033,25.938744,-0.002559,-0.000785,-0.000030,-0.430542,0.653915,25.682496,-0.021271,0.013507,0.000010,-0.438854,-0.708597,25.773091
0.500000,0.000448,-0.083677,-0.000081,0.975616,-0.019915,25.896636,-0.005151,-0.002340,-0.000033,-0.413692,0.625236,25.600975,-0.024111,0.015374,0.000011,-0.421662,-0.678807,25.619964
0.510000,0.000598,-0.087042,-0.000089,0.955038,-0.019762,25.880197,-0.007166,-0.003552,-0.000034,-0.395762,0.594695,25.545163,-0.028245,0.018088,0.000013,-0.405037,-0.649807,25.493340
0.520000,0.000766,-0.089096,-0.000097,0.936418,-0.019554,25.873699,-0.008654,-0.004447,-0.000035,-0.376664,0.562173,25.502655,-0.033959,0.021835,0.000016,-0.389171,-0.621881,25.383163
